slice,frame_id,cyan_frac,h_mean,s_mean,v_mean,gate_hit,gate_dist_px,n_gates_proxy
r2_f2,0,0.016606,93.76,230.1,205.6,True,3.2,2
r2_f2,0,0.016606,93.76,230.1,205.6,True,3.2,2
r2_f2,5,0.016606,93.76,230.1,205.6,True,3.2,2
r2_f2,5,0.016606,93.76,230.1,205.6,True,3.2,2
r2_f2,10,0.016606,93.76,230.1,205.6,True,3.2,2
r2_f2,11,0.016606,93.76,230.1,205.6,True,3.2,2
r2_f2,12,0.122431,98.83,194.8,133.9,True,8.5,1
r2_f2,12,0.122431,98.83,194.8,133.9,True,8.5,1
r2_f2,12,0.122431,98.83,194.8,133.9,True,8.5,1
r2_f2,12,0.122431,98.83,194.8,133.9,True,8.5,1
r2_f2,13,0.084484,98.86,192.9,134.2,,,0
r2_f2,13,0.084484,98.86,192.9,134.2,,,0
r2_f2,13,0.084484,98.86,192.9,134.2,,,0
r2_f2,13,0.084484,98.86,192.9,134.2,,,0
r2_f2,13,0.084484,98.86,192.9,134.2,,,0
r2_f2,13,0.084484,98.86,192.9,134.2,,,0
r2_f2,14,0.079340,98.92,191.5,131.6,,,0
r2_f2,14,0.079340,98.92,191.5,131.6,,,0
r2_f2,14,0.079340,98.92,191.5,131.6,,,0
r2_f2,14,0.079340,98.92,191.5,131.6,,,0
r2_f2,15,0.072248,98.96,190.8,131.6,True,0.5,1
r2_f2,16,0.065438,98.84,191.7,133.2,True,0.5,1
r2_f2,16,0.065438,98.84,191.7,133.2,True,0.5,1
r2_f2,17,0.060812,98.78,193.3,135.2,True,0.6,1
r2_f2,18,0.057174,98.68,194.1,137.4,True,0.2,1
r2_f2,18,0.057174,98.68,194.1,137.4,True,0.2,1
r2_f2,19,0.057552,98.64,194.3,137.2,True,0.6,1
r2_f2,19,0.057552,98.64,194.3,137.2,True,0.6,1
r2_f2,20,0.057986,98.66,194.5,137.3,True,0.6,1
r2_f2,20,0.057986,98.66,194.5,137.3,True,0.6,1
r2_f2,21,0.058880,98.62,194.2,136.6,True,0.6,1
r2_f2,23,0.060981,98.62,193.0,135.2,True,0.7,1
r2_f2,23,0.060981,98.62,193.0,135.2,True,0.7,1
r2_f2,24,0.062578,98.65,192.5,134.3,True,0.6,1
r2_f2,25,0.063507,98.69,192.2,133.3,True,0.7,1
r2_f2,25,0.063507,98.69,192.2,133.3,True,0.7,1
r2_f2,26,0.063724,98.73,191.5,132.6,True,0.6,1
r2_f2,26,0.063724,98.73,191.5,132.6,True,0.6,1
r2_f2,26,0.063724,98.73,191.5,132.6,True,0.6,1
r2_f2,27,0.064588,98.86,190.6,130.9,True,0.6,1
r2_f2,27,0.064588,98.86,190.6,130.9,True,0.6,1
r2_f2,27,0.064588,98.86,190.6,130.9,True,0.6,1
r2_f2,27,0.064588,98.86,190.6,130.9,True,0.6,1
r2_f2,29,0.065256,98.90,189.8,128.6,True,0.6,1
r2_f2,29,0.065256,98.90,189.8,128.6,True,0.6,1
r2_f2,29,0.065256,98.90,189.8,128.6,True,0.6,1
r2_f2,30,0.066619,98.96,189.6,127.5,True,0.6,1
r2_f2,30,0.066619,98.96,189.6,127.5,True,0.6,1
r2_f2,31,0.069214,98.98,189.9,126.2,True,0.6,1
r2_f2,32,0.077504,99.02,189.9,123.7,True,0.6,1
r2_f2,33,0.124705,99.09,191.4,119.0,True,0.5,1
r2_f2,33,0.124705,99.09,191.4,119.0,True,0.5,1
r2_f2,34,0.207604,98.73,201.9,137.0,True,0.5,1
r2_f2,34,0.207604,98.73,201.9,137.0,True,0.5,1
r2_f2,35,0.225369,98.46,208.5,156.8,,,0
r2_f2,35,0.225369,98.46,208.5,156.8,,,0
r2_f2,35,0.225369,98.46,208.5,156.8,,,0
r2_f2,36,0.226341,98.37,210.2,163.0,True,6.2,1
r2_f2,36,0.226341,98.37,210.2,163.0,True,6.2,1
r2_f2,37,0.223247,98.38,210.1,163.4,True,8.3,1
r2_f2,38,0.218637,98.45,209.3,160.8,True,8.2,1
r2_f2,38,0.218637,98.45,209.3,160.8,True,8.2,1
r2_f2,39,0.210768,98.52,207.0,153.9,True,8.2,1
r2_f2,39,0.210768,98.52,207.0,153.9,True,8.2,1
r2_f2,40,0.200061,98.71,204.1,145.2,True,9.1,1
r2_f2,40,0.200061,98.71,204.1,145.2,True,9.1,1
r2_f2,40,0.200061,98.71,204.1,145.2,True,9.1,1
r2_f2,40,0.200061,98.71,204.1,145.2,True,9.1,1
r2_f2,41,0.189657,98.73,201.1,136.1,True,9.0,1
r2_f2,41,0.189657,98.73,201.1,136.1,True,9.0,1
r2_f2,41,0.189657,98.73,201.1,136.1,True,9.0,1
r2_f2,44,0.163819,99.01,194.9,121.2,True,0.6,1
r2_f2,45,0.153155,99.03,193.3,117.9,True,0.7,1
r2_f2,46,0.145204,99.09,191.7,115.1,True,0.6,1
r2_f2,46,0.145204,99.09,191.7,115.1,True,0.6,1
r2_f2,47,0.136228,99.10,190.6,113.3,True,0.6,1
r2_f2,47,0.136228,99.10,190.6,113.3,True,0.6,1
r2_f2,48,0.122309,99.12,189.0,111.4,True,0.6,1
r2_f2,50,0.094271,99.14,186.9,111.0,True,0.6,1
r2_f2,53,0.059570,98.89,188.0,119.1,True,0.6,1
r2_f2,54,0.053056,98.72,190.0,122.1,True,0.6,1
r2_f2,55,0.045577,98.53,191.9,127.0,True,0.2,1
r2_f2,56,0.039592,98.36,192.9,132.4,True,0.2,1
r2_f2,56,0.039592,98.36,192.9,132.4,True,0.2,1
r2_f2,60,0.029948,98.15,194.1,147.1,True,0.6,1
r2_f2,61,0.030734,98.25,194.4,146.1,True,0.6,1
r2_f2,61,0.030734,98.25,194.4,146.1,True,0.6,1
r2_f2,63,0.066480,98.93,189.8,121.5,True,0.6,1
r2_f2,64,0.203863,98.93,196.8,127.5,True,0.6,1
r2_f2,65,0.222044,98.62,204.3,145.7,True,0.6,1
r2_f2,65,0.222044,98.62,204.3,145.7,True,0.6,1
r2_f2,66,0.224132,98.58,206.3,152.5,True,0.2,1
r2_f2,67,0.222812,98.59,206.0,152.1,True,0.0,1
r2_f2,67,0.222812,98.59,206.0,152.1,True,0.0,1
r2_f2,68,0.215347,98.65,204.1,148.0,,,0
r2_f2,69,0.199171,98.69,201.2,140.6,,,0
r2_f2,69,0.199171,98.69,201.2,140.6,,,0
r2_f2,69,0.199171,98.69,201.2,140.6,,,0
r2_f2,70,0.171393,98.95,197.7,132.6,,,0
r2_f2,71,0.121571,99.09,185.7,128.7,True,0.4,1
r2_f2,71,0.121571,99.09,185.7,128.7,True,0.4,1
r2_f2,71,0.121571,99.09,185.7,128.7,True,0.4,1
r2_f2,72,0.096254,99.15,182.3,127.2,True,0.2,1
r2_f2,73,0.074592,99.05,179.9,130.6,True,0.2,1
r2_f2,73,0.074592,99.05,179.9,130.6,True,0.2,1
r2_f2,76,0.060538,99.08,179.4,127.2,True,0.5,1
r2_f2,83,0.059857,98.70,187.7,128.3,True,0.2,1
r2_f2,85,0.061988,98.70,189.9,125.3,True,0.4,1
r2_f2,89,0.047765,98.64,190.4,125.2,True,0.4,1
r2_f2,90,0.039909,98.54,190.3,127.7,True,0.4,1
