phase,flight_id,attempt_n,n_attempts_in_flight,attempt_phases,ended_retreat,status,closest_dist_m,miss_lateral_m,miss_vertical_m,t_closest_s,t_attempt_start_s,t_attempt_end_s,gate_rel_age_s,gates_passed,result
phase3c,20260715T044545-411f3135,1,1,,False,no_gate_rel,,,,,,,,0,flight timeout
phase3c,20260715T045100-411f3135,1,1,approach+commit+approach+recover,True,ok,1.1178335711390086,-0.045537500025763455,0.9340342894918781,22.5670385,20.6472202,23.5272337,1.21005048,0,environment collision (impulse=1.2)
phase3c,20260715T045458-411f3135,1,2,approach+commit+approach+commit+recover,True,ok,0.1714315402228998,-0.010113182443353323,0.12169987160348739,23.1068473,20.7870311,25.7669178,1.089216016,0,environment collision (impulse=5.2)
phase3c,20260715T045458-411f3135,2,2,approach,False,ok,10.761721141924182,1.8616300890639774,1.3923119680264455,27.8270096,26.5671747,27.8270259,0.543158256,0,environment collision (impulse=5.2)
phase3c,20260715T051458-6092dbc0,1,1,approach,False,ok,2.0177589173978934,0.16624398594187603,1.7618170113689073,21.9790521,20.6798738,23.4986583,1.186280984,0,environment collision (impulse=17.5)
phase3d,20260715T121747-22978559,1,2,approach+commit+approach,False,ok,0.35618584425949784,-0.09562162192864664,0.23421190112009954,22.5057367,20.5655165,25.0860678,1.02498228,0,environment collision (impulse=28.5)
phase3d,20260715T121747-22978559,2,2,approach,False,ok,9.293057443972613,1.264641490075112,-1.6909768159398486,28.3853521,27.0657519,32.8655863,1.183419136,0,environment collision (impulse=28.5)
phase3d,20260715T122040-22978559,1,2,approach+commit+approach+commit,False,ok,1.3364184501373377,0.21479570418161414,-0.5864239299073933,30.6798284,24.2202204,31.5601858,1.492437008,0,environment collision (impulse=1.2)
phase3d,20260715T122040-22978559,2,2,approach,False,ok,5.780374575443744,3.5221857514967607,-2.3094185690256643,31.7000003,31.6802028,31.7000094,0.013153272,0,environment collision (impulse=1.2)
phase3d,20260715T122352-22978559,1,2,approach+commit+approach,False,ok,0.17602606716912383,-0.1431471087958622,0.10189282351171634,23.4029517,20.7827584,26.5226362,1.185721224,0,environment collision (impulse=3.7)
