phase,flight_id,attempt_n,n_attempts_in_flight,attempt_phases,ended_retreat,status,closest_dist_m,miss_lateral_m,miss_vertical_m,gate_rel_age_s,gates_passed,is_pass_attempt,result
phase3c,20260715T044545-411f3135,1,1,,False,no_gate_rel,,,,,0,False,flight timeout
phase3c,20260715T045100-411f3135,1,1,approach+commit+approach+recover,True,ok,1.1178335711390086,-0.045537500025763455,0.9340342894918781,1.21005048,0,False,environment collision (impulse=1.2)
phase3c,20260715T045458-411f3135,1,2,approach+commit+approach+commit+recover,True,ok,0.1714315402228998,-0.010113182443353323,0.12169987160348739,1.089216016,0,False,environment collision (impulse=5.2)
phase3c,20260715T045458-411f3135,2,2,approach,False,ok,10.761721141924182,1.8616300890639774,1.3923119680264455,0.543158256,0,False,environment collision (impulse=5.2)
phase3c,20260715T051458-6092dbc0,1,1,approach,False,ok,2.0177589173978934,0.16624398594187603,1.7618170113689073,1.186280984,0,False,environment collision (impulse=17.5)
phase3d,20260715T121747-22978559,1,2,approach+commit+approach,False,ok,0.35618584425949784,-0.09562162192864664,0.23421190112009954,1.02498228,0,False,environment collision (impulse=28.5)
phase3d,20260715T121747-22978559,2,2,approach,False,ok,9.293057443972613,1.264641490075112,-1.6909768159398486,1.183419136,0,False,environment collision (impulse=28.5)
phase3d,20260715T122040-22978559,1,2,approach+commit+approach+commit,False,ok,1.3364184501373377,0.21479570418161414,-0.5864239299073933,1.492437008,0,False,environment collision (impulse=1.2)
phase3d,20260715T122040-22978559,2,2,approach,False,ok,5.780374575443744,3.5221857514967607,-2.3094185690256643,0.013153272,0,False,environment collision (impulse=1.2)
phase3d,20260715T122352-22978559,1,2,approach+commit+approach,False,ok,0.17602606716912383,-0.1431471087958622,0.10189282351171634,1.185721224,0,False,environment collision (impulse=3.7)
phase3d,20260715T122352-22978559,2,2,approach+commit+approach+commit,False,ok,0.131180840041377,-0.027703290156032317,-0.012851038007882487,1.239338832,0,False,environment collision (impulse=3.7)
phase3e,20260715T183716-8e6cf1f5,1,1,approach,False,ok,2.457076347697427,-0.38408734621787394,0.9374685016250459,1.185187304,0,False,environment collision (impulse=2.5)
phase3e,20260715T184758-8e6cf1f5,1,1,approach+recover,True,ok,3.1134375745766323,0.3701583610008393,-0.3520083495781384,1.087872568,0,False,stale channels: frame
phase3e,20260715T185046-8e6cf1f5,1,1,approach+commit+approach+recover,True,ok,1.4524990433387768,-0.06104805537594985,-0.024652397589113424,1.210963104,0,False,environment collision (impulse=1.3)
phase3e,20260715T185843-7f28e2fb,1,1,approach,False,ok,2.8654344484292094,-0.11439877599349874,0.38376309684816823,1.178309096,0,False,environment collision (impulse=3.0)
phase3f,20260715T195033-8edfeec4,1,1,approach+commit+approach+recover,True,ok,1.5286614067293676,-0.23838839057598424,0.2985566068943142,1.204154512,0,False,environment collision (impulse=4.2)
phase3f,20260715T200011-8edfeec4,1,1,approach+recover,True,ok,2.5859118942410158,0.012290733720037845,0.510418663316294,1.191966376,0,False,environment collision (impulse=1.9)
phase3f,20260715T200142-8edfeec4,1,1,approach,False,ok,2.0361996644122007,-0.08546079558436828,0.20104615623832522,1.255873344,0,False,environment collision (impulse=2.4)
phase3g,20260715T203300-8edfeec4,1,2,approach+commit+recover,True,ok,1.2687345372832135,0.04489748331467581,0.05583471928077507,1.192916664,0,False,environment collision (impulse=10.1)
phase3g,20260715T203300-8edfeec4,2,2,approach+commit+approach,False,ok,0.4481966754014821,0.43616769468430777,-0.05823448363978144,1.197870064,0,False,environment collision (impulse=10.1)
phase3g,20260715T204925-8edfeec4,1,3,approach+commit+approach,False,ok,1.9825360609078475,-0.12471121664888875,0.1894954026343575,1.186438656,0,False,environment collision (impulse=5.1)
