fid,gates,clips,env_hits,duration_s,frames,reason
20260719T154704-f170ead6,0,0,1,25.692099699983373,672,environment collision (impulse=19.8)
20260719T154832-f170ead6,0,3,1,19.240004500024952,477,environment collision (impulse=24.2)
20260719T154952-f170ead6,0,1,1,13.892007999995258,320,environment collision (impulse=2.3)
20260719T155107-f170ead6,0,0,1,17.096019999997225,419,environment collision (impulse=7.9)
20260719T155227-f170ead6,0,0,1,12.480121700005839,282,environment collision (impulse=1.1)
20260719T155339-f170ead6,0,0,1,8.051998399983859,141,environment collision (impulse=3.3)
20260719T155446-f170ead6,0,1,1,10.415999200020451,215,environment collision (impulse=1.3)
20260719T155652-f170ead6,0,0,1,19.808011799992528,498,environment collision (impulse=20.0)
20260719T155813-f170ead6,0,4,4,12.68809660000261,286,environment collision (impulse=1.4)
20260719T155926-f170ead6,0,0,1,11.004083399981027,234,environment collision (impulse=2.0)
20260719T160039-f170ead6,0,0,1,13.564019099983852,311,environment collision (impulse=4.0)
20260719T160151-f170ead6,0,11,0,7.484015599999111,124,gate clip budget exceeded (11)
20260719T160258-f170ead6,0,0,1,21.500004900008207,549,environment collision (impulse=5.7)
20260719T160421-f170ead6,0,0,4,13.46406559998286,311,environment collision (impulse=4.0)
20260719T160537-f170ead6,1,0,3,13.160178299993277,300,environment collision (impulse=5.2)
20260719T160650-f170ead6,0,0,1,22.944003899989184,588,environment collision (impulse=23.6)
20260719T160815-f170ead6,0,0,11,6.744004800013499,106,environment collision (impulse=1.5)
20260719T160921-f170ead6,0,0,1,6.744026199972723,105,environment collision (impulse=4.1)
20260719T161028-f170ead6,0,0,2,7.880171700002393,144,environment collision (impulse=2.5)
20260719T161136-f170ead6,0,0,45,22.696048900019377,583,environment collision (impulse=1.8)
20260719T161259-f170ead6,0,0,3,13.852035699994303,319,environment collision (impulse=1.9)
20260719T161414-f170ead6,0,0,1,9.636002000013832,189,environment collision (impulse=5.5)
20260719T161523-f170ead6,0,0,2,11.20821209999849,238,environment collision (impulse=2.2)
20260719T161634-f170ead6,0,0,15,13.864022600027965,321,environment collision (impulse=1.6)
20260719T161749-f170ead6,0,0,1,10.924038099998143,232,environment collision (impulse=1.9)
20260719T161859-f170ead6,0,0,100,19.660037499997998,497,environment collision (impulse=5.4)
20260719T162020-f170ead6,0,0,1,15.580011099984404,374,environment collision (impulse=1.1)
20260719T162137-f170ead6,0,13,0,8.272325900004944,151,gate clip budget exceeded (11)
20260719T162245-f170ead6,0,0,2,13.172238600003766,302,environment collision (impulse=2.9)
20260719T162358-f170ead6,0,0,1,11.756048399984138,256,environment collision (impulse=3.9)
20260719T162511-f170ead6,0,0,1,19.20019420000608,482,environment collision (impulse=9.8)
20260719T162631-f170ead6,0,5,2,15.32401400001254,367,environment collision (impulse=4.1)
20260719T162747-f170ead6,0,0,1,6.516036399989389,98,environment collision (impulse=4.2)
20260719T162853-f170ead6,0,0,1,39.30002450000029,1087,environment collision (impulse=6.9)
20260719T163035-f170ead6,0,0,1,15.196017600013874,355,environment collision (impulse=6.9)
20260719T163151-f170ead6,0,0,1,11.532126000005519,248,environment collision (impulse=7.3)
20260719T163304-f170ead6,0,0,1,11.75205549999373,256,environment collision (impulse=2.1)
20260719T163416-f170ead6,0,11,0,7.860013700003037,136,gate clip budget exceeded (11)
20260719T163525-f170ead6,0,0,4,23.248019999999087,599,environment collision (impulse=3.3)
20260719T163649-f170ead6,1,2,1,17.204008100001374,416,environment collision (impulse=2.4)
20260719T163807-f170ead6,0,0,3,13.252032500022324,298,environment collision (impulse=2.0)
20260719T163920-f170ead6,0,0,1,11.3800210999907,245,environment collision (impulse=1.6)
20260719T164032-f170ead6,0,0,1,19.932017200015252,500,environment collision (impulse=5.0)
20260719T164153-f170ead6,0,0,112,25.344067099998938,665,environment collision (impulse=8.8)
20260719T164321-f170ead6,0,0,3,11.408008099999279,249,environment collision (impulse=2.5)
20260719T164433-f170ead6,0,0,3,14.02000930000213,328,environment collision (impulse=3.9)
20260719T164548-f170ead6,0,0,9,15.880029699997976,381,environment collision (impulse=10.2)
