flight_id,attempt_n,t_closest_s,t_lastfix_s,R_closest_m,R_lastfix_m,phantom_dz,true_dz,gap_height_believed_minus_true,age_s,old_label,true_label
20260714T202447-58cd98ad,1,25.3263896,24.2668554,0.5020347117447653,3.7046312033173825,0.5897771313028308,1.3632784327806169,0.7735013014777861,1.068369928,HIGH,HIGH
20260714T202743-58cd98ad,1,21.7606031,21.3896152,1.7875962704510246,2.797293200637255,1.1006932363829496,1.8204894530616083,0.7197962166786587,0.382255792,HIGH,HIGH
20260714T210518-58cd98ad,1,22.6032785,22.621515,0.8731553312032575,1.1681336007851713,0.05260932482892193,0.40673615281473463,0.3541268279858127,0.53255532,HIGH,HIGH
20260714T210844-58cd98ad,1,21.4966936,20.3287115,3.9315426966572105,5.789912739714245,1.2719226752986261,2.9344853222381424,1.6625626469395163,1.179969032,HIGH,HIGH
20260714T211404-58cd98ad,1,23.0974635,22.6704906,0.3060949058963292,1.279508037774904,0.8292206821635196,1.0789990744272848,0.2497783922637652,0.4335288,HIGH,HIGH
20260715T045100-411f3135,1,22.5670385,22.5670385,1.1178335711390086,1.1178335711390086,0.9263653482640238,1.0647518751015224,0.13838652683749852,1.21005048,HIGH,HIGH
20260715T045458-411f3135,1,23.1068473,22.029294,0.1714315402228998,3.267329064507493,1.8763447518293936,2.575569894838031,0.6992251430086374,1.089216016,CENTERED,CENTERED
20260715T051458-6092dbc0,1,21.9790521,21.6891838,2.0177589173978934,3.997823451427222,0.9379553935573438,1.9543786880112948,1.016423294453951,1.186280984,HIGH,HIGH
20260715T121747-22978559,1,22.5057367,21.4794465,0.35618584425949784,3.2461496131079564,1.3875383372342749,2.214647041006239,0.8271087037719642,1.02498228,HIGH,HIGH
20260715T122040-22978559,1,30.6798284,27.9060081,1.3364184501373377,4.66090650898091,1.3049446583879178,2.3994623467405507,1.0945176883526329,1.492437008,LOW,HIGH
20260715T122352-22978559,1,23.4029517,22.2244022,0.17602606716912383,3.416232713533452,1.4948273181722733,2.362284922414943,0.8674576042426696,1.185721224,CENTERED,CENTERED
20260715T122352-22978559,2,29.482738,29.5013144,0.131180840041377,2.0974265096296225,0.09081567017108638,0.6998906106469535,0.6090749404758671,1.239338832,CENTERED,CENTERED
20260715T183716-8e6cf1f5,1,22.8416815,21.6578461,2.457076347697427,4.707532928698011,1.4220115489486167,2.7134203249857416,1.291408776037125,1.185187304,HIGH,HIGH
20260715T184758-8e6cf1f5,1,22.3221471,21.2291873,3.1134375745766323,4.784816571223049,-0.8134173850061124,0.6643328777318932,1.4777502627380055,1.087872568,LOW,HIGH
20260715T185046-8e6cf1f5,1,22.5024505,21.2976097,1.4524990433387768,3.5922531321143394,0.015241171261121678,1.105411067547279,1.0901698962861572,1.210963104,CENTERED,HIGH
20260715T185843-7f28e2fb,1,22.2609366,22.2609366,2.8654344484292094,2.8654344484292094,0.45167854239402655,1.2906446235619782,0.8389660811679516,1.178309096,HIGH,HIGH
20260715T195033-8edfeec4,1,23.0042816,21.8010432,1.5286614067293676,3.7705083332820273,0.4919266503333594,1.603911359156767,1.1119847088234076,1.204154512,HIGH,HIGH
20260715T200011-8edfeec4,1,22.4562459,21.2788784,2.5859118942410158,4.7527028766245225,0.8103871167705522,2.2030767552135533,1.392689638443001,1.191966376,HIGH,HIGH
20260715T200142-8edfeec4,1,22.6059091,21.3681777,2.0361996644122007,4.228954945999232,0.6267417439148055,1.8709357343835586,1.2441939904687531,1.255873344,HIGH,HIGH
20260715T203300-8edfeec4,1,22.4798646,22.2588795,1.2687345372832135,3.021559470050802,-0.6946046790830063,0.13046172264575345,0.8250664017287597,1.192916664,CENTERED,HIGH
20260715T203300-8edfeec4,2,27.1199197,26.295397,0.4481966754014821,2.9238836330800586,-1.041950944006093,-0.24375377797119976,0.7981971660348932,1.197870064,CENTERED,CENTERED
20260715T204925-8edfeec4,1,22.6564205,21.476965,1.9825360609078475,4.1190790613765715,0.5268984405851833,1.714954810638384,1.1880563700532007,1.186438656,HIGH,HIGH
20260715T205124-8edfeec4,1,22.4435952,21.2554202,1.841601671086468,4.106907132923165,0.4197424716545155,1.587840301254496,1.1680978295999804,1.193395632,HIGH,HIGH
20260715T205845-fc86a160,1,28.0594838,28.0605966,0.053827381065637725,3.2804976998131856,-1.3649064873480736,-0.44519874103526846,0.9197077463128052,1.10091664,CENTERED,CENTERED
20260715T213138-8edfeec4,1,20.1553137,19.9172684,1.340230302335822,1.8630167345571964,-0.681603202830935,-0.13073846496311475,0.5508647378678202,0.26109516,LOW,CENTERED
20260715T213225-8edfeec4,1,24.1832762,22.9881168,0.7198620219561636,2.859432249135789,-0.07612177284710088,0.7957230146102523,0.8718447874573532,1.20807308,CENTERED,HIGH
20260715T213406-fc86a160,1,23.2591232,23.1005664,0.20896223969713767,3.355272628352692,-0.007254252880961286,0.8866597195085355,0.8939139723894968,1.200610688,CENTERED,CENTERED
20260715T213406-fc86a160,2,27.9989972,23.1005664,3.3678852955350633,3.355272628352692,-0.007254252880961286,0.8866597195085355,0.8939139723894968,1.197340176,CENTERED,HIGH
20260716T022502-8edfeec4,1,24.0990755,23.8862902,1.3298283865984961,1.7865983192550605,-0.5609285134201727,-0.1464040223869127,0.41452449103326,0.22669928,LOW,CENTERED
20260716T031114-8edfeec4,1,23.4249125,22.2177041,1.554743244735217,3.660092827682259,0.1921997200740012,1.2992182633301144,1.107018543256113,1.194805648,CENTERED,HIGH
