slot,flight_id,era,mechanism,census_failure_reason,legal,certified_full_end_range_m,full_dies_above_4p5,n_scale_gate_le_3p5,n_full_ez_ok_le_3p5
F1,20260720T071008-5b501b4c,archive,NO_CERTIFIED_FULL_BELOW_3P5,NO_CERTIFIED_FULL_BELOW_3P5,False,5.290143068966311,True,0,0
F2,20260720T071112-cd18c5fb,archive,LEGAL,OK,True,3.8041822371409286,False,0,18
F3,20260720T071220-5b501b4c,archive,SCALE_GATE_FLIPPED_FAR_GATE_POST_GAP,FULL_BELOW_3P5_NOT_EZ_USABLE,False,5.190725455895457,True,1,0
F4,20260720T071333-cd18c5fb,archive,LEGAL,OK,True,4.347982401412674,False,0,13
F5,20260720T071439-5b501b4c,archive,NO_CERTIFIED_FULL_BELOW_3P5,NO_CERTIFIED_FULL_BELOW_3P5,False,5.187492645427993,True,0,0
F6,20260720T071545-cd18c5fb,archive,LEGAL,OK,True,2.9110505094641344,False,0,8
F7/f1,20260720T133443-9aa0ef5c,metrology,SCALE_GATE_FLIPPED_FAR_GATE_POST_GAP,FULL_BELOW_3P5_NOT_EZ_USABLE,False,5.270456349329163,True,11,0
F8/f2,20260720T134522-9aa0ef5c,metrology,LEGAL,OK,True,5.020451357538778,True,5,28
F9/f3,20260720T135008-9aa0ef5c,metrology,LEGAL,OK,True,5.278756824277082,True,1,35
F10/f4,20260720T142917-9aa0ef5c,metrology,NO_CERTIFIED_FULL_BELOW_3P5,NO_CERTIFIED_FULL_BELOW_3P5,False,5.225145824776412,True,0,0
