source,flight_key,mono_ns,t_rel_s,tau_s,guidance_phase,tau_le_threshold,path
live,20260719T201851-50f9dcc8,169009795586500,0.0,0.5374619001460549,position,False,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169009815596500,0.02001,0.5115184980018208,position,False,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169009835351400,0.0397649,0.4776989789216658,position,False,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169009855438400,0.0598519,0.4422744017565814,damping,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169009875522100,0.0799356,0.4280334348276894,damping,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169009895527900,0.0999414,0.41292212255503946,damping,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169009915374700,0.1197882,0.40209761316495557,damping,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169009935293500,0.139707,0.39262190175957207,damping,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169009955458400,0.1598719,0.38102556912795965,damping,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169009975377800,0.1797913,0.37312180523307653,damping,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169009995158000,0.1995715,0.3693907094412919,damping,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169010014919700,0.2193332,0.3498129002989079,damping,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169010034822100,0.2392356,0.31337426337556346,damping,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169010054890800,0.2593043,0.2892884596094255,damping,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169010075043000,0.2794565,0.24079762154470744,freeze,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169010095070000,0.2994835,0.20170270665307696,freeze,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169010114824400,0.3192379,0.17361586978638585,freeze,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169010135023100,0.3394366,0.11349766805958307,freeze,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169010154945400,0.3593589,0.08390446505208354,freeze,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169010175226500,0.37964,0.052240862705306985,freeze,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169010195029600,0.3994431,0.052240862705306985,freeze,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169010215611800,0.4200253,0.052240862705306985,freeze,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169010234820100,0.4392336,0.052240862705306985,freeze,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169010255456700,0.4598702,0.052240862705306985,freeze,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169010275801700,0.4802152,0.052240862705306985,freeze,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
live,20260719T201851-50f9dcc8,169010295217500,0.499631,0.052240862705306985,freeze,True,C:\Users\tsion\Projects\eni_dcim\fixtures\20260719T204430-phase6i-r-rate-ab\20260719T201851-50f9dcc8-flight.jsonl
