flight_id,flight,t_rel_s,feature_ts_ns,feature_mode,cert_status,range_z_m,e_side,e_full_same_ts,residual_side_minus_full,psi_age_s,maintenance_no_same_ts_full,e_reject,span_px,commit
20260720T071112-cd18c5fb,F2,5.1648057,1784531478528263680,SIDE_PAIR,none,3.6401409743309965,,,,0.062374144,True,not_certified,155.63460350533578,False
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,5.1648057,1784531478528263680,SIDE_PAIR,none,3.6401409743309965,,,,0.062374144,True,not_certified,155.63460350533578,False
20260720T071112-cd18c5fb,F2,5.3664833,1784531478729590528,SIDE_PAIR,probation,2.964745855157551,-0.45,,,0.131781632,True,ok,150.52409237979776,True
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,5.3664833,1784531478729590528,SIDE_PAIR,probation,2.964745855157551,-0.45,,,0.131781632,True,ok,150.52409237979776,True
20260720T071112-cd18c5fb,F2,5.7000475,1784531479062956288,SIDE_PAIR,none,3.3181669177203057,,,,0.465147392,True,not_certified,183.31274159036246,True
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,5.7000475,1784531479062956288,SIDE_PAIR,none,3.3181669177203057,,,,0.465147392,True,not_certified,183.31274159036246,True
20260720T071112-cd18c5fb,F2,6.1647967,1784531479528186624,SIDE_PAIR,probation,2.772713831703781,-0.45,,,0.930377728,True,ok,150.01058899121375,True
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,6.1647967,1784531479528186624,SIDE_PAIR,probation,2.772713831703781,-0.45,,,0.930377728,True,ok,150.01058899121375,True
20260720T071112-cd18c5fb,F2,6.2347193,1784531479597761792,SIDE_PAIR,none,2.460693691933111,,,,0.999952896,True,not_certified,187.65672375489817,True
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,6.2347193,1784531479597761792,SIDE_PAIR,none,2.460693691933111,,,,0.999952896,True,not_certified,187.65672375489817,True
20260720T071112-cd18c5fb,F2,6.4355979,1784531479798964992,SIDE_PAIR,none,2.20523791304153,,,,1.201156096,True,not_certified,171.01780253842765,True
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,6.4355979,1784531479798964992,SIDE_PAIR,none,2.20523791304153,,,,1.201156096,True,not_certified,171.01780253842765,True
20260720T071112-cd18c5fb,F2,6.6021041,1784531479965709824,SIDE_PAIR,certified,2.1837498917296645,-0.45,-0.43836628490830676,-0.011633715091693253,0.0,False,ok,187.79872875043696,True
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,6.6021041,1784531479965709824,SIDE_PAIR,certified,2.1837498917296645,-0.45,-0.43836628490830676,-0.011633715091693253,0.0,False,ok,187.79872875043696,True
20260720T071112-cd18c5fb,F2,6.6303735,1784531479993160960,SIDE_PAIR,certified,2.1917528421853127,-0.4233423527831236,-0.41010841618228855,-0.01323393660083505,0.0,False,ok,191.45795727697802,True
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,6.6303735,1784531479993160960,SIDE_PAIR,certified,2.1917528421853127,-0.4233423527831236,-0.41010841618228855,-0.01323393660083505,0.0,False,ok,191.45795727697802,True
20260720T071112-cd18c5fb,F2,6.666107,1784531480027996928,SIDE_PAIR,certified,2.1316069594271383,-0.37349484607163175,-0.33625258163778976,-0.03724226443384199,0.0,False,ok,203.78346669583482,True
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,6.666107,1784531480027996928,SIDE_PAIR,certified,2.1316069594271383,-0.37349484607163175,-0.33625258163778976,-0.03724226443384199,0.0,False,ok,203.78346669583482,True
20260720T071112-cd18c5fb,F2,6.7000503,1784531480062738432,SIDE_PAIR,certified,2.0990217831725255,-0.32999851775330674,-0.31749504177958443,-0.012503475973722311,0.0,False,ok,208.39006163359895,True
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,6.7000503,1784531480062738432,SIDE_PAIR,certified,2.0990217831725255,-0.32999851775330674,-0.31749504177958443,-0.012503475973722311,0.0,False,ok,208.39006163359895,True
20260720T071112-cd18c5fb,F2,6.7342813,1784531480097612288,SIDE_PAIR,certified,2.0128849435913914,-0.300188567374107,-0.23730212156147812,-0.06288644581262887,0.0,False,ok,220.7756887057775,True
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,6.7342813,1784531480097612288,SIDE_PAIR,certified,2.0128849435913914,-0.300188567374107,-0.23730212156147812,-0.06288644581262887,0.0,False,ok,220.7756887057775,True
20260720T071112-cd18c5fb,F2,6.7693501,1784531480132076032,SIDE_PAIR,certified,1.9027490654879835,-0.2824694106673621,-0.23254347185842905,-0.049925938808933035,0.0,False,ok,234.0265491702013,True
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,6.7693501,1784531480132076032,SIDE_PAIR,certified,1.9027490654879835,-0.2824694106673621,-0.23254347185842905,-0.049925938808933035,0.0,False,ok,234.0265491702013,True
20260720T071112-cd18c5fb,F2,6.7964755,1784531480159929856,SIDE_PAIR,certified,1.8205209770928898,-0.27172788430730044,-0.1851786338621162,-0.08654925044518424,0.0,False,ok,250.22099836436809,True
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,6.7964755,1784531480159929856,SIDE_PAIR,certified,1.8205209770928898,-0.27172788430730044,-0.1851786338621162,-0.08654925044518424,0.0,False,ok,250.22099836436809,True
20260720T071112-cd18c5fb,F2,6.8317534,1784531480194656000,SIDE_PAIR,none,1.7168908179638442,,-0.1198992714440753,,0.0,False,not_certified,259.0835035869567,True
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,6.8317534,1784531480194656000,SIDE_PAIR,none,1.7168908179638442,,-0.1198992714440753,,0.0,False,not_certified,259.0835035869567,True
20260720T071112-cd18c5fb,F2,6.8666827,1784531480229388288,SIDE_PAIR,certified,1.648511592213068,-0.14666132403329268,-0.03143560733548645,-0.11522571669780624,0.0,False,ok,262.89312644658247,True
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,6.8666827,1784531480229388288,SIDE_PAIR,certified,1.648511592213068,-0.14666132403329268,-0.03143560733548645,-0.11522571669780624,0.0,False,ok,262.89312644658247,True
20260720T071112-cd18c5fb,F2,6.9016614,1784531480264298496,SIDE_PAIR,probation,1.5762884941520543,-0.16151078534174457,-0.02277092753551163,-0.13873985780623294,0.0,False,ok,287.40102545867717,True
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,6.9016614,1784531480264298496,SIDE_PAIR,probation,1.5762884941520543,-0.16151078534174457,-0.02277092753551163,-0.13873985780623294,0.0,False,ok,287.40102545867717,True
20260720T071112-cd18c5fb,F2,6.9368124,1784531480298793216,SIDE_PAIR,probation,1.497103373282544,-0.14921340040820946,0.025564722327002853,-0.17477812273521232,0.0,False,ok,305.9764416451629,True
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,6.9368124,1784531480298793216,SIDE_PAIR,probation,1.497103373282544,-0.14921340040820946,0.025564722327002853,-0.17477812273521232,0.0,False,ok,305.9764416451629,True
20260720T071112-cd18c5fb,F2,6.9667461,1784531480326569216,SIDE_PAIR,probation,1.4409211052718314,-0.12562566786576135,0.05184613472384944,-0.1774718025896108,0.0,False,ok,318.1571538415146,True
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,6.9667461,1784531480326569216,SIDE_PAIR,probation,1.4409211052718314,-0.12562566786576135,0.05184613472384944,-0.1774718025896108,0.0,False,ok,318.1571538415146,True
20260720T071112-cd18c5fb,F2,6.9985614,1784531480361406464,SIDE_PAIR,probation,1.3790571721205138,-0.11114987212615904,0.09609947540341199,-0.20724934752957103,0.0,False,ok,333.70728219339884,True
20260720T071112-cd18c5fb,20260720T071112-cd18c5fb,6.9985614,1784531480361406464,SIDE_PAIR,probation,1.3790571721205138,-0.11114987212615904,0.09609947540341199,-0.20724934752957103,0.0,False,ok,333.70728219339884,True
