series,label,config,run,flight_id,fixture,sample_kind,is_grinding_flight,mono_ns,collision_id,collision_kind,threat_level,impulse,planner_phase,v_body,v_body_x,v_body_y,v_body_z,gate_index_proxy,det_age_s,det_cert,range_z_m,tx_m,ty_cam_m,true_world_dz_m,center_x_px,center_y_px,hit_class,abort_reason,env_hits_total,gate_clips_total,gates_passed,duration_s
r1,r1-A-run1,A,1,20260721T191452-7bc7968c,20260721T191510-raceprep-r1-A-run1,abort_collision,False,337972612083300,1001,gate,1,0.023258432745933533,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.011561,none,,,,,,,gate_OPENING_or_UNSPECIFIED,gate clip budget exceeded (11),0,11,0,7.924774000013713
r1,r1-A-run2,A,2,20260721T191605-7bc7968c,20260721T191624-raceprep-r1-A-run2,abort_collision,False,338046682475400,1002,environment,2,2.3435258865356445,search,"[0.0, 0.0, -0.0]",0.0,0.0,-0.0,0,,,15.825019632934486,-6.143346761827112,7.70440311895017,10.815282315132913,195.77450079787747,335.79184451266843,env_NO_GATE_IN_VIEW,environment collision (impulse=2.0),2,0,0,9.360027900023852
r1,r1-A-run3,A,3,20260721T191718-7bc7968c,20260721T191735-raceprep-r1-A-run3,abort_collision,False,338117799778100,1001,gate,1,0.07961777597665787,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0201533,none,0.6634260446562944,0.02157222461263701,-0.27855283759078087,0.49947954253207877,333.66979173618773,469.8427859354623,gate_TOP_bar,gate clip budget exceeded (11),0,12,0,7.447980099997949
r1,r1-A-run4,A,4,20260721T191829-7bc7968c,20260721T191847-raceprep-r1-A-run4,abort_collision,False,338190427021300,1002,environment,2,4.991565227508545,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0462364,none,4.587371299614336,-0.6213949230248189,-0.14633573132759903,1.0632671093266717,276.6535249970589,169.7920985753282,env_NEAR_STRUCTURE_unspecified,environment collision (impulse=5.0),1,0,0,8.923990600043908
r1,r1-A-run5,A,5,20260721T191942-7bc7968c,20260721T192002-raceprep-r1-A-run5,abort_collision,False,338265191089500,1002,environment,2,1.3023239374160767,search,"[0.0, 0.0, -0.0]",0.0,0.0,-0.0,0,,,,,,,,,env_NO_GATE_IN_VIEW,environment collision (impulse=1.3),1,0,0,10.94811200001277
r1,r1-B-run6,B,6,20260721T192057-b0e9e73b,20260721T192123-raceprep-r1-B-run6,abort_collision,False,338346295184100,1002,environment,2,6.265804767608643,search,"[0.0, 0.0, -0.0]",0.0,0.0,-0.0,0,0.0059658,none,,,,,,,env_NO_GATE_IN_VIEW,environment collision (impulse=6.3),1,0,0,17.063993600022513
r1,r1-B-run7,B,7,20260721T192218-b0e9e73b,20260721T192255-raceprep-r1-B-run7,abort_collision,False,338437719628100,1002,environment,2,3.89359712600708,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0300346,certified,0.7906557342243864,-0.031843729970426,-0.37759389573062613,-0.2903038769135362,309.75,149.5,env_NEAR_STRUCTURE_unspecified,environment collision (impulse=13.4),744,0,0,27.148008099989966
r1,r1-B-run8,B,8,20260721T192350-b0e9e73b,20260721T192406-raceprep-r1-B-run8,abort_collision,False,338509327482300,1002,environment,1,0.05232176184654236,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0294583,certified,0.5030858445976215,0.0361783806991653,-0.7435490087259673,-0.37200404314200236,319.5,112.25,env_NEAR_STRUCTURE_unspecified,environment collision (impulse=1.0),14,1,0,6.983986700011883
r1,r1-B-run9,B,9,20260721T192500-b0e9e73b,20260721T192527-raceprep-r1-B-run9,abort_collision,False,338590208004200,1002,environment,2,1.7076070308685303,search,"[0.0, 0.0, -0.0]",0.0,0.0,-0.0,0,,,,,,,,,env_NO_GATE_IN_VIEW,environment collision (impulse=1.7),17,0,0,17.091983199992683
r1,r1-B-run10,B,10,20260721T192622-b0e9e73b,20260721T192651-raceprep-r1-B-run10,abort_collision,False,338673446703900,1002,environment,2,5.618348121643066,search,"[0.0, 0.0, -0.0]",0.0,0.0,-0.0,0,,,,,,,,,env_NO_GATE_IN_VIEW,environment collision (impulse=5.6),1,1,0,19.227992100000847
