series,label,config,run,flight_id,fixture,sample_kind,is_grinding_flight,mono_ns,collision_id,collision_kind,threat_level,impulse,planner_phase,v_body,v_body_x,v_body_y,v_body_z,gate_index_proxy,det_age_s,det_cert,range_z_m,tx_m,ty_cam_m,true_world_dz_m,center_x_px,center_y_px,hit_class,abort_reason,env_hits_total,gate_clips_total,gates_passed,duration_s
r1,r1-A-run1,A,1,20260721T191452-7bc7968c,20260721T191510-raceprep-r1-A-run1,collision,False,337972112256200,1001,gate,2,3.447347402572632,commit,"[1.3128285773889297, -0.16085359760525675, -0.35]",1.3128285773889297,-0.16085359760525675,-0.35,0,0.039639,none,0.2061591433592758,-0.02631311548712519,-0.4397874024550416,-0.3662211926631844,279.15681051697965,-502.6375318234525,gate_BOTTOM_bar,gate clip budget exceeded (11),0,11,0,7.924774000013713
r1,r1-A-run1,A,1,20260721T191452-7bc7968c,20260721T191510-raceprep-r1-A-run1,collision,False,337972132756800,1001,gate,1,0.2714114487171173,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0601396,none,,,,,,,gate_OPENING_or_UNSPECIFIED,gate clip budget exceeded (11),0,11,0,7.924774000013713
r1,r1-A-run1,A,1,20260721T191452-7bc7968c,20260721T191510-raceprep-r1-A-run1,collision,False,337972139732500,1001,gate,1,0.4499928951263428,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0671153,none,,,,,,,gate_OPENING_or_UNSPECIFIED,gate clip budget exceeded (11),0,11,0,7.924774000013713
r1,r1-A-run1,A,1,20260721T191452-7bc7968c,20260721T191510-raceprep-r1-A-run1,collision,False,337972570429600,1001,gate,1,0.34288299083709717,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0322376,none,4.134100912851043,4.809073579232442,-4.258953071364771,-2.0043853344424143,692.2462459904231,-149.6641788787009,gate_BOTTOM_bar,gate clip budget exceeded (11),0,11,0,7.924774000013713
r1,r1-A-run1,A,1,20260721T191452-7bc7968c,20260721T191510-raceprep-r1-A-run1,collision,False,337972577161200,1001,gate,1,0.25374916195869446,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0024103,none,,,,,,,gate_OPENING_or_UNSPECIFIED,gate clip budget exceeded (11),0,11,0,7.924774000013713
r1,r1-A-run1,A,1,20260721T191452-7bc7968c,20260721T191510-raceprep-r1-A-run1,collision,False,337972584097000,1001,gate,1,0.026590172201395035,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0093461,none,,,,,,,gate_OPENING_or_UNSPECIFIED,gate clip budget exceeded (11),0,11,0,7.924774000013713
r1,r1-A-run1,A,1,20260721T191452-7bc7968c,20260721T191510-raceprep-r1-A-run1,collision,False,337972595001300,1001,gate,1,0.007865185849368572,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0202504,none,,,,,,,gate_OPENING_or_UNSPECIFIED,gate clip budget exceeded (11),0,11,0,7.924774000013713
r1,r1-A-run1,A,1,20260721T191452-7bc7968c,20260721T191510-raceprep-r1-A-run1,collision,False,337972595033200,1001,gate,1,0.01616566814482212,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0202823,none,,,,,,,gate_OPENING_or_UNSPECIFIED,gate clip budget exceeded (11),0,11,0,7.924774000013713
r1,r1-A-run1,A,1,20260721T191452-7bc7968c,20260721T191510-raceprep-r1-A-run1,collision,False,337972597908300,1001,gate,1,0.004986870568245649,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0231574,none,,,,,,,gate_OPENING_or_UNSPECIFIED,gate clip budget exceeded (11),0,11,0,7.924774000013713
r1,r1-A-run1,A,1,20260721T191452-7bc7968c,20260721T191510-raceprep-r1-A-run1,collision,False,337972605015700,1001,gate,1,0.031039217486977577,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0044934,none,,,,,,,gate_OPENING_or_UNSPECIFIED,gate clip budget exceeded (11),0,11,0,7.924774000013713
r1,r1-A-run1,A,1,20260721T191452-7bc7968c,20260721T191510-raceprep-r1-A-run1,collision,False,337972612083300,1001,gate,1,0.023258432745933533,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.011561,none,,,,,,,gate_OPENING_or_UNSPECIFIED,gate clip budget exceeded (11),0,11,0,7.924774000013713
r1,r1-A-run1,A,1,20260721T191452-7bc7968c,20260721T191510-raceprep-r1-A-run1,abort_collision,False,337972612083300,1001,gate,1,0.023258432745933533,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.011561,none,,,,,,,gate_OPENING_or_UNSPECIFIED,gate clip budget exceeded (11),0,11,0,7.924774000013713
r1,r1-A-run2,A,2,20260721T191605-7bc7968c,20260721T191624-raceprep-r1-A-run2,collision,False,338046682439200,1002,environment,2,2.0457074642181396,search,"[0.0, 0.0, -0.0]",0.0,0.0,-0.0,0,,,15.825019632934486,-6.143346761827112,7.70440311895017,10.815282315132913,195.77450079787747,335.79184451266843,env_NO_GATE_IN_VIEW,environment collision (impulse=2.0),2,0,0,9.360027900023852
r1,r1-A-run2,A,2,20260721T191605-7bc7968c,20260721T191624-raceprep-r1-A-run2,collision,False,338046682475400,1002,environment,2,2.3435258865356445,search,"[0.0, 0.0, -0.0]",0.0,0.0,-0.0,0,,,15.825019632934486,-6.143346761827112,7.70440311895017,10.815282315132913,195.77450079787747,335.79184451266843,env_NO_GATE_IN_VIEW,environment collision (impulse=2.0),2,0,0,9.360027900023852
r1,r1-A-run2,A,2,20260721T191605-7bc7968c,20260721T191624-raceprep-r1-A-run2,abort_collision,False,338046682475400,1002,environment,2,2.3435258865356445,search,"[0.0, 0.0, -0.0]",0.0,0.0,-0.0,0,,,15.825019632934486,-6.143346761827112,7.70440311895017,10.815282315132913,195.77450079787747,335.79184451266843,env_NO_GATE_IN_VIEW,environment collision (impulse=2.0),2,0,0,9.360027900023852
