label,grinding,n_collisions,env_hits,gate_clips,abort_reason,gates_passed,duration_s,unique_collision_ids,threat_levels,impulse_p50,impulse_p95,impulse_max
r1-A-run1,False,11,0,11,gate clip budget exceeded (11),0,7.924774000013713,,,,,
r1-A-run2,False,2,2,0,environment collision (impulse=2.0),0,9.360027900023852,,,,,
r1-A-run3,False,12,0,12,gate clip budget exceeded (11),0,7.447980099997949,,,,,
r1-A-run4,False,1,1,0,environment collision (impulse=5.0),0,8.923990600043908,,,,,
r1-A-run5,False,1,1,0,environment collision (impulse=1.3),0,10.94811200001277,,,,,
r1-B-run6,False,1,1,0,environment collision (impulse=6.3),0,17.063993600022513,,,,,
r1-B-run7,False,744,744,0,environment collision (impulse=13.4),0,27.148008099989966,,,,,
r1-B-run8,False,15,14,1,environment collision (impulse=1.0),0,6.983986700011883,,,,,
r1-B-run9,False,17,17,0,environment collision (impulse=1.7),0,17.091983199992683,,,,,
r1-B-run10,False,2,1,1,environment collision (impulse=5.6),0,19.227992100000847,,,,,
r1-alt-A-run1,False,2,2,0,environment collision (impulse=2.7),0,7.995988800015766,,,,,
r1-alt-B-run2,False,1,1,0,environment collision (impulse=4.1),1,13.899988799996208,,,,,
r1-alt-A-run3,False,12,12,0,environment collision (impulse=1.9),0,14.828012500016484,,,,,
r1-alt-B-run4,False,15,15,0,environment collision (impulse=3.4),0,13.839982800011057,,,,,
r1-alt-A-run5,False,32,32,0,environment collision (impulse=4.8),1,15.747986700036563,,,,,
r1-alt-B-run6,False,53,53,0,environment collision (impulse=2.0),0,18.3719892000081,,,,,
r1-alt-A-run7,False,2,2,0,environment collision (impulse=1.4),0,12.12812860001577,,,,,
r1-alt-B-run8,False,2,2,0,environment collision (impulse=1.5),0,10.11599620000925,,,,,
r1-alt-A-run9,False,1,1,0,environment collision (impulse=6.4),0,17.09200659999624,,,,,
r1-alt-B-run10,False,84,81,3,environment collision (impulse=2.0),1,13.455984200001694,,,,,
r1b-A-run1,False,6,6,0,environment collision (impulse=3.2),0,10.56799069995759,,,,,
r1b-B-run2,False,2,2,0,environment collision (impulse=2.7),0,14.343992300040554,,,,,
r1b-A-run3,False,1,1,0,environment collision (impulse=5.1),0,7.704001900041476,,,,,
r1b-B-run4,False,17,17,0,environment collision (impulse=8.8),0,15.995997000019997,,,,,
r1b-A-run5,False,11,0,11,gate clip budget exceeded (11),0,7.66398820001632,,,,,
r1b-B-run6,False,25,19,6,environment collision (impulse=4.2),0,12.275984500010964,,,,,
r1b-A-run7,False,1,1,0,environment collision (impulse=1.2),0,9.372192799986806,,,,,
r1b-B-run8,False,1,1,0,environment collision (impulse=8.6),0,11.60399419994792,,,,,
r1b-A-run9,False,1,1,0,environment collision (impulse=3.5),0,9.235305500042159,,,,,
r1b-B-run10,False,3,3,0,environment collision (impulse=1.2),0,27.956005999993067,,,,,
r1c-A-run1,False,11,0,11,gate clip budget exceeded (11),0,14.73201410000911,,,,,
r1c-B-run2,False,29,29,0,environment collision (impulse=6.3),0,17.520018899987917,,,,,
r1c-A-run3,False,3,2,0,environment collision (impulse=1.7),0,13.268088200013153,,,,,
r1c-B-run4,True,18551,18551,,flight timeout,,120.00025729998015,[1002],{1: 18551},0.09536376595497131,0.12106698751449585,0.856329619884491
r1c-A-run5,False,2,2,0,environment collision (impulse=1.1),1,14.016011499974411,,,,,
r1c-B-run6,False,5,5,0,environment collision (impulse=1.3),0,11.828010199998971,,,,,
r1d-B-run1,False,6,2,4,environment collision (impulse=1.3),0,9.969068100035656,,,,,
r1d-B-run2,False,1,1,0,environment collision (impulse=8.6),0,12.440320199995767,,,,,
r1d-B-run3,False,11,0,11,gate clip budget exceeded (11),0,7.624014300003182,,,,,
r1d-B-run4,False,136,133,3,environment collision (impulse=11.8),1,18.707989000016823,,,,,
r1d-B-run5,False,1,1,0,environment collision (impulse=3.6),0,7.168084200005978,,,,,
r1e-B-run1,False,3,3,0,environment collision (impulse=1.4),0,5.8640337999677286,,,,,
r1e-B-run2,False,1,1,0,environment collision (impulse=11.1),0,17.245489099994302,,,,,
r1e-B-run3,False,23,12,11,gate clip budget exceeded (11),0,8.75200550002046,,,,,
r1e-B-run4,False,3,2,0,environment collision (impulse=1.6),0,7.4840018000104465,,,,,
r1e-B-run5,False,1,1,0,environment collision (impulse=1.0),0,15.552004099998157,,,,,
r1f-A-run1,False,11,2,9,environment collision (impulse=9.6),0,14.668009500019252,,,,,
r1f-B-run2,False,2,2,0,environment collision (impulse=4.2),0,7.484111000027042,,,,,
r1f-A-run3,False,1,1,0,environment collision (impulse=3.7),0,11.624304900004063,,,,,
r1f-B-run4,False,2,1,0,environment collision (impulse=2.3),0,12.62833119998686,,,,,
r1f-A-run5,False,11,0,11,gate clip budget exceeded (11),0,14.260098200000357,,,,,
r1f-B-run6,False,2,1,1,environment collision (impulse=7.3),0,11.996039799996652,,,,,
r1f-A-run7,False,1,1,0,environment collision (impulse=1.5),0,11.05602210003417,,,,,
r1f-B-run8,True,18661,18661,,flight timeout,,120.00399050000124,[1002],{1: 18661},0.09427504986524582,0.12132567912340164,0.708536684513092
r1f-A-run9,False,12,0,12,gate clip budget exceeded (11),0,8.05600099998992,,,,,
r1f-B-run10,False,1,1,0,environment collision (impulse=7.3),0,13.380053599947132,,,,,
