case,cohort,t_rel_closest_s,mono_s,phase,v_body_x,v_body_y,v_body_z,detection_present,detection_certified,detection_range_m,detection_z_m,state_range_m,state_z_m,state_age_s,state_true_dz_m,lateral_m,events
pass_r1_alt_B_run2,PASS,-3.0,5.485,takeoff,0.0,0.0,-1.0,True,True,5.158379836615851,5.076665194886206,5.635649087065489,5.533135712827645,0.021779864,5.438060063790411,-0.2793112589442837,"feature:{'ts_ns': 1784662484729519200, 'y_top_px': 239.5, 'span_px': 93.13431161500041, 'center_x_px': 309.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | heartbeat:{'ts_ns': 1784662484780520000, 'armed': True, 'src_system': 1, 'src_component': 200} | feature:{'ts_ns': 1784662484764605200, 'y_top_px': 243.0, 'span_px': 93.1933474020544, 'center_x_px': 308.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | feature:{'ts_ns': 1784662484792418100, 'y_top_px': 250.0, 'span_px': 94.53041838477179, 'center_x_px': 310.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | race:{'ts_ns': 1784662484817086100, 'sim_boot_time_ms': 46117, 'race_start_boot_time_ms': 44676, 'race_finish_time_ns': -1, 'active_gate_index': 0, 'last_gate_race_time': -1}"
pass_r1_alt_B_run2,PASS,-2.9,5.585,takeoff,0.0,0.0,-1.0,True,True,5.081683082368287,5.013746692017758,5.285950988237857,5.2223676998245425,0.021230512,5.127105121799302,-0.329062233193308,"feature:{'ts_ns': 1784662484826873100, 'y_top_px': 259.0, 'span_px': 98.50888284819801, 'center_x_px': 307.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | feature:{'ts_ns': 1784662484861653000, 'y_top_px': 260.0, 'span_px': 95.35197952848173, 'center_x_px': 309.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | heartbeat:{'ts_ns': 1784662484881036400, 'armed': True, 'src_system': 1, 'src_component': 200} | feature:{'ts_ns': 1784662484896324200, 'y_top_px': 262.0, 'span_px': 99.29753269845128, 'center_x_px': 307.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'}"
pass_r1_alt_B_run2,PASS,-2.8,5.685,takeoff,0.0,0.0,-1.0,True,True,5.220086844700823,5.181073939651894,5.227657882248744,5.180897034720582,0.00753396,5.081285092168255,-0.30701495667734036,"feature:{'ts_ns': 1784662484931051800, 'y_top_px': 267.0, 'span_px': 102.95630140987001, 'center_x_px': 306.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | heartbeat:{'ts_ns': 1784662484981730200, 'armed': True, 'src_system': 1, 'src_component': 200}"
pass_r1_alt_B_run2,PASS,-2.7,5.785,takeoff,0.0,0.0,-1.0,True,True,11.745474760137572,11.07695806910097,5.129619126070994,5.102788852169339,0.083748712,4.941053977393899,3.615846515246905,"race:{'ts_ns': 1784662485067734950, 'sim_boot_time_ms': 46367, 'race_start_boot_time_ms': 44676, 'race_finish_time_ns': -1, 'active_gate_index': 0, 'last_gate_race_time': -1} | fsm:{'ts_ns': 1784662485070393950, 'src': 'TAKEOFF', 'dst': 'RACING', 'reason': 'takeoff complete'} | heartbeat:{'ts_ns': 1784662485082321950, 'armed': True, 'src_system': 1, 'src_component': 200}"
pass_r1_alt_B_run2,PASS,-2.6,5.885,align,0.4,-0.29256713800171613,0.9540668430579278,True,True,4.643697735566303,4.600185332658696,5.052596149921864,5.006248131453716,0.166788712,4.952505706132719,-0.4207627298552187,"feature:{'ts_ns': 1784662485125321300, 'y_top_px': 267.5, 'span_px': 129.1239714383042, 'center_x_px': 290.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | feature:{'ts_ns': 1784662485160165100, 'y_top_px': 235.0, 'span_px': 111.57060544785082, 'center_x_px': 296.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | heartbeat:{'ts_ns': 1784662485183025900, 'armed': True, 'src_system': 1, 'src_component': 200} | feature:{'ts_ns': 1784662485194813000, 'y_top_px': 243.5, 'span_px': 121.92620719107111, 'center_x_px': 294.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'}"
pass_r1_alt_B_run2,PASS,-2.5,5.985,align,0.4,-0.24647642147370175,0.9208315816391359,True,True,4.656227887135823,4.616007752088382,4.66698844392398,4.597413262094693,0.007349552,4.6245833652479025,-0.2975499674123521,"feature:{'ts_ns': 1784662485229506900, 'y_top_px': 259.5, 'span_px': 125.89678312014172, 'center_x_px': 299.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | heartbeat:{'ts_ns': 1784662485283856450, 'armed': True, 'src_system': 1, 'src_component': 200} | race:{'ts_ns': 1784662485318627300, 'sim_boot_time_ms': 46618, 'race_start_boot_time_ms': 44676, 'race_finish_time_ns': -1, 'active_gate_index': 0, 'last_gate_race_time': -1}"
pass_r1_alt_B_run2,PASS,-2.4,6.085,align,0.4,-0.2214216293989272,0.8229238874297864,True,True,11.9440272480617,10.816048241187397,4.581721631694305,4.528445444611119,0.070078248,4.511180890413981,4.398522544800215,"heartbeat:{'ts_ns': 1784662485384117800, 'armed': True, 'src_system': 1, 'src_component': 200}"
pass_r1_alt_B_run2,PASS,-2.3,6.185,align,0.4,-0.14020058599428695,0.7386658123902254,True,True,12.193357643308014,10.974164674559367,4.338495284091231,4.301722342180475,0.0002492,4.23683312196449,4.711463273653473,"heartbeat:{'ts_ns': 1784662485484427900, 'armed': True, 'src_system': 1, 'src_component': 200}"
pass_r1_alt_B_run2,PASS,-2.2,6.285,align,0.4,-0.06369665184541284,0.5902533852231895,True,True,12.900749087205813,11.48770954972657,4.162279153987885,4.14354508558028,0.042189032,3.9719388989230415,5.270686669102176,"race:{'ts_ns': 1784662485569538350, 'sim_boot_time_ms': 46869, 'race_start_boot_time_ms': 44676, 'race_finish_time_ns': -1, 'active_gate_index': 0, 'last_gate_race_time': -1} | heartbeat:{'ts_ns': 1784662485584761550, 'armed': True, 'src_system': 1, 'src_component': 200}"
pass_r1_alt_B_run2,PASS,-2.1,6.385,align,0.4,-0.029530695846952316,0.5206455441852658,True,True,12.993913905768315,11.529741669646368,4.046253289864706,4.019198827978547,0.139422032,3.849677182556834,5.3670134478492315,"heartbeat:{'ts_ns': 1784662485685718700, 'armed': True, 'src_system': 1, 'src_component': 200}"
pass_r1_alt_B_run2,PASS,-2.0,6.485,align,0.4,0.019134047685871684,0.5898255249542123,True,True,12.460027184123847,11.019377427575323,3.9175119615977807,3.9002143402880045,0.007372584,3.7032566157025446,5.144328141347081,"heartbeat:{'ts_ns': 1784662485786409300, 'armed': True, 'src_system': 1, 'src_component': 200} | race:{'ts_ns': 1784662485820109950, 'sim_boot_time_ms': 47120, 'race_start_boot_time_ms': 44676, 'race_finish_time_ns': -1, 'active_gate_index': 0, 'last_gate_race_time': -1}"
