case,cohort,t_rel_closest_s,mono_s,phase,v_body_x,v_body_y,v_body_z,detection_present,detection_certified,detection_range_m,detection_z_m,state_range_m,state_z_m,state_age_s,state_true_dz_m,lateral_m,events
pass_r1k_off_run3,PASS,-3.0,14.718,takeoff,0.0,0.0,-1.0,True,True,5.377839838663879,5.219451748092724,5.430759566635323,5.307677391193179,0.020392216,4.861642090552745,0.6263489993153134,"fsm:{'ts_ns': 1784834213050469600, 'src': 'TAKEOFF', 'dst': 'RACING', 'reason': 'takeoff complete'} | feature:{'ts_ns': 1784834213050816400, 'y_top_px': 235.0, 'span_px': 94.72592042308166, 'center_x_px': 347.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | heartbeat:{'ts_ns': 1784834213094891400, 'armed': True, 'src_system': 1, 'src_component': 200} | feature:{'ts_ns': 1784834213085607700, 'y_top_px': 230.5, 'span_px': 95.80187889597991, 'center_x_px': 346.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | feature:{'ts_ns': 1784834213114373300, 'y_top_px': 209.0, 'span_px': 97.12363255150623, 'center_x_px': 341.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'}"
pass_r1k_off_run3,PASS,-2.9,14.818,align,0.4,0.3430251710733407,1.1024842034095543,True,True,5.295797447075226,4.9972000480794545,5.371312634111688,5.1541086341174935,0.014573048,4.478503821109558,0.481185856589507,"feature:{'ts_ns': 1784834213148042500, 'y_top_px': 189.5, 'span_px': 96.79876032264049, 'center_x_px': 334.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | heartbeat:{'ts_ns': 1784834213195196200, 'armed': True, 'src_system': 1, 'src_component': 200} | feature:{'ts_ns': 1784834213182917700, 'y_top_px': 185.0, 'span_px': 91.67878707749138, 'center_x_px': 336.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | feature:{'ts_ns': 1784834213217555600, 'y_top_px': 191.5, 'span_px': 96.84007434941384, 'center_x_px': 334.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'}"
pass_r1k_off_run3,PASS,-2.8,14.918,align,0.4,0.345791966350556,1.0138612313142465,True,True,5.21465852702944,5.042657338226846,5.310218275322115,5.000562578722203,0.020250816,4.299451269381301,0.40829115673716926,"feature:{'ts_ns': 1784834213252301700, 'y_top_px': 197.0, 'span_px': 95.2102935611481, 'center_x_px': 332.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | heartbeat:{'ts_ns': 1784834213295663300, 'armed': True, 'src_system': 1, 'src_component': 200} | race:{'ts_ns': 1784834213296246900, 'sim_boot_time_ms': 924206, 'race_start_boot_time_ms': 922405, 'race_finish_time_ns': -1, 'active_gate_index': 0, 'last_gate_race_time': -1} | feature:{'ts_ns': 1784834213286931100, 'y_top_px': 205.5, 'span_px': 97.26767191621273, 'center_x_px': 333.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | feature:{'ts_ns': 1784834213314670000, 'y_top_px': 216.0, 'span_px': 101.39033484509261, 'center_x_px': 332.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'}"
pass_r1k_off_run3,PASS,-2.7,15.018,align,0.4,0.2765800886921057,0.8296439438261969,True,True,5.117878851921722,5.008931881306148,5.225600849204503,5.053830665461818,0.006792704,4.510869800510347,0.37325095321379365,"feature:{'ts_ns': 1784834213350197000, 'y_top_px': 225.0, 'span_px': 97.67292357659824, 'center_x_px': 335.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | heartbeat:{'ts_ns': 1784834213396386500, 'armed': True, 'src_system': 1, 'src_component': 200} | feature:{'ts_ns': 1784834213384245700, 'y_top_px': 231.0, 'span_px': 102.59142264341595, 'center_x_px': 334.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | feature:{'ts_ns': 1784834213418910300, 'y_top_px': 231.0, 'span_px': 100.2845950283492, 'center_x_px': 334.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'}"
pass_r1k_off_run3,PASS,-2.6,15.118,align,0.4,0.2280283596704524,0.8223946875550463,True,True,3.885502028189805,3.7590631878464786,5.117392997568105,5.002367387989575,0.002079352,4.617500996683633,0.40084513132550753,"heartbeat:{'ts_ns': 1784834213496662000, 'armed': True, 'src_system': 1, 'src_component': 200} | feature:{'ts_ns': 1784834213516171600, 'y_top_px': 208.5, 'span_px': 152.6106156202772, 'center_x_px': 354.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'}"
pass_r1k_off_run3,PASS,-2.5,15.218,commit,1.7286265957539446,0.4198131978202585,-0.11266855066762277,True,True,3.8649989252570096,3.5751917196214285,3.7399063985625816,3.6519808901656097,0.007695544,3.366538817421566,0.34509161932568283,"shadow:{'ts_ns': 1784834213546472000, 'owner': 'alt', 'up_legacy_mps': -0.0405659329955165, 'adapter_delta_mps': 0.0, 'adapter_ok': True} | race:{'ts_ns': 1784834213546923000, 'sim_boot_time_ms': 924456, 'race_start_boot_time_ms': 922405, 'race_finish_time_ns': -1, 'active_gate_index': 0, 'last_gate_race_time': -1} | shadow:{'ts_ns': 1784834213566634200, 'owner': 'alt', 'up_legacy_mps': 0.07677840658922416, 'adapter_delta_mps': -1.3877787807814457e-17, 'adapter_ok': True} | shadow:{'ts_ns': 1784834213586473700, 'owner': 'alt', 'up_legacy_mps': 0.054168232766451566, 'adapter_delta_mps': 0.0, 'adapter_ok': True} | heartbeat:{'ts_ns': 1784834213597257500, 'armed': True, 'src_system': 1, 'src_component': 200} | shadow:{'ts_ns': 1784834213606485600, 'owner': 'alt', 'up_legacy_mps': -0.14336885054227336, 'adapter_delta_mps': 0.0, 'adapter_ok': True} | shadow:{'ts_ns': 1784834213626439800, 'owner': 'alt', 'up_legacy_mps': -0.4000155174984148, 'adapter_delta_mps': 2.7755575615628914e-17, 'adapter_ok': True} | feature:{'ts_ns': 1784834213620255000, 'y_top_px': 160.5, 'span_px': 144.9310180741169, 'center_x_px': 349.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'}"
pass_r1k_off_run3,PASS,-2.4,15.318,commit,1.6959101026593537,0.38029946470700177,-0.05275255066762277,True,True,3.867461242910479,3.3433000245894546,3.376148977189387,3.2493112596084894,0.013774352,3.0891467617023682,0.36825501733817384,"shadow:{'ts_ns': 1784834213646455700, 'owner': 'alt', 'up_legacy_mps': -0.6304735661517038, 'adapter_delta_mps': 9.71445146547012e-17, 'adapter_ok': True} | shadow:{'ts_ns': 1784834213666440900, 'owner': 'alt', 'up_legacy_mps': -0.6335100519846473, 'adapter_delta_mps': 1.6653345369377348e-16, 'adapter_ok': True} | shadow:{'ts_ns': 1784834213686439500, 'owner': 'alt', 'up_legacy_mps': -0.5360453922296262, 'adapter_delta_mps': 1.1102230246251565e-16, 'adapter_ok': True} | heartbeat:{'ts_ns': 1784834213697618100, 'armed': True, 'src_system': 1, 'src_component': 200} | shadow:{'ts_ns': 1784834213706473200, 'owner': 'alt', 'up_legacy_mps': -0.413924099199115, 'adapter_delta_mps': 5.551115123125783e-17, 'adapter_ok': True} | feature:{'ts_ns': 1784834213682711800, 'y_top_px': 114.0, 'span_px': 146.972786596703, 'center_x_px': 354.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | shadow:{'ts_ns': 1784834213726643100, 'owner': 'alt', 'up_legacy_mps': -0.3210066946773267, 'adapter_delta_mps': 0.0, 'adapter_ok': True}"
pass_r1k_off_run3,PASS,-2.3,15.418,commit,1.562749875088437,0.3958344144190461,-0.17849461215240506,True,True,3.8441663893075058,3.6356359133192244,3.5779622945470506,3.213000253159502,0.020043896,3.1421644889848293,0.3315264090746602,"shadow:{'ts_ns': 1784834213754660800, 'owner': 'alt', 'up_legacy_mps': -0.20591405559384093, 'adapter_delta_mps': 0.0, 'adapter_ok': True} | feature:{'ts_ns': 1784834213717561700, 'y_top_px': 152.59870254786802, 'span_px': 112.07237039849309, 'center_x_px': 347.6314943344838, 'cert_status': 'probation', 'mode': 'SIDE_PAIR'} | shadow:{'ts_ns': 1784834213766471800, 'owner': 'alt', 'up_legacy_mps': -0.13567430312333717, 'adapter_delta_mps': -2.7755575615628914e-17, 'adapter_ok': True} | feature:{'ts_ns': 1784834213752342100, 'y_top_px': 166.0, 'span_px': 144.49913494550754, 'center_x_px': 356.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | shadow:{'ts_ns': 1784834213786472300, 'owner': 'alt', 'up_legacy_mps': -0.08022716853658407, 'adapter_delta_mps': -5.551115123125783e-17, 'adapter_ok': True} | race:{'ts_ns': 1784834213797153100, 'sim_boot_time_ms': 924707, 'race_start_boot_time_ms': 922405, 'race_finish_time_ns': -1, 'active_gate_index': 0, 'last_gate_race_time': -1} | heartbeat:{'ts_ns': 1784834213798205300, 'armed': True, 'src_system': 1, 'src_component': 200} | shadow:{'ts_ns': 1784834213806472500, 'owner': 'alt', 'up_legacy_mps': -0.020742915196598044, 'adapter_delta_mps': 0.0, 'adapter_ok': True} | feature:{'ts_ns': 1784834213786914900, 'y_top_px': 178.5, 'span_px': 143.42245291445826, 'center_x_px': 354.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | shadow:{'ts_ns': 1784834213826472900, 'owner': 'term', 'up_legacy_mps': 0.022660860070944894, 'adapter_delta_mps': 0.0, 'adapter_ok': True}"
pass_r1k_off_run3,PASS,-2.2,15.518,commit,1.6574194729888145,0.3360299822590496,-0.32823931215240504,False,False,,,3.8157939715016576,3.6056340618653597,0.011860472,3.5224460404591182,0.31710667356223443,"shadow:{'ts_ns': 1784834213846474600, 'owner': 'term', 'up_legacy_mps': 0.058440554496202446, 'adapter_delta_mps': -5.551115123125783e-17, 'adapter_ok': True} | shadow:{'ts_ns': 1784834213866482900, 'owner': 'term', 'up_legacy_mps': 0.07468316307100402, 'adapter_delta_mps': -5.551115123125783e-17, 'adapter_ok': True} | shadow:{'ts_ns': 1784834213886471300, 'owner': 'term', 'up_legacy_mps': 0.12736032871646283, 'adapter_delta_mps': 5.551115123125783e-17, 'adapter_ok': True} | heartbeat:{'ts_ns': 1784834213898945300, 'armed': True, 'src_system': 1, 'src_component': 200} | shadow:{'ts_ns': 1784834213906471900, 'owner': 'term', 'up_legacy_mps': 0.1635198154804587, 'adapter_delta_mps': -5.551115123125783e-17, 'adapter_ok': True} | shadow:{'ts_ns': 1784834213926472500, 'owner': 'term', 'up_legacy_mps': 0.15247946320200675, 'adapter_delta_mps': -5.551115123125783e-17, 'adapter_ok': True}"
pass_r1k_off_run3,PASS,-2.1,15.618,commit,1.7395120839407763,0.23997901172207775,-0.22266934140469682,False,False,,,3.3259999713040287,3.265839571774213,0.0,3.0839997390835174,0.21187607448323187,"shadow:{'ts_ns': 1784834213946471100, 'owner': 'term', 'up_legacy_mps': 0.12405261673889398, 'adapter_delta_mps': -5.551115123125783e-17, 'adapter_ok': True} | shadow:{'ts_ns': 1784834213966485100, 'owner': 'term', 'up_legacy_mps': 0.08515244303135358, 'adapter_delta_mps': 0.0, 'adapter_ok': True} | shadow:{'ts_ns': 1784834213986473100, 'owner': 'term', 'up_legacy_mps': 0.08017155724783526, 'adapter_delta_mps': 0.0, 'adapter_ok': True} | heartbeat:{'ts_ns': 1784834213999839000, 'armed': True, 'src_system': 1, 'src_component': 200} | shadow:{'ts_ns': 1784834214006471500, 'owner': 'term', 'up_legacy_mps': 0.09640944684292554, 'adapter_delta_mps': 2.7755575615628914e-17, 'adapter_ok': True} | shadow:{'ts_ns': 1784834214026470800, 'owner': 'term', 'up_legacy_mps': 0.10944994176562073, 'adapter_delta_mps': 0.0, 'adapter_ok': True}"
