case,cohort,t_rel_closest_s,mono_s,phase,v_body_x,v_body_y,v_body_z,detection_present,detection_certified,detection_range_m,detection_z_m,state_range_m,state_z_m,state_age_s,state_true_dz_m,lateral_m,events
stall_t2r1_B_run2,STALL,-3.0,17.777,approach,2.492553980054189,-0.16116046787183597,-1.8788642683375638,True,True,7.7846796286105375,6.254906233147281,8.204159646371673,6.951907225824808,0.02101416,4.989602465436135,0.08017287647209087,"race:{'ts_ns': 1784838805343298450, 'sim_boot_time_ms': 134355, 'race_start_boot_time_ms': 129973, 'race_finish_time_ns': -1, 'active_gate_index': 0, 'last_gate_race_time': -1} | heartbeat:{'ts_ns': 1784838805347467750, 'armed': True, 'src_system': 1, 'src_component': 200} | feature:{'ts_ns': 1784838805328499900, 'y_top_px': 139.0, 'span_px': 60.728905802755904, 'center_x_px': 294.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | feature:{'ts_ns': 1784838805362947500, 'y_top_px': 133.5, 'span_px': 61.98386886924694, 'center_x_px': 295.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | feature:{'ts_ns': 1784838805391316300, 'y_top_px': 121.0, 'span_px': 62.0966987850401, 'center_x_px': 304.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | feature:{'ts_ns': 1784838805425457600, 'y_top_px': 107.0, 'span_px': 65.11528238439882, 'center_x_px': 317.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'}"
stall_t2r1_B_run2,STALL,-2.9,17.877,approach,2.4081045529250384,-0.03203007124387672,-1.7988037230258629,True,True,7.631762128355091,6.105981060132873,8.023570355772787,6.581242118356005,0.006659232,5.444342794200931,0.3635957266138937,"heartbeat:{'ts_ns': 1784838805448029350, 'armed': True, 'src_system': 1, 'src_component': 200} | feature:{'ts_ns': 1784838805460190200, 'y_top_px': 102.0, 'span_px': 62.12889826803627, 'center_x_px': 331.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | feature:{'ts_ns': 1784838805495005500, 'y_top_px': 113.0, 'span_px': 65.76473218982953, 'center_x_px': 329.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'}"
stall_t2r1_B_run2,STALL,-2.8,17.977,approach,2.41761511812716,0.2690006466395818,-1.9662204028191599,True,True,7.462147974363435,6.383334601529663,7.652461762031516,6.306713221687517,0.008014584,5.683150060599331,0.04668386418837503,"heartbeat:{'ts_ns': 1784838805548271500, 'armed': True, 'src_system': 1, 'src_component': 200} | feature:{'ts_ns': 1784838805529771800, 'y_top_px': 125.0, 'span_px': 65.76473218982953, 'center_x_px': 319.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | feature:{'ts_ns': 1784838805557434700, 'y_top_px': 134.0, 'span_px': 69.05070600652827, 'center_x_px': 316.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | race:{'ts_ns': 1784838805594009700, 'sim_boot_time_ms': 134605, 'race_start_boot_time_ms': 129973, 'race_finish_time_ns': -1, 'active_gate_index': 0, 'last_gate_race_time': -1} | feature:{'ts_ns': 1784838805592303600, 'y_top_px': 137.5, 'span_px': 66.61080993352356, 'center_x_px': 321.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'}"
stall_t2r1_B_run2,STALL,-2.7,18.077,approach,2.521776199160009,0.23868038330918584,-1.7256529581166897,True,True,6.951196662618854,5.942221271850664,7.4333999434557905,6.381219404583528,0.007762928,6.1805094906250595,0.254626631636106,"feature:{'ts_ns': 1784838805627022300, 'y_top_px': 138.5, 'span_px': 68.18357573492314, 'center_x_px': 328.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | heartbeat:{'ts_ns': 1784838805648540100, 'armed': True, 'src_system': 1, 'src_component': 200} | feature:{'ts_ns': 1784838805661629900, 'y_top_px': 142.5, 'span_px': 71.06335201775947, 'center_x_px': 325.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | feature:{'ts_ns': 1784838805696198700, 'y_top_px': 141.5, 'span_px': 70.06425622241343, 'center_x_px': 326.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | feature:{'ts_ns': 1784838805724499500, 'y_top_px': 132.5, 'span_px': 72.00694410957877, 'center_x_px': 334.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'}"
stall_t2r1_B_run2,STALL,-2.6,18.177,approach,2.525851688478477,0.2882209593902073,-1.5895971269037381,True,True,6.730118605130946,5.717710826227292,6.970856959287105,5.952151899133992,0.0,6.244283107248083,0.23357528568330144,"heartbeat:{'ts_ns': 1784838805749458700, 'armed': True, 'src_system': 1, 'src_component': 200} | feature:{'ts_ns': 1784838805758740300, 'y_top_px': 125.5, 'span_px': 74.16872656315464, 'center_x_px': 339.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | feature:{'ts_ns': 1784838805793511000, 'y_top_px': 127.5, 'span_px': 75.16648189186454, 'center_x_px': 335.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'}"
stall_t2r1_B_run2,STALL,-2.5,18.277,approach,2.5035971909018664,0.4032641990395638,-1.6386491025215797,True,True,6.248103761259301,5.346667570370967,6.637155124095818,5.672159037396166,0.024218088,6.150262617994797,0.363486304521893,"race:{'ts_ns': 1784838805844493550, 'sim_boot_time_ms': 134856, 'race_start_boot_time_ms': 129973, 'race_finish_time_ns': -1, 'active_gate_index': 0, 'last_gate_race_time': -1} | feature:{'ts_ns': 1784838805828507600, 'y_top_px': 130.5, 'span_px': 75.53806987208503, 'center_x_px': 338.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | heartbeat:{'ts_ns': 1784838805849837750, 'armed': True, 'src_system': 1, 'src_component': 200} | feature:{'ts_ns': 1784838805862997400, 'y_top_px': 132.0, 'span_px': 78.26237921249263, 'center_x_px': 344.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | shadow:{'ts_ns': 1784838805902368750, 'owner': 'alt', 'up_legacy_mps': -0.3253078667214707, 'adapter_delta_mps': -8.996141705557733e-17, 'adapter_ok': True} | feature:{'ts_ns': 1784838805891469600, 'y_top_px': 128.5, 'span_px': 75.0, 'center_x_px': 348.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | shadow:{'ts_ns': 1784838805922367850, 'owner': 'alt', 'up_legacy_mps': -0.32393069257143126, 'adapter_delta_mps': -1.4881503892082512e-17, 'adapter_ok': True}"
stall_t2r1_B_run2,STALL,-2.4,18.377,commit,1.515089561149916,0.27550801264709734,0.0,True,True,5.991113902694799,5.889514942266226,6.297873518128738,5.432531682493259,0.009233912,6.010092803301479,0.028978360858727563,"shadow:{'ts_ns': 1784838805942533150, 'owner': 'term', 'up_legacy_mps': -0.14902194762697774, 'adapter_delta_mps': 3.6161730036848113e-17, 'adapter_ok': True} | feature:{'ts_ns': 1784838805925777200, 'y_top_px': 147.0, 'span_px': 80.23091673413684, 'center_x_px': 337.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | heartbeat:{'ts_ns': 1784838805950185150, 'armed': True, 'src_system': 1, 'src_component': 200} | shadow:{'ts_ns': 1784838805962367950, 'owner': 'term', 'up_legacy_mps': 0.032346615154997586, 'adapter_delta_mps': -6.938893903907228e-18, 'adapter_ok': True} | feature:{'ts_ns': 1784838805960037700, 'y_top_px': 219.0, 'span_px': 81.02468759581859, 'center_x_px': 336.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | shadow:{'ts_ns': 1784838805982367550, 'owner': 'term', 'up_legacy_mps': 0.17258266305296266, 'adapter_delta_mps': -1.3877787807814457e-17, 'adapter_ok': True} | shadow:{'ts_ns': 1784838806002367450, 'owner': 'term', 'up_legacy_mps': 0.2382009513279003, 'adapter_delta_mps': 5.551115123125783e-17, 'adapter_ok': True} | feature:{'ts_ns': 1784838805995064600, 'y_top_px': 245.5, 'span_px': 83.19855767980596, 'center_x_px': 334.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | shadow:{'ts_ns': 1784838806022367450, 'owner': 'term', 'up_legacy_mps': 0.16821415122418476, 'adapter_delta_mps': 6.938893903907228e-18, 'adapter_ok': True}"
stall_t2r1_B_run2,STALL,-2.3,18.477,commit,1.7379021329208995,0.052283741805645566,-0.05975145000000001,True,True,5.680172930742107,5.546743605954184,6.0014092292933245,5.862987695508777,0.008849096,5.5523514521262145,-0.11758201330720339,"shadow:{'ts_ns': 1784838806042367550, 'owner': 'term', 'up_legacy_mps': 0.11818447294943579, 'adapter_delta_mps': 2.0816681711721685e-17, 'adapter_ok': True} | heartbeat:{'ts_ns': 1784838806050532450, 'armed': True, 'src_system': 1, 'src_component': 200} | feature:{'ts_ns': 1784838806029685200, 'y_top_px': 239.5, 'span_px': 79.81227975693966, 'center_x_px': 333.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | shadow:{'ts_ns': 1784838806062342000, 'owner': 'term', 'up_legacy_mps': 0.055281777867861856, 'adapter_delta_mps': -1.099351654932045e-17, 'adapter_ok': True} | feature:{'ts_ns': 1784838806057289600, 'y_top_px': 234.0, 'span_px': 83.93449827097318, 'center_x_px': 329.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | shadow:{'ts_ns': 1784838806082342100, 'owner': 'term', 'up_legacy_mps': 0.04234558976199237, 'adapter_delta_mps': -3.680061402928163e-18, 'adapter_ok': True} | race:{'ts_ns': 1784838806095495400, 'sim_boot_time_ms': 135107, 'race_start_boot_time_ms': 129973, 'race_finish_time_ns': -1, 'active_gate_index': 0, 'last_gate_race_time': -1} | shadow:{'ts_ns': 1784838806102340900, 'owner': 'term', 'up_legacy_mps': 0.04200243491874908, 'adapter_delta_mps': -7.378878456463212e-18, 'adapter_ok': True} | feature:{'ts_ns': 1784838806092071300, 'y_top_px': 232.5, 'span_px': 87.64131445842195, 'center_x_px': 328.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | shadow:{'ts_ns': 1784838806122340700, 'owner': 'term', 'up_legacy_mps': 0.017885718006455602, 'adapter_delta_mps': 0.0, 'adapter_ok': True}"
stall_t2r1_B_run2,STALL,-2.2,18.577,commit,1.7332844497598747,-0.12506409843169491,0.0,True,True,5.246333257558033,5.104115641770322,5.6612403472933135,5.521919179492322,0.015196768,5.3305141554754245,-0.22085035505901066,"shadow:{'ts_ns': 1784838806142340800, 'owner': 'term', 'up_legacy_mps': 0.0004233961678478059, 'adapter_delta_mps': 0.0, 'adapter_ok': True} | feature:{'ts_ns': 1784838806126723800, 'y_top_px': 229.5, 'span_px': 90.52071586106685, 'center_x_px': 325.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | heartbeat:{'ts_ns': 1784838806150661600, 'armed': True, 'src_system': 1, 'src_component': 200} | shadow:{'ts_ns': 1784838806162343100, 'owner': 'term', 'up_legacy_mps': -0.011922825975885728, 'adapter_delta_mps': 0.0, 'adapter_ok': True} | feature:{'ts_ns': 1784838806161407600, 'y_top_px': 225.0, 'span_px': 91.76055797563569, 'center_x_px': 324.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | shadow:{'ts_ns': 1784838806182346700, 'owner': 'term', 'up_legacy_mps': -0.0207106126588108, 'adapter_delta_mps': 0.0, 'adapter_ok': True} | shadow:{'ts_ns': 1784838806202343700, 'owner': 'term', 'up_legacy_mps': -0.032040591362693244, 'adapter_delta_mps': 0.0, 'adapter_ok': True} | feature:{'ts_ns': 1784838806196189200, 'y_top_px': 222.5, 'span_px': 93.96275858019496, 'center_x_px': 323.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | shadow:{'ts_ns': 1784838806222344800, 'owner': 'term', 'up_legacy_mps': -0.028144705937487878, 'adapter_delta_mps': -1.476908322900637e-17, 'adapter_ok': True} | feature:{'ts_ns': 1784838806224225600, 'y_top_px': 223.0, 'span_px': 94.64142856064674, 'center_x_px': 322.5, 'cert_status': 'certified', 'mode': 'FULL_QUAD'}"
stall_t2r1_B_run2,STALL,-2.1,18.677,commit,1.7246337059542205,-0.22686821919155323,0.0,True,True,4.963880936363041,4.831509417689347,5.357033445017141,5.206611981847956,0.002939744,5.095207747335624,-0.1911990688205994,"shadow:{'ts_ns': 1784838806242343300, 'owner': 'term', 'up_legacy_mps': -0.018424130476066884, 'adapter_delta_mps': 0.0, 'adapter_ok': True} | heartbeat:{'ts_ns': 1784838806251468200, 'armed': True, 'src_system': 1, 'src_component': 200} | shadow:{'ts_ns': 1784838806262367550, 'owner': 'term', 'up_legacy_mps': -0.021964561770709573, 'adapter_delta_mps': 0.0, 'adapter_ok': True} | feature:{'ts_ns': 1784838806258675000, 'y_top_px': 223.0, 'span_px': 95.60334722173695, 'center_x_px': 322.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | shadow:{'ts_ns': 1784838806282368450, 'owner': 'term', 'up_legacy_mps': -0.02072241676068673, 'adapter_delta_mps': 0.0, 'adapter_ok': True} | shadow:{'ts_ns': 1784838806302367950, 'owner': 'term', 'up_legacy_mps': -0.02911085336119771, 'adapter_delta_mps': -1.4780112643095672e-17, 'adapter_ok': True} | feature:{'ts_ns': 1784838806293268500, 'y_top_px': 221.0, 'span_px': 98.08159868191383, 'center_x_px': 322.0, 'cert_status': 'certified', 'mode': 'FULL_QUAD'} | shadow:{'ts_ns': 1784838806322367150, 'owner': 'term', 'up_legacy_mps': -0.015169285514845806, 'adapter_delta_mps': -1.4779924265032813e-17, 'adapter_ok': True}"
