t_rel_s,signed_plane_m,signed_plane_dot_n_m,active_gate_index,lock_present,det_present,det_certified,det_confidence,det_class,gate_rel_age_s,commit_predicate_vector,range_m,lateral_m,true_world_dz_m,opening_off_m,abort_corridor_breach_proxy,margin_lateral_m,margin_vertical_m,last_full_quad_signed_plane_m,phase,v_cmd_body_xyz,yaw_rate,blind_hold,speed_cap_mps,v_est_body_xyz,phase_transition,exit_cause,proxy_exit_cause,collision_impulse
0.0,0.9820383963549756,0.7797692057559138,0,True,True,True,1.0,FULL_QUAD,0.001239408,UNLOGGED,1.262040916196666,0.07972615859706635,0.6324468213596557,0.6374521489591017,True,0.7202738414029337,0.16755317864034436,0.9820383963549756,commit,"(1.3358485359650698, 0.15628570346271442, -0.622481025)",0.09720804309212623,False,UNLOGGED,"(2.12323719368209, -0.35575231749132863, -0.9630743573514897)",,UNLOGGED,NONE,
0.0184,0.9312046498640985,0.7297498308097417,0,True,True,True,1.0,FULL_QUAD,0.029110408,UNLOGGED,1.1853089635186254,0.10246351673080818,0.6135731341684393,0.6220697414551895,True,0.6975364832691918,0.18642686583156076,0.9312046498640985,retreat,"(-1.2, 0.0, -0.0)",0.13151090932416024,False,UNLOGGED,"(2.1077393585204427, -0.22158219857328904, -2.461878737375153)",commit→retreat,UNLOGGED,RETREAT,
0.038,0.9080426755299441,0.7066604241257488,0,True,True,True,1.0,FULL_QUAD,0.043173408,UNLOGGED,1.1402201106185543,0.11562770289862145,0.6123195051136631,0.623141189474948,True,0.6843722971013786,0.18768049488633698,0.9080426755299441,retreat,"(-1.2, 0.0, -0.2)",0.15198680463925784,False,UNLOGGED,"(2.1252456362390846, -0.16443513846777777, -2.635761344539675)",,UNLOGGED,RETREAT,
0.058,0.8850683682428107,0.6720609125084485,0,True,True,True,1.0,FULL_QUAD,0.063831408,UNLOGGED,1.0806368011249279,0.14822380153348913,0.6302802418932194,0.6474746934529676,True,0.6517761984665109,0.16971975810678064,0.8850683682428107,retreat,"(-1.2, 0.0, -0.2)",0.1991180853670775,False,UNLOGGED,"(2.1664679185021267, 0.012321561466308271, -1.7456348295735138)",,UNLOGGED,RETREAT,
0.0781,0.8579967344816669,0.6356369137158608,0,True,True,True,1.0,FULL_QUAD,0.084663408,UNLOGGED,1.0274012860404096,0.17588593365287192,0.6337744439266917,0.657727836898766,True,0.6241140663471281,0.16622555607330836,0.8579967344816669,retreat,"(-1.2, 0.0, -0.2)",0.24263375691290295,False,UNLOGGED,"(2.1907757026763046, 0.10641420460995397, -1.1493286335575836)",,UNLOGGED,RETREAT,
0.098,0.8190356921126661,0.5956762985090677,0,True,True,True,1.0,FULL_QUAD,0.105643408,UNLOGGED,0.9873513487381443,0.1950357132536296,0.6168476324383289,0.6469466215145757,True,0.6049642867463705,0.1831523675616712,0.8190356921126661,retreat,"(-1.2, 0.0, -0.2)",0.2805295515146667,False,UNLOGGED,"(2.1461852921871514, 0.15644780328249136, -0.13762953429685348)",,UNLOGGED,RETREAT,
0.118,0.7910591615165452,0.5686952173648243,0,True,True,True,1.0,FULL_QUAD,0.119531408,UNLOGGED,0.9636794330736888,0.2055332868937525,0.6015767428175934,0.635718891901424,True,0.5944667131062475,0.1984232571824066,0.7910591615165452,retreat,"(-1.2, 0.0, -0.2)",0.3050397584107475,False,UNLOGGED,"(2.1241201523367437, 0.1600248722749191, 0.25283960993554183)",,UNLOGGED,RETREAT,
0.1381,0.731346998701813,0.5149211216039469,0,True,True,True,1.0,FULL_QUAD,0.147297408,UNLOGGED,0.9220945815360083,0.22026429568708278,0.5638102265990803,0.6053084598551658,True,0.5797357043129172,0.23618977340091973,0.731346998701813,retreat,"(-1.2, 0.0, -0.2)",0.35104261144156274,False,UNLOGGED,"(2.07230736242346, 0.15038596859263703, 0.38074217758925094)",,UNLOGGED,RETREAT,
0.1581,0.68755424970216,0.4772235127646072,0,True,True,True,1.0,FULL_QUAD,0.168002408,UNLOGGED,0.8876467938607271,0.22469699981455052,0.5315763446106146,0.5771153713732143,True,0.5753030001854496,0.2684236553893854,0.68755424970216,retreat,"(-1.2, 0.0, -0.2)",0.37903762512579564,False,UNLOGGED,"(2.0206891235593414, 0.13780049299728875, -0.2590056055653803)",,UNLOGGED,RETREAT,
0.178,0.6589082149052576,0.45269198216956535,0,True,True,True,1.0,FULL_QUAD,0.182000408,UNLOGGED,0.8624593291817274,0.2240547489005753,0.5077428941885358,0.5549805195714985,True,0.5759452510994247,0.29225710581146425,0.6589082149052576,retreat,"(-1.2, 0.0, -0.2)",0.39332858000088855,False,UNLOGGED,"(2.0057952532090417, 0.1358901165371131, -0.4336744429969287)",,UNLOGGED,RETREAT,
