t_rel_s,signed_plane_m,active_gate_index,lock_present,det_present,det_certified,det_confidence,det_class,gate_rel_age_s,commit_predicate_vector,range_m,lateral_m,true_world_dz_m,opening_off_m,abort_corridor_breach_proxy,margin_lateral_m,margin_vertical_m,last_full_quad_signed_plane_m,phase,v_cmd_body_xyz,yaw_rate,blind_hold,speed_cap_mps,v_est_body_xyz,phase_transition,exit_cause,proxy_exit_cause,collision_impulse
0.0,0.9783434261843358,1,True,False,False,,none,0.381924704,UNLOGGED,4.040355298925898,0.7013507832713208,1.4882788428360927,1.6452558570717304,False,0.09864921672867921,-0.6882788428360926,0.24251552121844755,align,"(0.4, 0.4208104699627925, -0.7482522448097215)",0.25647554408786255,False,UNLOGGED,"(0.2754584906930697, -4.095399864747018, 0.10060867078342808)",,UNLOGGED,NONE,
0.02,0.9263943668185726,1,True,False,False,,none,0.402447704,UNLOGGED,4.039403067524276,0.7134324411209303,1.543525472546391,1.7004283967410474,False,0.08656755887906975,-0.7435254725463909,0.24251552121844755,align,"(0.4, 0.4280594646725582, -0.7311518680231759)",0.25708123316145876,False,UNLOGGED,"(0.31419827373062903, -3.988639213997968, -1.3492838813645411)",,UNLOGGED,NONE,
0.0398,0.8927048447267214,1,True,False,False,,none,0.416900704,UNLOGGED,4.033463682865765,0.7255112308455994,1.5839001243803448,1.7421556044438649,False,0.07448876915440061,-0.7839001243803447,0.24251552121844755,align,"(0.4, 0.4353067385073596, -0.7111878878841451)",0.2592186723775374,False,UNLOGGED,"(0.351072847725336, -3.9932875659333633, -1.6824043873228136)",,UNLOGGED,NONE,
0.06,0.8296507568704466,1,True,False,False,,none,0.444163704,UNLOGGED,4.020578887648441,0.7601441599183556,1.663603218062245,1.829042047358409,False,0.039855840081644445,-0.863603218062245,0.24251552121844755,align,"(0.4, 0.45608649595101336, -0.6714646704248628)",0.26813108496579924,False,UNLOGGED,"(0.41534584101838545, -3.9497485894352473, -1.4919923737873781)",,UNLOGGED,NONE,
0.0802,0.7828847490844404,1,True,False,False,,none,0.462325704,UNLOGGED,4.0182718261257016,0.7866777645250221,1.7172830099170053,1.8888946083219402,False,0.013322235474977906,-0.9172830099170053,0.24251552121844755,align,"(0.4, 0.47200665871501324, -0.655971825439174)",0.2750503841922863,False,UNLOGGED,"(0.45469411622270606, -3.927584785875674, -0.8432819539875256)",,UNLOGGED,NONE,
0.0999,0.7350509196600483,1,True,False,False,,none,0.478920704,UNLOGGED,4.022819814535873,0.8105405171363891,1.7629001305547545,1.9403073983855486,False,-0.010540517136389038,-0.9629001305547544,0.24251552121844755,align,"(0.4, 0.4863243102818334, -0.6538737018436654)",0.2808708310892303,False,UNLOGGED,"(0.4800746843075143, -3.8959812497566064, -0.13468697899810866)",,UNLOGGED,NONE,
0.1223,0.6783966461297961,1,True,False,False,,none,0.497574704,UNLOGGED,4.031437693879074,0.8342570043504646,1.809951671672791,1.992965078243706,False,-0.034257004350464526,-1.009951671672791,0.24251552121844755,align,"(0.4, 0.5005542026102787, -0.6580249495504404)",0.2859060706535536,False,UNLOGGED,"(0.49985097276291857, -3.8706527770563333, 0.19712845104445678)",,UNLOGGED,NONE,
0.14,0.6098991665923804,1,True,False,False,,none,0.520714704,UNLOGGED,4.040575032986378,0.8564382393322476,1.8664848874465942,2.053594968063821,False,-0.056438239332247564,-1.0664848874465942,0.24251552121844755,commit,"(1.4991353876622797, 0.882076800244908, -1.2)",0.0,False,UNLOGGED,"(0.5202105338679397, -3.8265255409428574, -0.07027691841825295)",align→commit,UNLOGGED,NONE,
0.1608,0.5515338588603104,1,True,False,False,,none,0.541492704,UNLOGGED,4.045047682093974,0.8802048230138653,1.818713933286356,2.0205150089981507,False,-0.08020482301386522,-1.018713933286356,0.24251552121844755,commit,"(1.4897351207876062, 0.9059750777040905, -1.2)",0.2980787175604191,False,UNLOGGED,"(0.5402851554046135, -3.814061972827869, -0.39432211271751977)",,UNLOGGED,NONE,
0.18,0.49040616022754013,1,True,False,False,,none,0.567341704,UNLOGGED,4.058392462150071,0.9202855982225822,1.386864961776997,1.6644278309679297,False,-0.12028559822258211,-0.586864961776997,0.24251552121844755,commit,"(1.365525751364443, 0.9432504692216115, -1.2)",0.3347141449103969,False,UNLOGGED,"(0.4906514507433104, -3.7789089091928014, -0.9955834548094299)",,UNLOGGED,NONE,
0.2002,0.4616329441555107,1,True,False,False,,none,0.583238704,UNLOGGED,4.067537230763801,0.9532239397795219,1.0259089410197355,1.4004017404420164,False,-0.15322393977952187,-0.22590894101973547,0.24251552121844755,commit,"(1.2528028123617776, 0.9741065450097791, -1.2)",0.372751270912893,False,UNLOGGED,"(0.4039816955756632, -3.742064078354357, -1.5950562944566313)",,UNLOGGED,NONE,
0.2205,0.4312566123595465,1,True,False,False,,none,0.596946704,UNLOGGED,4.056455240786226,0.9937187430219576,0.9795219848576774,1.3953280112764395,False,-0.19371874302195757,-0.17952198485767734,0.24251552121844755,commit,"(1.225493531714581, 1.0162119217477954, -1.2)",0.39619162383204354,False,UNLOGGED,"(0.48074795844868623, -3.6422131042154633, -2.160315850683448)",,UNLOGGED,NONE,
