t_rel_s,signed_plane_m,signed_plane_dot_n_m,active_gate_index,lock_present,det_present,det_certified,det_confidence,det_class,gate_rel_age_s,commit_predicate_vector,range_m,lateral_m,true_world_dz_m,opening_off_m,abort_corridor_breach_proxy,margin_lateral_m,margin_vertical_m,last_full_quad_signed_plane_m,phase,v_cmd_body_xyz,yaw_rate,blind_hold,speed_cap_mps,v_est_body_xyz,phase_transition,exit_cause,proxy_exit_cause,collision_impulse
0.0,0.9843121171767483,0.890197381747907,0,True,True,True,1.0,FULL_QUAD,0.027807792,UNLOGGED,1.2186292739880675,0.07254324592713653,0.7626674203265176,0.7661097287968285,True,0.7274567540728635,0.03733257967348247,0.9843121171767483,commit,"(1.3902820700480638, 0.1459889492359361, -1.2)",0.08827971809987244,False,UNLOGGED,"(2.017788608148274, -0.3120526806769772, -2.315468971344219)",,UNLOGGED,NONE,
0.0201,0.9576992059823695,0.8172148731731604,0,True,True,True,1.0,FULL_QUAD,0.014102216,UNLOGGED,1.2038945231464717,0.08214690019943433,0.7319562848193929,0.7365515026791976,True,0.7178530998005657,0.06804371518060714,0.9576992059823695,commit,"(1.3677913572529754, 0.16661080199098877, -1.2)",0.10267898977576896,False,UNLOGGED,"(2.0195438552120124, -0.38871439856613255, -2.148302670276575)",,UNLOGGED,NONE,
0.0407,0.9203824290934636,0.7789857357726007,0,True,True,True,1.0,FULL_QUAD,0.034806216,UNLOGGED,1.1531636657552726,0.09606381846412139,0.7106942530188606,0.7171572899245631,True,0.7039361815358787,0.08930574698113947,0.9203824290934636,commit,"(1.372831892553512, 0.20092598273715895, -1.2)",0.12479670408049609,False,UNLOGGED,"(2.0311720187713753, -0.2871021270356658, -1.097966455593529)",,UNLOGGED,NONE,
0.06,0.8969228732376298,0.7668326227079955,0,True,True,False,0.5,partial,0.012629512,UNLOGGED,1.1406675611154853,0.045236309490587774,0.7022291910906823,0.7036847024884101,True,0.7547636905094123,0.09777080890931777,0.9203824290934636,commit,"(1.3506598707860444, 0.0952623228714744, -1.2)",0.06047076763494839,False,UNLOGGED,"(2.034919591102006, -0.2666570434554299, -0.8386800702341263)",,UNLOGGED,NONE,
0.082,0.8457843286230818,0.7143071196826725,0,True,True,False,0.5,partial,0.040446512,UNLOGGED,1.080182893925127,0.05688056993311544,0.6650879345627312,0.6675158124994762,True,0.7431194300668846,0.13491206543726886,0.9203824290934636,commit,"(1.3446721396644963, 0.12456004551462228, -1.2)",0.08058089502999859,False,UNLOGGED,"(2.0384890408567413, -0.18701988569963215, -1.0383318392925938)",,UNLOGGED,NONE,
0.1,0.8208187685932774,0.688613035525024,0,True,False,False,,none,0.054330512,UNLOGGED,1.0481757414820883,0.06499329647788242,0.6499814216823194,0.6532227622482479,True,0.7350067035221176,0.15001857831768062,0.9203824290934636,commit,"(1.3449196474329168, 0.14548813514373465, -1.2)",0.09481943560442559,False,UNLOGGED,"(2.043080408320332, -0.15727043896822399, -1.2079927871875873)",,UNLOGGED,NONE,
0.12,0.7815347516380471,0.6528026989443397,0,True,False,False,,none,0.075154512,UNLOGGED,0.9910221719787475,0.0749221054846754,0.6282117700560728,0.6326636941750655,True,0.7250778945153247,0.17178822994392728,0.9203824290934636,commit,"(1.3551980681830875, 0.17486980558688636, -1.2)",0.11468794771385218,False,UNLOGGED,"(2.0377006834498066, -0.04756599825503824, -1.8863809194048173)",,UNLOGGED,NONE,
0.1399,0.7409406581967056,0.6160554083948582,0,True,True,True,1.0,FULL_QUAD,0.096142512,UNLOGGED,0.9381262633943258,0.08162963789465118,0.6020415427268211,0.6075503410843439,True,0.7183703621053489,0.19795845727317896,0.7409406581967056,commit,"(1.3575356153964553, 0.19853785814634634, -1.2)",0.1316733184721683,False,UNLOGGED,"(2.031682608790769, 0.03327603315570862, -1.2952890378370305)",,UNLOGGED,NONE,
0.16,0.700517846365977,0.5792704516006373,0,True,True,True,1.0,FULL_QUAD,0.116695512,UNLOGGED,0.8909989339046743,0.08682171855034247,0.5738749827499938,0.5804054674435283,True,0.7131782814496576,0.22612501725000622,0.700517846365977,commit,"(1.3510764623963456, 0.21954455426654035, -1.2)",0.1479726180440519,False,UNLOGGED,"(2.031665831066733, 0.061491499642248426, -1.0026323688913221)",,UNLOGGED,NONE,
0.1799,0.6576685366196784,0.5415656363931214,0,True,False,False,,none,0.137577512,UNLOGGED,0.8454710626167613,0.09201258968580464,0.543657120951404,0.5513885942072594,True,0.7079874103141954,0.2563428790485961,0.700517846365977,commit,"(1.3359429026931733, 0.2421156379065183, -1.2)",0.16680595597149686,False,UNLOGGED,"(2.02780964789298, 0.08728615464913518, -0.9664134698686911)",,UNLOGGED,NONE,
0.1999,0.6286972334391048,0.5166187386703868,0,True,False,False,,none,0.151514512,UNLOGGED,0.8144489505338178,0.09472588387502556,0.5227336858246118,0.5312471170478845,True,0.7052741161249745,0.2772663141753883,0.700517846365977,commit,"(1.325189268649078, 0.25650194859094105, -1.2)",0.17945430165030202,False,UNLOGGED,"(2.0241744902718404, 0.10405645332447236, -1.05917405885705)",,UNLOGGED,NONE,
0.2201,0.5737516179803795,0.46763950051402503,0,True,False,False,,none,0.179308512,UNLOGGED,0.7497426986665494,0.09192787296835979,0.47628389559522266,0.4850743067117118,False,0.7080721270316402,0.3237161044047774,0.700517846365977,commit,"(1.3131248419315507, 0.26554876430474145, -1.2)",0.19064654792278404,False,UNLOGGED,"(2.024524453565992, 0.11567557580732063, -1.2304751110767016)",,UNLOGGED,NONE,
0.2399,0.5362946368575836,0.4343991489423658,0,True,False,False,,none,0.198475512,UNLOGGED,0.7031299922731613,0.0891436486954905,0.4442320413573439,0.45308795688172726,False,0.7108563513045095,0.35576795864265615,0.700517846365977,commit,"(1.308566360913363, 0.27099792988192173, -1.2)",0.19765850375281965,False,UNLOGGED,"(2.024381520131018, 0.12668181226011202, -1.4137811816249302)",,UNLOGGED,NONE,
0.2601,0.5058656532220855,0.40762593994697155,0,True,False,False,1.0,none,0.214018512,UNLOGGED,0.6647495403372652,0.08680530912875249,0.4182748842624752,0.4271873599461076,False,0.7131946908712475,0.3817251157375248,0.700517846365977,commit,"(1.3054677978051399, 0.2760982673953678, -1.2)",0.2039309140919681,False,UNLOGGED,"(2.0258746792856965, 0.13186431043918406, -1.4272929287500622)",,UNLOGGED,NONE,
0.2835,0.4648310991200341,0.37065832035920865,0,True,False,False,1.0,none,0.234878512,UNLOGGED,0.6198713037701785,0.08311643364362578,0.3821971935524346,0.3911304594390373,False,0.7168835663563743,0.41780280644756546,0.700517846365977,commit,"(1.2853387222533055, 0.2797012351092247, -1.2)",0.21232801663935255,False,UNLOGGED,"(2.017416630260009, 0.15651242627333983, -0.7265044285206868)",,UNLOGGED,NONE,
0.301,0.4238289108989354,0.33292197399822515,0,True,False,False,1.0,none,0.255686512,UNLOGGED,0.5806679964640423,0.0791246297150478,0.34522357103472945,0.35417512762122966,False,0.7208753702849522,0.4547764289652706,0.700517846365977,commit,"(1.2492171388293498, 0.2806911559517889, -1.2)",0.22147844200964187,False,UNLOGGED,"(2.0154640882273904, 0.1621500677225479, -0.43310811559023893)",,UNLOGGED,NONE,
0.322,0.3831363219113536,0.2962114563116548,0,True,False,False,,none,0.276591512,UNLOGGED,0.537934628396956,0.0751108905853348,0.30951889694495927,0.31850210902056275,False,0.7248891094146652,0.4904811030550408,0.700517846365977,commit,"(1.2174955574942101, 0.2837470519040028, -1.2)",0.23230453264508874,False,UNLOGGED,"(2.006718591940336, 0.18164031807215264, -0.8591279649161464)",,UNLOGGED,NONE,
0.3402,0.46174192835586503,0.1969904679647931,0,True,True,True,1.0,FULL_QUAD,0.0,UNLOGGED,0.695944606572754,-0.04119811146264131,0.4006139315002414,0.4027267144108624,False,0.7588018885373587,0.39938606849975866,0.46174192835586503,commit,"(1.1297251831087474, -0.12551660942089707, -1.2)",-0.10678512400163741,False,UNLOGGED,"(1.9518754845265944, 0.17251536928881378, -1.3269040342845984)",,UNLOGGED,NONE,
0.3599,0.4259786815815428,0.17646910780024236,0,True,True,True,1.0,FULL_QUAD,0.0198286,UNLOGGED,0.6426408724673072,-0.03703045594317392,0.37434923181882074,0.37617629115974405,False,0.7629695440568262,0.4256507681811793,0.4259786815815428,commit,"(1.1286208655471694, -0.12032962759663653, -1.2)",-0.10405478019836453,False,UNLOGGED,"(1.957167786105184, 0.21593077321204715, -1.8350499805978144)",,UNLOGGED,NONE,
0.38,0.4011821370411722,0.16305964450501492,0,True,False,False,,none,0.0335696,UNLOGGED,0.6075941482498664,-0.021148033572211185,0.36610066791005447,0.36671097388564655,False,0.7788519664277889,0.4338993320899456,0.4259786815815428,commit,"(1.1239555454221117, -0.07193734447585538, -1.2)",-0.06319865872306224,False,UNLOGGED,"(1.9420873323118168, 0.2997377163097479, -1.7312528318250628)",,UNLOGGED,NONE,
0.3999,0.3623415074823556,0.13891214548803882,0,True,False,False,,none,0.0545936,UNLOGGED,0.5610139746821566,0.0003370784882926574,0.3496141988355267,0.349614361331617,False,0.7996629215117074,0.45038580116447335,0.4259786815815428,commit,"(1.0984500961243406, 0.001224111522582923, -1.2)",0.0011163337926043044,False,UNLOGGED,"(1.9324430387651848, 0.39332959839953013, -1.1874574033262948)",,UNLOGGED,NONE,
0.4199,0.32426432237058145,0.10173525551028062,0,True,True,True,1.0,FULL_QUAD,0.0753686,UNLOGGED,0.5410333348118016,0.013067730721528207,0.32731367180013354,0.3275744271665539,False,0.7869322692784718,0.4726863281998665,0.32426432237058145,commit,"(1.0168270119574507, 0.04881838610955005, -1.2)",0.048333396357857,False,UNLOGGED,"(1.9060891770823634, 0.3833595431546891, 0.33132238107393236)",,UNLOGGED,NONE,
0.4398,2.981475280652389,0.9615628885384278,0,False,True,True,1.0,FULL_QUAD,,UNLOGGED,4.106850244614835,-2.722938202469801,3.6802490661294907,4.57805915680613,False,-1.922938202469801,-2.8802490661294904,2.981475280652389,recover,"(0.0, 0.0, 0.0)",0.0,False,UNLOGGED,"(0.0, 0.0, 0.0)",commit→recover,UNLOGGED,COLLISION/HARD_SAFETY,0.035060372203588486
