fixture,attempt,label,mechanism,exit_reason,pass_lag_s,closest_range_m,down_entry,down_closest,down_exit,down_median,vz_mean,climb_cmd_m,needed_climb_m,control_deficit_m,residual_at_closest,handoff_down_jump_m,handoff_range_m,frac_close_tracker,frac_full_quad,estimate_score,control_score
20260725T233817-raceprep-b1-B-run1,1,FAIL,MIXED/UNCLEAR,stale_budget,,0.1773184587817493,-0.39944037019385836,0.17044189274045693,0.17044189274045693,-0.07943825809429207,-1.0187406346882892,0.5912992541055856,0.39944037019385836,-0.19185888391172723,-0.025680803181280493,,,0.0,0.5333333333333333,0.0,0.0
20260725T234134-raceprep-b1-B-run2,1,PASS,CONTROL-driven,corridor_abort,0.5050719,1.2298336312288227,-0.7707560769029785,-0.7713056228646543,-0.7713056228646543,-0.7707560769029785,-1.2,0.19211315999999998,0.7707560769029785,0.5786429169029785,-0.00981019620985768,,,0.0,1.0,-0.5,3.5
20260725T234134-raceprep-b1-B-run2,2,FAIL,MIXED/UNCLEAR,,,0.678926933554764,-0.3360564963914478,-0.3339429396395941,-0.3339429396395941,-0.3775230323520574,-1.1166859902894364,0.4248352370006388,0.3360564963914478,-0.088778740609191,0.13309982316517954,-0.04294586828193164,1.4424752073869542,0.45,0.4,0.0,0.0
20260725T234407-raceprep-b1-B-run3,1,PASS,CONTROL-driven,corridor_abort,0.9295873,1.3855326203203926,-0.7879935793304305,-0.7894931708684378,-0.7894931708684378,-0.7894931708684378,-0.782234,0.026004864623895,0.7879935793304305,0.7619887147065355,0.00431050518649001,,,0.0,1.0,-0.5,4.5
20260725T234407-raceprep-b1-B-run3,2,FAIL,MIXED/UNCLEAR,stale_budget,,0.6997163767024693,-0.7763047907658571,0.1997603707241734,0.6358503789325879,-0.006936627922354475,-1.2,1.17608088,0.7763047907658571,-0.3997760892341429,,,,0.0,0.0,0.0,0.0
20260725T234642-raceprep-b1-B-run4,2,FAIL,CONTROL-driven,stale_budget,,0.8834306062535889,-0.5846983704246813,-0.4175931958652794,-0.4175931958652794,-0.5282660840596836,-0.7345712671875,0.2202879173990625,0.5846983704246813,0.3644104530256188,,,,0.0,0.0,0.0,2.0
20260725T234851-raceprep-b1-B-run5,1,PASS,CONTROL-driven,corridor_abort,1.4280328,1.3495235019165976,-0.9699861360419645,-0.9057845827388359,-0.9057845827388359,-0.9421448108918458,-1.2,0.047585760000000005,0.9699861360419645,0.9224003760419645,0.0010410236472361278,,,0.0,1.0,-0.5,4.5
20260725T234851-raceprep-b1-B-run5,2,FAIL,CONTROL-driven,corridor_abort,,1.3995660349588988,-0.5811133160833912,-0.5524060094562101,-0.5524060094562101,-0.5623231273964814,-0.05999785,0.00239598425745,0.5811133160833912,0.5787173318259412,,,,0.0,0.0,0.0,3.0
20260725T235104-raceprep-b1-B-run6,1,FAIL,MIXED/UNCLEAR,,,0.3394310709093818,-0.47793363826992313,-0.014490028762340585,-0.014490028762340585,-0.2532232628546807,-1.1222706895144705,0.5618885624685986,0.47793363826992313,-0.0839549241986755,,,,0.7692307692307693,0.0,0.0,0.0
20260726T000452-raceprep-b1-B-run7,1,FAIL,MIXED/UNCLEAR,,,0.7782448856643694,-0.3824615317230068,-0.49826516435221835,-0.49826516435221835,-0.39387539171896774,-0.9190235984619092,0.19039183276397367,0.3824615317230068,0.1920696989590331,,0.008213325976486607,1.3918461767815582,0.6363636363636364,0.18181818181818182,0.0,0.0
20260726T012436-raceprep-b1-B-run8,1,FAIL,ESTIMATE-driven,,,0.7980111517642571,-0.7516237728269274,-0.36110567708764507,-0.3678265298160961,-0.607365813552232,-1.1955730568181817,0.7657238542714987,0.7516237728269274,-0.01410008144457131,-0.39736267526972346,0.02919074049553494,1.211384621113623,0.5757575757575758,0.3939393939393939,1.5,0.0
