fixture,attempt,label,t_rel_s,range_m,fwd_m,down_m,right_m,v_cmd_vz,source,det_confidence,det_cert,feature_mode,gate_rel_age_s
20260725T233817-raceprep-b1-B-run1,1,FAIL,1.7851648,1.4264433134648178,1.3692361578192274,-0.39944037019385836,-0.019500289954812604,-1.0005851981610976,full_quad_unconfirmed,1.0,certified,,0.934919648
20260725T233817-raceprep-b1-B-run1,1,FAIL,1.8051087,1.3894304605421288,1.3364358384995207,-0.3796021773514567,-0.018932543580509362,-0.9912527733109884,full_quad_unconfirmed,1.0,certified,,0.948713648
20260725T233817-raceprep-b1-B-run1,1,FAIL,1.8250501,1.354004701043043,1.3006921582612616,-0.37575452282973293,-0.018362419702237717,-1.011104238850927,full_quad_unconfirmed,0.6,none,,0.963653648
20260725T233817-raceprep-b1-B-run1,1,FAIL,1.8454162,1.2873893880804677,1.2313583812761277,-0.37527292380603566,-0.0172686438756684,-1.041127188850927,full_quad_unconfirmed,0.6,none,,0.992545648
20260725T233817-raceprep-b1-B-run1,1,FAIL,1.8650444,1.2499380544918832,1.1940773241044746,-0.3691158796291679,-0.016671878479551004,-1.071104388850927,full_quad_unconfirmed,0.6,none,,1.008161648
20260725T233817-raceprep-b1-B-run1,1,FAIL,1.8849204,1.1962886066603902,1.1443478318012397,-0.34831843626134923,-0.015771405698540446,-1.0881832307447372,full_quad_unconfirmed,0.6,none,,1.029434648
20260725T233817-raceprep-b1-B-run1,1,FAIL,1.9050853,1.1682276314843554,1.1197241318649895,-0.3327749541833302,-0.015313306338766553,-1.0827850573804572,full_quad_unconfirmed,0.6,none,,1.040078648
20260725T233817-raceprep-b1-B-run1,1,FAIL,1.9252182,1.0887824552862064,1.0521763938880455,-0.27959226377378155,-0.01415051665703036,-1.0530344323804572,full_quad_unconfirmed,0.6,none,,1.069086648
20260725T233817-raceprep-b1-B-run1,1,FAIL,1.9508725,1.0385179724605251,1.0061335787350592,-0.25697167671799814,-0.01342975167466824,-1.0444732367783325,full_quad_unconfirmed,0.6,none,,1.088636648
20260725T233817-raceprep-b1-B-run1,1,FAIL,1.9649041,1.001374063079431,0.9693304524400658,-0.2509639544392411,-0.012867857349398116,-1.0657252367783325,no_detection,,,,1.104213648
20260725T233817-raceprep-b1-B-run1,1,FAIL,1.9861975,0.9345585701648843,0.9025779161736237,-0.24210000769645948,-0.011849581329583244,-1.0973993867783325,no_detection,,,,1.132352648
