row_key,flight_id,tick,ts_s,feature_ts_ns,mono_ns,v_ref_up_mps,setpoint_v_body_z,level_pitch,level_roll,certified_full,row_kind,frame_id,tick_grid_mono_ns,tick_mismatch_ns,e_meas_m,feature_mode,cert_status,det_cert_status,range_z_m,planner_phase,term_owner_state,arbiter_vertical_source,adapter_input_v_body_z,post_limit_command_v_body_z,clip_status,shadow_owner,shadow_up_legacy_mps,term_ready,term_engaged
20260719T201851-50f9dcc8|setpoint_tick=000000,20260719T201851-50f9dcc8,0,0.0,0,169002578699600,-0.0,0.0,-0.3106987661062333,0.00025650874109527094,False,setpoint_grid,,,,,,,,,,,,,,,,,,
20260719T201851-50f9dcc8|setpoint_tick=000001,20260719T201851-50f9dcc8,1,0.02,20000000,169002594654400,-0.0,0.0,-0.3106987661062333,0.00025650874109527094,False,setpoint_grid,,,,,,,,,,,,,,,,,,
20260719T201851-50f9dcc8|setpoint_tick=000002,20260719T201851-50f9dcc8,2,0.04,40000000,169002614631200,-0.0,0.0,-0.3106987661062333,0.00025650874109527094,False,setpoint_grid,,,,,,,,,,,,,,,,,,
20260719T201851-50f9dcc8|setpoint_tick=000003,20260719T201851-50f9dcc8,3,0.06,60000000,169002634620000,-0.0,0.0,-0.3106987661062333,0.00025650874109527094,False,setpoint_grid,,,,,,,,,,,,,,,,,,
20260719T201851-50f9dcc8|setpoint_tick=000004,20260719T201851-50f9dcc8,4,0.08,80000000,169002654620200,-0.0,0.0,-0.3106987661062333,0.00025650874109527094,False,setpoint_grid,,,,,,,,,,,,,,,,,,
20260719T201851-50f9dcc8|setpoint_tick=000005,20260719T201851-50f9dcc8,5,0.1,100000000,169002674621600,-0.0,0.0,-0.3106987661062333,0.00025650874109527094,False,setpoint_grid,,,,,,,,,,,,,,,,,,
20260719T201851-50f9dcc8|setpoint_tick=000006,20260719T201851-50f9dcc8,6,0.12,120000000,169002694625800,-0.0,0.0,-0.3106987661062333,0.00025650874109527094,False,setpoint_grid,,,,,,,,,,,,,,,,,,
20260719T201851-50f9dcc8|setpoint_tick=000007,20260719T201851-50f9dcc8,7,0.14,140000000,169002714649300,-0.0,0.0,-0.3106987661062333,0.00025650874109527094,False,setpoint_grid,,,,,,,,,,,,,,,,,,
20260719T201851-50f9dcc8|setpoint_tick=000008,20260719T201851-50f9dcc8,8,0.16,160000000,169002734773200,-0.0,0.0,-0.3106987661062333,0.00025650874109527094,False,setpoint_grid,,,,,,,,,,,,,,,,,,
20260719T201851-50f9dcc8|setpoint_tick=000009,20260719T201851-50f9dcc8,9,0.18,180000000,169002754746000,-0.0,0.0,-0.3106987661062333,0.00025650874109527094,False,setpoint_grid,,,,,,,,,,,,,,,,,,
