row_key,forced_cut_id,forced_v_full_raw_mps,reconstructed_v_full_raw_mps,delta_forced_minus_reconstructed_mps,used_for_calibration_fit,disclosure
20260719T201851-50f9dcc8|frame=285|feature_ts_ns=1784492338380579700,20260719T201851-50f9dcc8:A1:cut01,-0.0,-0.0,0.0,false,comparison against previous forced-withhold packet only; calibration fit uses detector-selected A091 rows
20260719T201851-50f9dcc8|frame=286|feature_ts_ns=1784492338408574600,20260719T201851-50f9dcc8:A1:cut01,-0.0,-0.0,0.0,false,comparison against previous forced-withhold packet only; calibration fit uses detector-selected A091 rows
20260719T201851-50f9dcc8|frame=287|feature_ts_ns=1784492338442940600,20260719T201851-50f9dcc8:A1:cut01,-0.0,-0.0,0.0,false,comparison against previous forced-withhold packet only; calibration fit uses detector-selected A091 rows
20260719T201851-50f9dcc8|frame=288|feature_ts_ns=1784492338477851300,20260719T201851-50f9dcc8:A1:cut01,-0.0,-0.0,0.0,false,comparison against previous forced-withhold packet only; calibration fit uses detector-selected A091 rows
20260719T201851-50f9dcc8|frame=289|feature_ts_ns=1784492338512394600,20260719T201851-50f9dcc8:A1:cut01,-0.0,-0.0,0.0,false,comparison against previous forced-withhold packet only; calibration fit uses detector-selected A091 rows
20260719T201851-50f9dcc8|frame=290|feature_ts_ns=1784492338547137500,20260719T201851-50f9dcc8:A1:cut01,-0.0,-0.0,0.0,false,comparison against previous forced-withhold packet only; calibration fit uses detector-selected A091 rows
20260719T201851-50f9dcc8|frame=291|feature_ts_ns=1784492338575118800,20260719T201851-50f9dcc8:A1:cut01,-0.0,-0.0,0.0,false,comparison against previous forced-withhold packet only; calibration fit uses detector-selected A091 rows
20260719T201851-50f9dcc8|frame=297|feature_ts_ns=1784492338776362600,20260719T201851-50f9dcc8:A1:cut01,-0.0,-0.0,0.0,false,comparison against previous forced-withhold packet only; calibration fit uses detector-selected A091 rows
20260719T201851-50f9dcc8|frame=299|feature_ts_ns=1784492338845719700,20260719T201851-50f9dcc8:A1:cut01,-0.0,-0.0,0.0,false,comparison against previous forced-withhold packet only; calibration fit uses detector-selected A091 rows
20260719T201851-50f9dcc8|frame=301|feature_ts_ns=1784492338908125900,20260719T201851-50f9dcc8:A1:cut01,-0.0,-0.0,0.0,false,comparison against previous forced-withhold packet only; calibration fit uses detector-selected A091 rows
20260719T201851-50f9dcc8|frame=288|feature_ts_ns=1784492338477851300,20260719T201851-50f9dcc8:A1:cut02,-0.0,-0.0,0.0,false,comparison against previous forced-withhold packet only; calibration fit uses detector-selected A091 rows
20260719T201851-50f9dcc8|frame=289|feature_ts_ns=1784492338512394600,20260719T201851-50f9dcc8:A1:cut02,-0.0,-0.0,0.0,false,comparison against previous forced-withhold packet only; calibration fit uses detector-selected A091 rows
20260719T201851-50f9dcc8|frame=290|feature_ts_ns=1784492338547137500,20260719T201851-50f9dcc8:A1:cut02,-0.0,-0.0,0.0,false,comparison against previous forced-withhold packet only; calibration fit uses detector-selected A091 rows
20260719T201851-50f9dcc8|frame=291|feature_ts_ns=1784492338575118800,20260719T201851-50f9dcc8:A1:cut02,-0.0,-0.0,0.0,false,comparison against previous forced-withhold packet only; calibration fit uses detector-selected A091 rows
