row_key,frame_id,feature_ts_ns,tick,ts_s,certified_full,v_full_raw_mps,response_status,history_samples,fresh_tail_samples,recent_samples,fresh_tail_span_s,max_gap_s,last_sample_cap
20260719T201851-50f9dcc8|frame=205|feature_ts_ns=1784492335714154200,205,1784492335714154200,162,3.2454666,True,,ABSENT_RESPONSE,1,1,1,0.0,0.12,12
20260719T201851-50f9dcc8|frame=206|feature_ts_ns=1784492335742525000,206,1784492335742525000,164,3.2733587,True,,ABSENT_RESPONSE,2,2,2,0.02789210000000031,0.12,12
20260719T201851-50f9dcc8|frame=207|feature_ts_ns=1784492335776849700,207,1784492335776849700,165,3.308911,True,,ABSENT_RESPONSE,3,3,3,0.06344440000000029,0.12,12
20260719T201851-50f9dcc8|frame=208|feature_ts_ns=1784492335811838800,208,1784492335811838800,167,3.3429205,True,-0.0,VALID,4,4,4,0.0974539000000001,0.12,12
20260719T201851-50f9dcc8|frame=209|feature_ts_ns=1784492335846138500,209,1784492335846138500,169,3.3773653,True,-0.0,VALID,5,5,5,0.13189870000000026,0.12,12
20260719T201851-50f9dcc8|frame=210|feature_ts_ns=1784492335874083300,210,1784492335874083300,170,3.4056776,True,-0.0,VALID,6,6,6,0.16021100000000033,0.12,12
20260719T201851-50f9dcc8|frame=211|feature_ts_ns=1784492335908728600,211,1784492335908728600,172,3.4409446,True,-0.0,VALID,7,7,7,0.19547800000000004,0.12,12
20260719T201851-50f9dcc8|frame=212|feature_ts_ns=1784492335943363600,212,1784492335943363600,174,3.474302,True,-0.0,VALID,8,8,8,0.2288353999999999,0.12,12
20260719T201851-50f9dcc8|frame=213|feature_ts_ns=1784492335978610800,213,1784492335978610800,176,3.5101134,True,-0.0,VALID,9,9,9,0.26464679999999996,0.12,12
20260719T201851-50f9dcc8|frame=214|feature_ts_ns=1784492336012848400,214,1784492336012848400,177,3.5446545,True,-0.0,VALID,10,10,10,0.2991879000000002,0.12,12
20260719T201851-50f9dcc8|frame=215|feature_ts_ns=1784492336048259000,215,1784492336048259000,179,3.5807396,True,-0.0,VALID,11,11,11,0.33527299999999993,0.12,12
20260719T201851-50f9dcc8|frame=216|feature_ts_ns=1784492336075214000,216,1784492336075214000,180,3.6075339,True,-0.0,VALID,12,12,12,0.3620673000000001,0.12,12
20260719T201851-50f9dcc8|frame=217|feature_ts_ns=1784492336109957500,217,1784492336109957500,182,3.6415271,True,-0.0,VALID,13,13,12,0.3681683999999996,0.12,12
20260719T201851-50f9dcc8|frame=218|feature_ts_ns=1784492336144611500,218,1784492336144611500,184,3.6769338,True,-0.0,VALID,14,14,12,0.3680227999999999,0.12,12
20260719T201851-50f9dcc8|frame=219|feature_ts_ns=1784492336179434900,219,1784492336179434900,186,3.7110281,True,-0.0,VALID,15,15,12,0.3681076000000001,0.12,12
20260719T201851-50f9dcc8|frame=228|feature_ts_ns=1784492336478179300,228,1784492336478179300,200,4.0083729,False,,ABSENT_RESPONSE,16,1,1,0.0,0.12,12
20260719T201851-50f9dcc8|frame=234|feature_ts_ns=1784492336679424100,234,1784492336679424100,211,4.2104927,True,,ABSENT_RESPONSE,17,1,1,0.0,0.12,12
20260719T201851-50f9dcc8|frame=235|feature_ts_ns=1784492336707726900,235,1784492336707726900,212,4.2379428,True,,ABSENT_RESPONSE,18,2,2,0.027450100000000255,0.12,12
20260719T201851-50f9dcc8|frame=236|feature_ts_ns=1784492336741860900,236,1784492336741860900,214,4.2734307,True,,ABSENT_RESPONSE,19,3,3,0.06293799999999994,0.12,12
20260719T201851-50f9dcc8|frame=237|feature_ts_ns=1784492336776547800,237,1784492336776547800,216,4.3106402,True,-0.0,VALID,20,4,4,0.10014750000000028,0.12,12
20260719T201851-50f9dcc8|frame=238|feature_ts_ns=1784492336811860800,238,1784492336811860800,217,4.3426622,True,-0.0,VALID,21,5,5,0.13216950000000072,0.12,12
20260719T201851-50f9dcc8|frame=239|feature_ts_ns=1784492336846005200,239,1784492336846005200,219,4.3781605,True,-0.0,VALID,22,6,6,0.16766780000000026,0.12,12
20260719T201851-50f9dcc8|frame=240|feature_ts_ns=1784492336880826700,240,1784492336880826700,221,4.4123682,True,-0.0,VALID,23,7,7,0.20187550000000076,0.12,12
20260719T201851-50f9dcc8|frame=244|feature_ts_ns=1784492337012677900,244,1784492337012677900,227,4.5435951,True,,ABSENT_RESPONSE,24,1,1,0.0,0.12,12
20260719T201851-50f9dcc8|frame=245|feature_ts_ns=1784492337047447000,245,1784492337047447000,229,4.5775094,True,,ABSENT_RESPONSE,25,2,2,0.033914300000000175,0.12,12
20260719T201851-50f9dcc8|frame=246|feature_ts_ns=1784492337075018200,246,1784492337075018200,230,4.6056327,True,,ABSENT_RESPONSE,26,3,3,0.062037600000000026,0.12,12
20260719T201851-50f9dcc8|frame=247|feature_ts_ns=1784492337109944900,247,1784492337109944900,232,4.6401746,True,-0.0,VALID,27,4,4,0.09657949999999982,0.12,12
20260719T201851-50f9dcc8|frame=248|feature_ts_ns=1784492337144526200,248,1784492337144526200,234,4.6782642,True,-0.0,VALID,28,5,5,0.13466909999999999,0.12,12
20260719T201851-50f9dcc8|frame=249|feature_ts_ns=1784492337179578400,249,1784492337179578400,236,4.710108,True,-0.0,VALID,29,6,6,0.16651289999999985,0.12,12
20260719T201851-50f9dcc8|frame=250|feature_ts_ns=1784492337214079100,250,1784492337214079100,237,4.743955,True,-0.0,VALID,30,7,7,0.2003598999999996,0.12,12
20260719T201851-50f9dcc8|frame=251|feature_ts_ns=1784492337242190400,251,1784492337242190400,239,4.7724136,True,-0.0,VALID,31,8,8,0.22881850000000004,0.12,12
20260719T201851-50f9dcc8|frame=252|feature_ts_ns=1784492337276469300,252,1784492337276469300,240,4.8074076,True,-0.0,VALID,32,9,9,0.2638125000000002,0.12,12
20260719T201851-50f9dcc8|frame=253|feature_ts_ns=1784492337311395600,253,1784492337311395600,242,4.8421099,True,-0.0,VALID,33,10,10,0.2985147999999995,0.12,12
20260719T201851-50f9dcc8|frame=254|feature_ts_ns=1784492337345901400,254,1784492337345901400,244,4.8764985,True,-0.0,VALID,34,11,11,0.3329034000000002,0.12,12
20260719T201851-50f9dcc8|frame=255|feature_ts_ns=1784492337374938400,255,1784492337374938400,245,4.9042097,True,-0.0,VALID,35,12,12,0.3606145999999999,0.12,12
20260719T201851-50f9dcc8|frame=256|feature_ts_ns=1784492337408468900,256,1784492337408468900,247,4.9389209,True,-0.0,VALID,36,13,12,0.3614115,0.12,12
20260719T201851-50f9dcc8|frame=257|feature_ts_ns=1784492337443083600,257,1784492337443083600,249,4.9756528,True,-0.0,VALID,37,14,12,0.37002009999999963,0.12,12
20260719T201851-50f9dcc8|frame=258|feature_ts_ns=1784492337478282400,258,1784492337478282400,250,5.0097903,True,-0.0,VALID,38,15,12,0.36961569999999977,0.12,12
20260719T201851-50f9dcc8|frame=259|feature_ts_ns=1784492337512654800,259,1784492337512654800,252,5.0436553,True,-0.0,VALID,39,16,12,0.3653911000000001,0.12,12
20260719T201851-50f9dcc8|frame=260|feature_ts_ns=1784492337540868100,260,1784492337540868100,254,5.0722948,True,-0.0,VALID,40,17,12,0.3621867999999999,0.12,12
20260719T201851-50f9dcc8|frame=261|feature_ts_ns=1784492337575233100,261,1784492337575233100,255,5.1069607,True,-0.0,VALID,41,18,12,0.36300570000000043,0.12,12
20260719T201851-50f9dcc8|frame=262|feature_ts_ns=1784492337609736200,262,1784492337609736200,257,5.1406866,True,-0.0,VALID,42,19,12,0.3682730000000003,0.12,12
20260719T201851-50f9dcc8|frame=263|feature_ts_ns=1784492337645076900,263,1784492337645076900,259,5.1752817,True,-0.0,VALID,43,20,12,0.36787409999999987,0.12,12
20260719T201851-50f9dcc8|frame=270|feature_ts_ns=1784492337880605500,270,1784492337880605500,271,5.4121205,True,,ABSENT_RESPONSE,44,1,1,0.0,0.12,12
20260719T201851-50f9dcc8|frame=271|feature_ts_ns=1784492337908351700,271,1784492337908351700,272,5.440722,True,,ABSENT_RESPONSE,45,2,2,0.028601499999999724,0.12,12
20260719T201851-50f9dcc8|frame=272|feature_ts_ns=1784492337943718800,272,1784492337943718800,274,5.4737781,True,,ABSENT_RESPONSE,46,3,3,0.06165759999999931,0.12,12
20260719T201851-50f9dcc8|frame=273|feature_ts_ns=1784492337977808400,273,1784492337977808400,275,5.5086074,True,-0.0,VALID,47,4,4,0.09648689999999949,0.12,12
20260719T201851-50f9dcc8|frame=274|feature_ts_ns=1784492338012526100,274,1784492338012526100,277,5.5433181,True,-0.0,VALID,48,5,5,0.13119759999999925,0.12,12
20260719T201851-50f9dcc8|frame=275|feature_ts_ns=1784492338041563600,275,1784492338041563600,279,5.571672,True,-0.0,VALID,49,6,6,0.15955150000000007,0.12,12
20260719T201851-50f9dcc8|frame=276|feature_ts_ns=1784492338075124900,276,1784492338075124900,280,5.6097556,True,-0.0,VALID,50,7,7,0.1976350999999994,0.12,12
20260719T201851-50f9dcc8|frame=277|feature_ts_ns=1784492338109692900,277,1784492338109692900,282,5.6413803,True,-0.0,VALID,51,8,8,0.22925979999999946,0.12,12
20260719T201851-50f9dcc8|frame=278|feature_ts_ns=1784492338144386100,278,1784492338144386100,284,5.6764565,True,-0.0,VALID,52,9,9,0.26433599999999924,0.12,12
20260719T201851-50f9dcc8|frame=279|feature_ts_ns=1784492338179684300,279,1784492338179684300,286,5.7101519,True,-0.0,VALID,53,10,10,0.2980313999999993,0.12,12
20260719T201851-50f9dcc8|frame=280|feature_ts_ns=1784492338213848800,280,1784492338213848800,287,5.7448206,True,-0.0,VALID,54,11,11,0.3327000999999994,0.12,12
20260719T201851-50f9dcc8|frame=281|feature_ts_ns=1784492338241725900,281,1784492338241725900,289,5.7727688,True,-0.0,VALID,55,12,12,0.36064829999999937,0.12,12
20260719T201851-50f9dcc8|frame=282|feature_ts_ns=1784492338276380200,282,1784492338276380200,290,5.8076274,True,-0.0,VALID,56,13,12,0.36690540000000027,0.12,12
20260719T201851-50f9dcc8|frame=283|feature_ts_ns=1784492338311110600,283,1784492338311110600,292,5.8411951,True,-0.0,VALID,57,14,12,0.36741700000000055,0.12,12
20260719T201851-50f9dcc8|frame=284|feature_ts_ns=1784492338345743500,284,1784492338345743500,294,5.878903,True,-0.0,VALID,58,15,12,0.3702956000000004,0.12,12
20260719T201851-50f9dcc8|frame=285|feature_ts_ns=1784492338380579700,285,1784492338380579700,296,5.9116116,True,-0.0,VALID,59,16,12,0.36829350000000005,0.12,12
20260719T201851-50f9dcc8|frame=286|feature_ts_ns=1784492338408574600,286,1784492338408574600,297,5.9403995,True,-0.0,VALID,60,17,12,0.36872749999999943,0.12,12
20260719T201851-50f9dcc8|frame=287|feature_ts_ns=1784492338442940600,287,1784492338442940600,299,5.973045,True,-0.0,VALID,61,18,12,0.3632894000000002,0.12,12
20260719T201851-50f9dcc8|frame=288|feature_ts_ns=1784492338477851300,288,1784492338477851300,300,6.0086895,True,-0.0,VALID,62,19,12,0.3673092000000002,0.12,12
20260719T201851-50f9dcc8|frame=289|feature_ts_ns=1784492338512394600,289,1784492338512394600,302,6.0444675,True,-0.0,VALID,63,20,12,0.3680110000000001,0.12,12
20260719T201851-50f9dcc8|frame=290|feature_ts_ns=1784492338547137500,290,1784492338547137500,304,6.0789309,True,-0.0,VALID,64,21,12,0.36877899999999997,0.12,12
20260719T201851-50f9dcc8|frame=291|feature_ts_ns=1784492338575118800,291,1784492338575118800,305,6.1087745,True,-0.0,VALID,65,22,12,0.3639539000000003,0.12,12
20260719T201851-50f9dcc8|frame=294|feature_ts_ns=1784492338678995800,294,1784492338678995800,310,6.2099022,True,-0.0,VALID,66,23,12,0.43713340000000045,0.12,12
20260719T201851-50f9dcc8|frame=295|feature_ts_ns=1784492338713860400,295,1784492338713860400,312,6.2457012,True,-0.0,VALID,67,24,12,0.43807379999999974,0.12,12
20260719T201851-50f9dcc8|frame=296|feature_ts_ns=1784492338741669400,296,1784492338741669400,314,6.2754883,True,-0.0,VALID,68,25,12,0.43429319999999993,0.12,12
20260719T201851-50f9dcc8|frame=297|feature_ts_ns=1784492338776362600,297,1784492338776362600,315,6.3081486,True,-0.0,VALID,69,26,12,0.4292455999999998,0.12,12
20260719T201851-50f9dcc8|frame=298|feature_ts_ns=1784492338810915200,298,1784492338810915200,317,6.3425904,True,-0.0,VALID,70,27,12,0.4309788000000001,0.12,12
20260719T201851-50f9dcc8|frame=299|feature_ts_ns=1784492338845719700,299,1784492338845719700,319,6.3768174,True,-0.0,VALID,71,28,12,0.43641790000000036,0.12,12
20260719T201851-50f9dcc8|frame=301|feature_ts_ns=1784492338908125900,301,1784492338908125900,322,6.4412758,True,-0.0,VALID,72,29,12,0.4682307999999997,0.12,12
20260719T201851-50f9dcc8|frame=302|feature_ts_ns=1784492338942988400,302,1784492338942988400,324,6.4754625,True,-0.0,VALID,73,30,12,0.4667729999999999,0.12,12
20260719T201851-50f9dcc8|frame=303|feature_ts_ns=1784492338977627300,303,1784492338977627300,325,6.5079591,True,-0.0,VALID,74,31,12,0.4634916000000002,0.12,12
20260719T201851-50f9dcc8|frame=304|feature_ts_ns=1784492339012412500,304,1784492339012412500,327,6.5440291,True,-0.0,VALID,75,32,12,0.4650982000000008,0.12,12
20260719T201851-50f9dcc8|frame=305|feature_ts_ns=1784492339047335800,305,1784492339047335800,329,6.5804388,True,-0.0,VALID,76,33,12,0.4716642999999996,0.12,12
20260719T201851-50f9dcc8|frame=306|feature_ts_ns=1784492339075412000,306,1784492339075412000,330,6.6090086,True,-0.0,VALID,77,34,12,0.3991064,0.12,12
20260719T201851-50f9dcc8|frame=307|feature_ts_ns=1784492339109460000,307,1784492339109460000,332,6.6406613,True,-0.0,VALID,78,35,12,0.3949600999999996,0.12,12
20260719T201851-50f9dcc8|frame=308|feature_ts_ns=1784492339144926600,308,1784492339144926600,334,6.6755427,True,-0.0,VALID,79,36,12,0.40005440000000014,0.12,12
20260719T201851-50f9dcc8|frame=309|feature_ts_ns=1784492339179547100,309,1784492339179547100,336,6.7116725,True,-0.0,VALID,80,37,12,0.4035238999999997,0.12,12
20260719T201851-50f9dcc8|frame=310|feature_ts_ns=1784492339213677500,310,1784492339213677500,337,6.746266,True,-0.0,VALID,81,38,12,0.4036756000000006,0.12,12
20260719T201851-50f9dcc8|frame=311|feature_ts_ns=1784492339241378800,311,1784492339241378800,339,6.7756103,True,-0.0,VALID,82,39,12,0.3987929000000001,0.12,12
20260719T201851-50f9dcc8|frame=312|feature_ts_ns=1784492339276071100,312,1784492339276071100,340,6.8078172,True,-0.0,VALID,83,40,12,0.3665414,0.12,12
20260719T201851-50f9dcc8|frame=313|feature_ts_ns=1784492339311109200,313,1784492339311109200,342,6.8425457,True,-0.0,VALID,84,41,12,0.3670831999999997,0.12,12
20260719T201851-50f9dcc8|frame=314|feature_ts_ns=1784492339345678500,314,1784492339345678500,344,6.8774432,True,-0.0,VALID,85,42,12,0.3694841000000002,0.12,12
