diagnostic_only,computation_commit,checkpoint_evidence_commit,report_generator_commit,criterion_commit,creation_time_utc,source_checkpoint_dir,input_manifest_path,input_manifest_sha256,rng_resample_provenance,viewed_old_output_statement,left_out_approach,train_clusters,train_rows,point_sigma_a_mps2,profile_u95_sigma_a_mps2,pushes_over_gate,profile_nearly_flat,target_set,anchor_policy
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260720T071112-cd18c5fb:A1,2,81,0.4324639881555937,0.55,True,False,discovery_overlap_3,old_attenuated_anchor
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260720T071333-cd18c5fb:A1,2,33,1.6945845926324539,2.0,True,True,discovery_overlap_3,old_attenuated_anchor
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260720T135008-9aa0ef5c:A1,2,88,0.0,0.25,False,False,discovery_overlap_3,old_attenuated_anchor
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260720T071112-cd18c5fb:A1,2,81,0.4911992382435339,0.6000000000000001,True,False,discovery_overlap_3,shadow_unattenuated_anchor
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260720T071333-cd18c5fb:A1,2,33,1.655869246287941,2.0,True,True,discovery_overlap_3,shadow_unattenuated_anchor
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260720T135008-9aa0ef5c:A1,2,88,1.244888414326478e-08,0.15000000000000002,False,False,discovery_overlap_3,shadow_unattenuated_anchor
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260717T095722-a560c093:A1,19,1507,1.5423753440704706,1.6,True,False,confirmatory_20,old_attenuated_anchor
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260717T101837-7223cc0c:A1,19,1524,1.5161776074448365,1.5750000000000002,True,False,confirmatory_20,old_attenuated_anchor
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260717T102007-7223cc0c:A1,19,1519,1.4778625942968062,1.55,True,False,confirmatory_20,old_attenuated_anchor
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260717T151002-a9753343:A1,19,1524,1.4263791686559497,1.5,True,False,confirmatory_20,old_attenuated_anchor
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,4d4b0ef13b8e8cbee7263964eba0259087ea72d8,02b32cca996a22f3a44a8757ce2486a747eb706e,2026-07-20T23:19:06.540217+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/adjudicative-regeneration-DIAGNOSTIC-4d4b0ef-20260720T231905Z/checkpoint_input_manifest.json,6e352d4b0ea87650c7904e6096d490a0d62125467c8e13453d1e0180fe739821,Student-t nu=5.0; cluster_bootstrap_n=2200; cluster_bootstrap_seed=20260720; profile grid from archive_harvest_release_fit_v21/run_shadow_residual_diagnostics,385b7eb diagnostics and ordered A-G checkpoint outputs were viewed; this generator emits a post-criterion adjudicative report layer and does not relabel pre-criterion diagnostics.,20260717T151717-e179e097:A1,19,1483,1.5689008893697827,1.625,True,False,confirmatory_20,old_attenuated_anchor
