flight,flight_id,recording,log,frames,imu_samples,raw_detector_fixes,tracker_fixes,feature_side_rows,center_only_detections,feature_rows,level_roll,level_pitch,fixture_dir,metrology_only
F1,20260720T071008-5b501b4c,fixtures\20260720T071602-phase6l-cohort-3\20260720T071008-5b501b4c_takeoff_to_end.aigprec,fixtures\20260720T071602-phase6l-cohort-3\20260720T071008-5b501b4c-flight.jsonl,32,622,30,1,0,2,23,0.00025972419590177166,-0.31068921989032783,20260720T071602-phase6l-cohort-3,False
F2,20260720T071112-cd18c5fb,fixtures\20260720T071602-phase6l-cohort-3\20260720T071112-cd18c5fb_takeoff_to_end.aigprec,fixtures\20260720T071602-phase6l-cohort-3\20260720T071112-cd18c5fb-flight.jsonl,141,1027,125,13,18,6,108,0.00025602409079155774,-0.31070304002823274,20260720T071602-phase6l-cohort-3,False
F3,20260720T071220-5b501b4c,fixtures\20260720T071602-phase6l-cohort-3\20260720T071220-5b501b4c_takeoff_to_end.aigprec,fixtures\20260720T071602-phase6l-cohort-3\20260720T071220-5b501b4c-flight.jsonl,299,1655,91,13,0,32,49,0.0002558582251414531,-0.31070356228182733,20260720T071602-phase6l-cohort-3,False
F4,20260720T071333-cd18c5fb,fixtures\20260720T071602-phase6l-cohort-3\20260720T071333-cd18c5fb_takeoff_to_end.aigprec,fixtures\20260720T071602-phase6l-cohort-3\20260720T071333-cd18c5fb-flight.jsonl,120,947,115,2,12,5,70,0.0002620316247470928,-0.3106577689082355,20260720T071602-phase6l-cohort-3,False
F5,20260720T071439-5b501b4c,fixtures\20260720T071602-phase6l-cohort-3\20260720T071439-5b501b4c_takeoff_to_end.aigprec,fixtures\20260720T071602-phase6l-cohort-3\20260720T071439-5b501b4c-flight.jsonl,107,896,60,1,0,17,34,0.0002553464830564008,-0.3106886748377275,20260720T071602-phase6l-cohort-3,False
F6,20260720T071545-cd18c5fb,fixtures\20260720T071602-phase6l-cohort-3\20260720T071545-cd18c5fb_takeoff_to_end.aigprec,fixtures\20260720T071602-phase6l-cohort-3\20260720T071545-cd18c5fb-flight.jsonl,104,876,103,1,8,1,95,0.0002574278800456333,-0.3107014103610955,20260720T071602-phase6l-cohort-3,False
F7,20260720T133443-9aa0ef5c,fixtures\20260720T133508-phase7m-metrology-f1\20260720T133443-9aa0ef5c_takeoff_to_end.aigprec,fixtures\20260720T133508-phase7m-metrology-f1\20260720T133443-9aa0ef5c-flight.jsonl,314,1714,125,4,0,44,71,0.0002628226725042448,-0.3106550948059661,20260720T133508-phase7m-metrology-f1,True
F8,20260720T134522-9aa0ef5c,fixtures\20260720T134548-phase7m-metrology-f2\20260720T134522-9aa0ef5c_takeoff_to_end.aigprec,fixtures\20260720T134548-phase7m-metrology-f2\20260720T134522-9aa0ef5c-flight.jsonl,351,1847,206,14,16,101,171,0.0002505232231592992,-0.3107024719126984,20260720T134548-phase7m-metrology-f2,True
F9,20260720T135008-9aa0ef5c,fixtures\20260720T135040-phase7m-metrology-f3\20260720T135008-9aa0ef5c_takeoff_to_end.aigprec,fixtures\20260720T135040-phase7m-metrology-f3\20260720T135008-9aa0ef5c-flight.jsonl,493,2400,269,11,34,18,195,0.0002597608666170778,-0.310670005659915,20260720T135040-phase7m-metrology-f3,True
F10,20260720T142917-9aa0ef5c,fixtures\20260720T142941-phase7m-metrology-f4\20260720T142917-9aa0ef5c_takeoff_to_end.aigprec,fixtures\20260720T142941-phase7m-metrology-f4\20260720T142917-9aa0ef5c-flight.jsonl,277,1552,107,7,0,30,40,0.0002546572367975235,-0.31068812950815217,20260720T142941-phase7m-metrology-f4,True
