flight,flight_id,frame_id,mono_ns,t_rel_s,feature_ts_ns,topic,phase,commit,source,feature_mode,cert_status,range_z_m,range_norm_m,x_m,y_down_m,gate_age_s,center_x_px,y_top_px,span_px,span_x_range,e_meas,e_reject,level_pitch_rad,level_roll_rad,image_w,image_h,det_confidence,det_cert_status,setpoint_speed_xy_mps,setpoint_vz_up_mps,truth_vz_up_mps
F1,20260720T071008-5b501b4c,209,208083141078800,2.997827,1784531413030882100,feature,hover,False,detector,FULL_QUAD,certified,5.290143068966311,6.143250651651628,0.02429757922720152,-3.123031300920556,0.0,321.0,134.0,80.02499609497022,423.34367843586284,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,-0.0,0.08911590289121382
F1,20260720T071008-5b501b4c,210,208083175779600,3.0325278,1784531413065741300,feature,takeoff,False,detector,FULL_QUAD,certified,5.304567174168746,6.1602610297641025,0.018672262748519595,-3.132097443593596,0.0,320.5,133.0,79.1012010022604,419.59763427391437,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,-0.0005902436255823526
F1,20260720T071008-5b501b4c,211,208083210186500,3.0669347,1784531413100542700,feature,takeoff,False,detector,FULL_QUAD,certified,5.343601557459429,6.304744292370712,0.006107617332636872,-3.345995469857775,0.0,320.0,123.5,76.05918747922567,406.42999267308903,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,0.29522863085289397
F1,20260720T071008-5b501b4c,212,208083247453300,3.1042015,1784531413135149100,feature,takeoff,False,detector,FULL_QUAD,certified,5.47586491649648,6.225973974571789,0.04632153648502291,-2.962348673533538,0.012572328,324.5,137.0,85.0235261559999,465.57734395446073,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,2.0215804267680526
F1,20260720T071008-5b501b4c,213,208083271616000,3.1283642,1784531413162947500,feature,takeoff,False,detector,FULL_QUAD,certified,5.639673043714245,6.280605960462286,0.028211735236801316,-2.763928958673185,0.0,321.0,159.0,78.0,439.8944974097111,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,2.04073703850231
F1,20260720T071008-5b501b4c,214,208083306866200,3.1636144,1784531413197620200,feature,takeoff,False,detector,FULL_QUAD,certified,5.866798918315309,6.297052613348905,0.02029286463419613,-2.2876036079232622,0.0,320.5,184.0,79.02531240052139,463.6256173109083,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,1.3097510069546259
F1,20260720T071008-5b501b4c,215,208083343396300,3.2001445,1784531413232372700,feature,takeoff,False,detector,FULL_QUAD,certified,6.033304701950341,6.285538944383839,0.021150486608541914,-1.7626079688081653,0.010461104,322.0,208.0,80.02499609497022,482.81518521334146,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,0.535201361974249
F1,20260720T071008-5b501b4c,216,208083376988700,3.2337369,1784531413267223200,feature,takeoff,False,detector,FULL_QUAD,certified,6.014255270936413,6.18796632271392,-0.008288513714958064,-1.45588187968516,0.0,319.0,226.0,76.10519036176179,457.71604227884495,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,0.4887087053959974
F1,20260720T071008-5b501b4c,217,208083411660500,3.2684087,1784531413301846200,feature,takeoff,False,detector,FULL_QUAD,certified,6.06904948125846,6.186045075234474,0.026446905126802474,-1.1971184686898404,0.0,322.5,241.0,83.02409288875127,503.8773278784301,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,0.8341439399565344
F1,20260720T071008-5b501b4c,218,208083439946800,3.296695,1784531413329619200,feature,takeoff,False,detector,FULL_QUAD,certified,6.104445681562479,6.201535303846114,0.022115066370741433,-1.0928375769263887,0.007975096,323.0,246.0,82.0,500.56454588812323,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,2.290050512900608
F1,20260720T071008-5b501b4c,219,208083474151700,3.3308999,1784531413364292900,feature,takeoff,False,detector,FULL_QUAD,certified,6.016439657383309,6.156079803749325,0.01762574382473581,-1.3036340484777038,0.0,321.5,234.0,85.0235261559999,511.53891457552487,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,3.273991518307477
F1,20260720T071008-5b501b4c,220,208083509556100,3.3663043,1784531413398907000,feature,takeoff,False,tracker,SIDE_PAIR,probation,5.47006602160131,6.114928730779624,-0.16887073284479465,-2.7280421143056772,0.0,326.3537549162552,157.2974359623836,80.84829462015341,442.24550930611315,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,0.5,probation,0.0,0.9521230591182164,3.8725408162518153
F1,20260720T071008-5b501b4c,230,208083841619500,3.6983677,1784531413732337700,feature,takeoff,False,detector,FULL_QUAD,certified,4.314456083022236,5.802750251210129,-0.4354705005427544,-3.855871448680399,0.0,284.5,66.5,88.60022573334675,382.2617828723811,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,0.8847383364809132
F1,20260720T071008-5b501b4c,231,208083875896600,3.7326448,1784531413766957800,feature,takeoff,False,detector,FULL_QUAD,certified,4.691158936528966,5.801074696907055,-0.3691060442405569,-3.392529469205063,0.0,290.5,102.0,85.86617494683223,402.81187394739163,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,0.9313026721366142
F1,20260720T071008-5b501b4c,232,208083910645400,3.7673936,1784531413801779800,feature,takeoff,False,detector,FULL_QUAD,certified,4.91328512331896,5.775121910542275,-0.3114712324993468,-3.019047540189353,0.0,296.0,127.0,85.90692637965812,422.08522337123134,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,0.8140647542242587
F1,20260720T071008-5b501b4c,233,208083943523900,3.8002721,1784531413829466500,feature,takeoff,False,detector,FULL_QUAD,certified,5.104383224917761,5.817298117517389,-0.2871962971657207,-2.775562567866883,0.0,297.5,143.5,84.34453153583817,430.52681188507944,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,0.34287723093496864
F1,20260720T071008-5b501b4c,234,208083974187400,3.8309356,1784531413864325900,feature,takeoff,False,detector,FULL_QUAD,certified,5.05737235575951,5.568189468157798,-0.1625405507410858,-2.324069572510193,0.0095302,305.0,165.0,92.34717104492157,467.0340299751814,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,1.0895433889768562
F1,20260720T071008-5b501b4c,235,208084009760000,3.8665082,1784531413899133000,feature,takeoff,False,detector,FULL_QUAD,certified,5.293473517993464,5.6970514208278775,-0.14619712846619784,-2.100990101234911,0.00856472,306.5,181.5,87.28115489611719,462.0204820624819,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,0.9741381741773952
F1,20260720T071008-5b501b4c,236,208084044828800,3.901577,1784531413933640100,feature,takeoff,False,detector,FULL_QUAD,certified,5.402477019900336,5.737908157232094,-0.1519075022876465,-1.9271108377641712,0.008358544,308.5,192.0,85.21150157109074,460.35317906901906,-0.45,ok,-0.31068921989032783,0.00025972419590177166,640,360,1.0,certified,0.0,0.9521230591182164,0.4588662951779567
