optimizer,campaign_id,flight_number,flight_id,score,gates_passed,aborted,finished,gate_clips,env_hits,abort_reason,param_hash
cem,camp-20260714T135502,1,20260714T135504-37b56a9f,-220.557800,0,1,0,0,1,environment collision (impulse=1.6),37b56a9f2717638db17fa346cd5581eab3270f8fd0236544543dc393c443429d
cem,camp-20260714T135502,2,20260714T135512-b06e4ed7,-220.503200,0,1,0,0,1,environment collision (impulse=7.3),b06e4ed7c0b19e174865ca4ad06e0646ecac087f2416ed2768aa3d6388316284
cem,camp-20260714T135502,3,20260714T135519-0f9bf23f,-220.518800,0,1,0,0,1,environment collision (impulse=3.3),0f9bf23fd40c43bdb2ab1eb65cd75c7c9e43de1b10140ad6785cc735ab868a92
cem,camp-20260714T135502,4,20260714T135527-39e5718f,-220.507800,0,1,0,0,1,environment collision (impulse=8.2),39e5718f2ee103ca0aa79ad6b2e03b4fe97d2563dec006e236d64b77f58bcf36
cem,camp-20260714T135502,5,20260714T135535-50b4dd2d,-220.470300,0,1,0,0,1,environment collision (impulse=5.9),50b4dd2de151f6674bb9b322a5e355e6eb53299288b0d8666c117097e5027abc
cem,camp-20260714T135502,6,20260714T135542-af6387d1,-220.482900,0,1,0,0,1,environment collision (impulse=4.2),af6387d1be88426abaa46168aed7b3cec7b9a8d865cbdaca1ddce2fc28182394
cem,camp-20260714T135502,7,20260714T135550-4f9e022a,-220.459400,0,1,0,0,1,environment collision (impulse=3.9),4f9e022ac5ff9a6c44dc4cbeb78d015e048fb366c59600bd5d6c19f7c9d6bca4
cem,camp-20260714T135502,8,20260714T135557-28235107,-220.606200,0,1,0,0,1,environment collision (impulse=6.1),28235107c0f0750523a0555b4994b2ce2b38b2f24e97a3fbe863d17690ffd59d
cem,camp-20260714T135502,9,20260714T135606-770bba39,-220.496900,0,1,0,0,1,environment collision (impulse=7.5),770bba3977c9632a576641bd2b9c8a33d7e30c8289e4c4cf83450c30a27ef981
cem,camp-20260714T135502,10,20260714T135613-b1341cc7,-220.465700,0,1,0,0,1,environment collision (impulse=5.3),b1341cc725a868ff29f429896e89eda8fe0c3aac9f8f46d3dfbfab44d3715279
cem,camp-20260714T135502,11,20260714T135620-cc6db66a,-220.467200,0,1,0,0,1,environment collision (impulse=5.5),cc6db66aae0b9469b7cbccba8cfbe71cec211a3a311823f2e23cee216d9b6645
cem,camp-20260714T135502,12,20260714T135628-0740cd53,-220.490600,0,1,0,0,1,environment collision (impulse=6.8),0740cd5327d5fe451a7a15b517a8aa6c3bc3683b3b22073c7fcdc1d6f2d4a44c
cem,camp-20260714T135502,13,20260714T135635-b5a231b5,-220.484300,0,1,0,0,1,environment collision (impulse=6.6),b5a231b5a390bff29c2c6be588bf60bb8e873dfd385680f843a78b251ef35cbd
cem,camp-20260714T135502,14,20260714T135643-94587db2,-220.479700,0,1,0,0,1,environment collision (impulse=7.8),94587db2486ff854ed21c3434359d24cefe77491c29036599fc06b41755cb6a5
cem,camp-20260714T135502,15,20260714T135650-c5754178,-220.475000,0,1,0,0,1,environment collision (impulse=7.2),c575417827e3e22b2e9f3caf5c3df4777a59fd00778a81c6916b3feebdc6400d
cem,camp-20260714T135502,16,20260714T135657-8c2d64e5,-220.482800,0,1,0,0,1,environment collision (impulse=6.0),8c2d64e59abf976c1532c854cffcd49cc30956d88cb0b7f8e1e096ac798fb59e
cem,camp-20260714T135502,17,20260714T135705-58acbf29,-220.478100,0,1,0,0,1,environment collision (impulse=6.2),58acbf29cb270c207903f3fc4afbc3fa9e7b905b1f05ec6cb1288727d8b6641e
cem,camp-20260714T135502,18,20260714T135712-9d36529c,-220.479700,0,1,0,0,1,environment collision (impulse=6.0),9d36529c645f6a3ccf5cf488ceca02c423062c058237e36e9ac07a885a96cf44
cem,camp-20260714T135502,19,20260714T135720-68843a85,-220.457800,0,1,0,0,1,environment collision (impulse=4.6),68843a85e9146fa7845633a5fc5dd0cda676ae7c209f9b8002ad48db2dbb7146
cem,camp-20260714T135502,20,20260714T135727-c8f49efc,-220.468800,0,1,0,0,1,environment collision (impulse=6.8),c8f49efc9a1d8683282db526a6d32322c24d3051a9880979fd614c156bf8186b
cem,camp-20260714T135502,21,20260714T135734-2e06663d,-220.506300,0,1,0,0,1,environment collision (impulse=7.8),2e06663dc861e74e25b1ff18246646aa1aacbb95ffb16296ee2152c43c75e438
cem,camp-20260714T135502,22,20260714T135742-790178c4,-220.517200,0,1,0,0,1,environment collision (impulse=7.0),790178c45a2fb0b54c23227b33b36773fe796ac69b4c4b443739a9caca6dbf8c
cem,camp-20260714T135502,23,20260714T135750-ec68ecad,-220.471900,0,1,0,0,1,environment collision (impulse=6.2),ec68ecad4f2aa2f8ab1109a527ac970b66c792c996331f5095af373b9dbd63dd
cem,camp-20260714T135502,24,20260714T135757-16a2b6a4,-220.475000,0,1,0,0,1,environment collision (impulse=5.0),16a2b6a42bf5a7a1c419e522e2c839e7d211f87381dc8274c4622382b1f6722d
cem,camp-20260714T135502,25,20260714T135804-f0351c0d,-220.490600,0,1,0,0,1,environment collision (impulse=4.7),f0351c0de017de5d3055e878662dd9ab58a24208cfa8d43b190a1a560c016c0d
cem,camp-20260714T135502,26,20260714T135812-1cacd835,-220.487500,0,1,0,0,1,environment collision (impulse=7.0),1cacd8354854e94218db0a5e6a594a5e53a71431676b9ac109d83316a31405a3
cem,camp-20260714T135502,27,20260714T135819-dab005a5,-220.476600,0,1,0,0,1,environment collision (impulse=6.1),dab005a5603e42535c1881ec1e56b9d73bf10351b8e716e1ae622466a29f7f6b
cem,camp-20260714T135502,28,20260714T135827-afa14053,-220.496900,0,1,0,0,1,environment collision (impulse=5.2),afa14053b8ad03fa17457150199b70ade4c2ca5899f0c1298ce755362106837a
cem,camp-20260714T135502,29,20260714T135835-5696e86a,-220.551600,0,1,0,0,1,environment collision (impulse=4.8),5696e86af9af7db34d35d78411d446ed323e37945e8ec250e538a145b87b7c5d
cem,camp-20260714T135502,30,20260714T135843-61d1b283,-220.478200,0,1,0,0,1,environment collision (impulse=6.5),61d1b28353e6915cc79978c791b3bdfc220f4dc04e52bfc262e0d3137c8750d9
cem,camp-20260714T135502,31,20260714T135850-6c96b9e2,-220.495400,0,1,0,0,1,environment collision (impulse=5.5),6c96b9e2494e6d13f351bb2ca788bdb5f305584914d13c17a1c642d0d0be383e
cem,camp-20260714T135502,32,20260714T135858-f525f7ab,-220.492200,0,1,0,0,1,environment collision (impulse=4.3),f525f7abd5a3b9c5b0712016275e793d6f2435ea900152cf3af77ca8aaad335e
cem,camp-20260714T135502,33,20260714T135906-43ebcaab,-220.526600,0,1,0,0,1,environment collision (impulse=3.2),43ebcaab0125ddbb372f78f17f976c3426a4e6ca3e13724f2cb80d95e4377b46
cem,camp-20260714T135502,34,20260714T135913-25f0b582,-220.486000,0,1,0,0,1,environment collision (impulse=5.5),25f0b58234fe8710122c9e829148aa60eff60d18ff0e868c4f6c64b89b23e8fc
cem,camp-20260714T135502,35,20260714T135921-ff18500d,-220.473400,0,1,0,0,1,environment collision (impulse=4.6),ff18500d90a1db27177a91db9f9cab90c312e390e44d1cf9dfbb31920281efde
cem,camp-20260714T135502,36,20260714T135928-2fb8142c,-220.493700,0,1,0,0,1,environment collision (impulse=5.0),2fb8142cf47fc3bd3e593492e1bac684f53c2c3395e2dd79b647e59ce7ecda41
cem,camp-20260714T135502,37,20260714T135936-ceae01bb,-220.471900,0,1,0,0,1,environment collision (impulse=5.4),ceae01bbfd91524b16af335c5db79fa914d95498eaca5270a16f7963fe4dd30f
cem,camp-20260714T135502,38,20260714T135943-6d6c976b,-220.487500,0,1,0,0,1,environment collision (impulse=4.3),6d6c976b9943c9ae99b1619612414580161fccd59d76ded4474960776dd450dc
cem,camp-20260714T135502,39,20260714T135951-542d5ea2,-220.464100,0,1,0,0,1,environment collision (impulse=5.9),542d5ea20685485a795f4681d8f183f1d0d38fcbb1e7cf9b81e90a0ac6d87d45
cem,camp-20260714T135502,40,20260714T135958-abfc47a4,-220.475000,0,1,0,0,1,environment collision (impulse=6.3),abfc47a413d7b25babc23071247390b93a20da6ae8463008641e9e7e04ac3456
random,camp-20260714T140018,1,20260714T140020-24145aac,-220.501600,0,1,0,0,1,environment collision (impulse=6.7),24145aac2c1e9c7b7face2a735c16c094d9ac1327f250d031f77eeb30cf7a755
random,camp-20260714T140018,2,20260714T140027-f8f77a2f,-220.500000,0,1,0,0,1,environment collision (impulse=3.9),f8f77a2feae975ca7d1c53515ec16ee80ecd92509bc48d17cd02b6d2efed499e
random,camp-20260714T140018,3,20260714T140035-826f9272,-220.500000,0,1,0,0,1,environment collision (impulse=6.5),826f92725e224ea6412ddea018d497db86749f494207444f5ac5944a52bce313
random,camp-20260714T140018,4,20260714T140043-5ba8b9a2,-220.471900,0,1,0,0,1,environment collision (impulse=6.9),5ba8b9a2ecb9b12fcde793c5fd5c177199f4530d1a48ee2d193a4689ca2c40e9
random,camp-20260714T140018,5,20260714T140050-97f03267,-220.551600,0,1,0,0,1,environment collision (impulse=3.4),97f032678792b1fa1894c23e096e161256e83faafa98441b5fb5dfd9ab0e5344
random,camp-20260714T140018,6,20260714T140058-ea0ddb77,-220.528100,0,1,0,0,1,environment collision (impulse=5.7),ea0ddb7762b61f2c5141fa05b2b41b27809d354b7de84b34df7a5a8a06b3451a
random,camp-20260714T140018,7,20260714T140106-f78654a7,-220.560900,0,1,0,0,1,environment collision (impulse=5.3),f78654a73ddf135cfcac76d9183ba179e52f228ed68c5956f1ef4f3343ab0bd4
random,camp-20260714T140018,8,20260714T140114-127f4aaa,-220.485900,0,1,0,0,1,environment collision (impulse=6.0),127f4aaa0128ec8398083c7931537e905d04dab1fe8d3f1b8f658166432221eb
random,camp-20260714T140018,9,20260714T140122-8992f341,-220.582800,0,1,0,0,1,environment collision (impulse=1.7),8992f3417e9bcc73d1012158dcb4449976546e4163a11e7eae36b48af2e8aafb
random,camp-20260714T140018,10,20260714T140130-4aa50402,-220.590600,0,1,0,0,1,environment collision (impulse=5.5),4aa50402c49048ff18708b8f591b56956458c20b6b00857cd46dc1c6a394c535
random,camp-20260714T140018,11,20260714T140139-db2c0149,-220.478200,0,1,0,0,1,environment collision (impulse=5.6),db2c0149c2ad433b97c1de907be317ebdcb226574505820d672e1d36c6d7425f
random,camp-20260714T140018,12,20260714T140146-fba2b32e,-220.501600,0,1,0,0,1,environment collision (impulse=6.0),fba2b32efb2c4c86e72b223baa7e75e783bea07bc1a1628a5dafef641aaa999c
random,camp-20260714T140018,13,20260714T140154-1fbecdfe,-220.625000,0,1,0,0,1,environment collision (impulse=6.8),1fbecdfe6452c7ee143b6c2dd11b37cfdb155179d103325d7a25b8620ec45aac
random,camp-20260714T140018,14,20260714T140203-badcf52f,-220.482800,0,1,0,0,1,environment collision (impulse=6.0),badcf52fb28866eee9fe55c5a3c956386e1a7bd5e500b4e922aa56db9e715b22
random,camp-20260714T140018,15,20260714T140210-4ce87ceb,-220.639100,0,1,0,0,1,environment collision (impulse=8.3),4ce87ceb95ed3c55ac7847c3a2e0a3dd3339141c607667fd9880f689a1244a37
random,camp-20260714T140018,16,20260714T140219-b888c1f8,-220.471900,0,1,0,0,1,environment collision (impulse=6.0),b888c1f86047a272c8c334f11c606221e7c96eb3af654a177863c7fc18939273
random,camp-20260714T140018,17,20260714T140226-16f873ae,-220.601600,0,1,0,0,1,environment collision (impulse=7.5),16f873ae7ce6e232e6c87ab8e0135679409324a91ed1372fabd80503b94976ff
random,camp-20260714T140018,18,20260714T140235-23293d4f,-220.489100,0,1,0,0,1,environment collision (impulse=6.9),23293d4f58fcbb0da01f5ec1168b4786f81de2707a348f05c91480acc75fc3ce
random,camp-20260714T140018,19,20260714T140243-bc60a35a,-220.501500,0,1,0,0,1,environment collision (impulse=5.0),bc60a35a2cf89f011e013d0a5122dfafc6c2e0df69c31fe241a82eb502c5d394
random,camp-20260714T140018,20,20260714T140250-f883ebba,-220.635900,0,1,0,0,1,environment collision (impulse=6.6),f883ebba912e1b5583b38a00e8d97e1c5ec67aff8c99524602978fa9e6b8e71d
random,camp-20260714T140018,21,20260714T140259-b758c882,-220.487500,0,1,0,0,1,environment collision (impulse=6.9),b758c8829f312220eb5f3e31ddbadc05f39f4160ab97e6ee8519febda8d6dec6
random,camp-20260714T140018,22,20260714T140307-76ee4479,-220.487500,0,1,0,0,1,environment collision (impulse=6.8),76ee447959695a7ab5e46e6799a2cef51226702db4203d67f9427d2b3672bf36
random,camp-20260714T140018,23,20260714T140315-51e01a71,-220.592200,0,1,0,0,1,environment collision (impulse=4.1),51e01a7178c86c51aedd6d13e66b83ee515f75e4f1e9450f88e30d6e9619774d
random,camp-20260714T140018,24,20260714T140323-b0de75a9,-220.595300,0,1,0,0,1,environment collision (impulse=4.5),b0de75a99e623ce2e9ad9406219d0d4a164923207ae02c45ea2e38e600ae3c92
random,camp-20260714T140018,25,20260714T140332-660f95cc,-220.495300,0,1,0,0,1,environment collision (impulse=6.5),660f95cc2f24740eb42bb554b0ceb33fca685e92247254fb4985577725edeadb
random,camp-20260714T140018,26,20260714T140339-794a274e,-220.492200,0,1,0,0,1,environment collision (impulse=7.8),794a274ea2d3d39ecbfe1b50c9b227390dc6a1a9d7d47fe53b2427d62853757b
random,camp-20260714T140018,27,20260714T140347-a6482be3,-220.506300,0,1,0,0,1,environment collision (impulse=5.2),a6482be3b720facf6e382b77beb59aa9e752e04e5a0b8d2e030da6cfd08c9c70
random,camp-20260714T140018,28,20260714T140354-e384c060,-220.493700,0,1,0,0,1,environment collision (impulse=7.6),e384c06090d7d94d30d9b899a831c3d9a2ca8738cea43feccb86bcfeb04a0439
random,camp-20260714T140018,29,20260714T140402-24d0144f,-220.510900,0,1,0,0,1,environment collision (impulse=5.1),24d0144f223ff5f4ac935a1fc06e87e08ff9d5499a25fb6615855f09eeec2509
random,camp-20260714T140018,30,20260714T140410-f9876307,-220.615600,0,1,0,0,1,environment collision (impulse=6.6),f98763076f9530dea7cf9cb810e531b2a91bb30dc9913eeaec254ba1058d2f0c
random,camp-20260714T140018,31,20260714T140418-ee94890c,-220.487500,0,1,0,0,1,environment collision (impulse=5.8),ee94890c5c502691f2622f3e8a3692223ef347f7770431b57e0583005458357a
random,camp-20260714T140018,32,20260714T140426-73d00992,-220.606200,0,1,0,0,1,environment collision (impulse=3.8),73d0099268775aff8e93d250450a15f3d900b2fed46733a4e8c7b7f508ec927f
random,camp-20260714T140018,33,20260714T140435-64edb668,-220.632800,0,1,0,0,1,environment collision (impulse=4.3),64edb668755acfb662d1700df423248816c087ec8739e9b16e1586c28f754ae5
random,camp-20260714T140018,34,20260714T140444-d2e7b369,-220.507800,0,1,0,0,1,environment collision (impulse=2.3),d2e7b369ef4e9338047b3624eda67420a053b1bbb306907456192718ff842874
random,camp-20260714T140018,35,20260714T140452-c826956b,-220.540600,0,1,0,0,1,environment collision (impulse=1.5),c826956ba6b9a3d24a5c321991eddb7a37c2ef67086bdac59a636ec4a634505b
random,camp-20260714T140018,36,20260714T140500-b606f6de,-220.482800,0,1,0,0,1,environment collision (impulse=6.2),b606f6ded6d67fc77be93100668e446cb3cdb3dd9da8694a5ba3170dcfc57da3
random,camp-20260714T140018,37,20260714T140507-af7b0799,-220.492100,0,1,0,0,1,environment collision (impulse=7.5),af7b07990081900399cc0c40f669b6d5913e6470887a6fd23c713ef49a4837a1
random,camp-20260714T140018,38,20260714T140515-38ee5517,-220.612500,0,1,0,0,1,environment collision (impulse=6.7),38ee5517c6f4afcfb9b36e970cf89a33b39de12069b2a6aaaa919b1869bf0d45
random,camp-20260714T140018,39,20260714T140523-64d497d5,-220.490600,0,1,0,0,1,environment collision (impulse=7.9),64d497d56741805292995a68e4c3e3e1fa45702e01e720553151856c7845ed2b
random,camp-20260714T140018,40,20260714T140531-cf6b956b,-220.496800,0,1,0,0,1,environment collision (impulse=6.7),cf6b956be2d1ed6f6771b3182ba6f2770e63617252d5f703483ed23e402b30b4
