optimizer,campaign_id,flight_number,flight_id,score,gates_passed,aborted,finished,gate_clips,env_hits,abort_reason,param_hash
cem-trim,trim-camp-20260714T140605,1,20260714T140607-e9dcf21e,-220.625000,0,1,0,0,1,environment collision (impulse=3.9),e9dcf21e4ed36eb0a2cd15aca9c932e346a1e14bf267053a0349cf34eff54401
cem-trim,trim-camp-20260714T140605,2,20260714T140616-e52d6345,-220.518700,0,1,0,0,1,environment collision (impulse=4.2),e52d6345b53483b9e86f8c3dead5b44fcc1de5ce6a9cfe7aba0bebe2087bb2fd
cem-trim,trim-camp-20260714T140605,3,20260714T140623-5be4c7f6,-220.521800,0,1,0,0,1,environment collision (impulse=5.7),5be4c7f622a3f961baa2a5eb61dbf0bebeeba9a4afbfb405cc18ef04344530bc
cem-trim,trim-camp-20260714T140605,4,20260714T140631-b20d094a,-240.764000,0,1,0,0,2,environment collision (impulse=5.5),b20d094a845a1a4eb496b3fb59a2c1c3b7c91a9f8b880355b19abd9eefd1dce2
cem-trim,trim-camp-20260714T140605,5,20260714T140642-59d55a7f,-220.615600,0,1,0,0,1,environment collision (impulse=5.9),59d55a7f4ede99f9ce401b65492c86e200eae2a759f2cdae1785a01ca04e18a5
cem-trim,trim-camp-20260714T140605,6,20260714T140651-f27599f3,-220.511000,0,1,0,0,1,environment collision (impulse=7.0),f27599f35c85f4d48aa1a6870b2b724928aa5c05ca0df478a86e4f0e2cfff862
cem-trim,trim-camp-20260714T140605,7,20260714T140658-13d2e84b,-220.631300,0,1,0,0,1,environment collision (impulse=6.6),13d2e84b4bb42c6c60e6385c314f0fd527d0dc2c79bf521de839ddd0d539115f
cem-trim,trim-camp-20260714T140605,8,20260714T140707-014a036d,-220.667200,0,1,0,0,1,environment collision (impulse=6.3),014a036d0c18180284c62430e7fa0e72d3aa40076f8aa2ad0bad9521e0da0e21
cem-trim,trim-camp-20260714T140605,9,20260714T140717-dd75c6fa,-220.565600,0,1,0,0,1,environment collision (impulse=2.5),dd75c6fa93be8931cdd646d773e3c9187e4307f321c21ae68d4b3c29d10c46b9
cem-trim,trim-camp-20260714T140605,10,20260714T140725-4255b9e1,-220.503100,0,1,0,0,1,environment collision (impulse=5.5),4255b9e17f99f7795ad92205740688803baf4b86f674ac3d885dad8a644b2578
cem-trim,trim-camp-20260714T140605,11,20260714T140733-c0b70409,-220.603100,0,1,0,0,1,environment collision (impulse=6.2),c0b70409f43e8ef111aa6c3dcf7a4a4e7225ab2e1cc6732b3047ee62f3d30408
cem-trim,trim-camp-20260714T140605,12,20260714T140742-fdc75c83,-220.610900,0,1,0,0,1,environment collision (impulse=5.9),fdc75c83f8cd90514063f462c199d74b12da8d7768779bb74f0d39e0515d5398
