idx,flight_id,gates_passed,finished,aborted,abort_reason,gate_clips,env_hits,score,param_hash
1,20260715T035800-356d1660,0,False,True,environment collision (impulse=1.7),0,1,-220.92820000000066,356d16604e45a610df7c62afdbe675d6d3fe16eae7a9e3ae4a48a371dcd9d74d
2,20260715T035812-074be4f1,0,False,True,environment collision (impulse=1.6),0,1,-221.5813000000024,074be4f1305180de0e3607b1effa536e1aec4cf99cfe0a106d67d70fdd836d12
3,20260715T035830-1ef9f648,0,False,True,max duration,0,2,-244.50160000000034,1ef9f648e121002df1fa269fab3905af2b6bd9e5ba5343eb509499af0f4f4c83
4,20260715T035917-aae600bc,0,False,True,stale channels: imu,0,0,-200.3920999999973,aae600bc8bd25a5687bc285247b0b7cee4ace7b2ecf8a923478b0bed987ba484
5,20260715T035923-87aa1142,0,False,True,max duration,0,1,-224.50150000000139,87aa1142a53fcb0d7f423a87c2079d496c3c9d0fabb66a3a5fe58bfc1c6b6efc
6,20260715T040010-e5647dea,0,False,True,environment collision (impulse=1.4),0,1,-222.12030000000377,e5647dead063339ce417edfc13105e34730a78d577b84846ca1b46e78846a463
7,20260715T040033-5e596e8d,0,False,True,environment collision (impulse=3.8),0,1,-220.9890000000014,5e596e8da8e25eb1c2a44a158dec48c71c88d28a955d5526806a76eebf147250
8,20260715T040046-6a2be32f,0,False,True,stale channels: imu,0,0,-200.1420999999973,6a2be32fb257f532336b24bee72fca2bcdbc0f0a165965fd10347c2f2855524d
9,20260715T040049-7e1ff034,0,False,True,environment collision (impulse=2.9),0,2,-243.12810000000172,7e1ff034253fa6379f6261eee565e57dcd57a02f5d2f65655bc181139526029c
10,20260715T040122-acfabab0,0,False,True,environment collision (impulse=3.2),0,1,-222.7,acfabab0568c3e36ef70fce4fb1117aadd592f24a804d0bc680f28c07da8e060
11,20260715T040152-834e2498,0,False,True,stale channels: imu,0,0,-201.82660000000033,834e24985f0ecfd947340f2945f9f371938c7b29ac1f8be7c3098629e966dd4a
12,20260715T040212-750b5553,0,False,True,environment collision (impulse=2.8),0,1,-221.67660000000032,750b5553b7114ebbad9678e41be79a59a0d3054e47cab474dc2afca2dcd0dadb
13,20260715T040231-5aed05af,0,False,True,environment collision (impulse=1.2),0,1,-222.37339999999966,5aed05af4bad53c0f48538753e89c8e0dab35b019fe033e17722727b684cfd07
14,20260715T040257-e6ec44b1,0,False,True,environment collision (impulse=1.6),1,1,-241.3594000000041,e6ec44b11e02b0e9749b113628ba3e209855bf1cf691505231adeced6b411a3a
15,20260715T040313-9995ec9a,0,False,True,max duration,0,1,-224.50160000000034,9995ec9a1bb7c827aaec6150517b48c0d5018aab2921ec8d2597816e8aba792e
16,20260715T040400-bc2a40b2,0,False,True,environment collision (impulse=15.8),0,1,-223.37970000000206,bc2a40b24ea5bc504d8f149fc072151b2574ae715d24b3ec8cef92ce55b760a1
17,20260715T040436-94fd2d14,0,False,True,stale channels: imu,0,0,-201.57339999999968,94fd2d141682afec7fc41850d98c0977762bebd1161f5225769e93c61b7de1c4
18,20260715T040454-3512d190,0,False,True,environment collision (impulse=2.8),0,1,-220.77970000000204,3512d1908e63cadca209606add74df72a1ff9361b581ee77b3258a1f1be0a603
19,20260715T040504-ffaeade8,0,False,True,environment collision (impulse=10.0),0,1,-221.71560000000173,ffaeade88d1a89d4769a36fed41145dddcabe9b0b1ba6e77e1645c30d2ce9200
20,20260715T040523-6528ed3b,0,False,True,stale channels: imu,0,0,-200.35470000000205,6528ed3b9e3d5b1b8e577612d712935214e7b05dba61f8956cc9349287fa6be1
21,20260715T040529-c3d2acc4,0,False,True,max duration,0,0,-204.50160000000034,c3d2acc438b89f3fd7b350a2398e98f42af4d758eb9e73e46a9cbd649bef0c76
22,20260715T040616-41135489,0,False,True,environment collision (impulse=2.9),0,1,-220.7704000000027,41135489a6e7c419485adb1c99b69a6d70c2903655a73a6b8e454dbde79d1851
23,20260715T040626-24a9a5c6,0,False,True,environment collision (impulse=3.7),0,1,-221.65619999999763,24a9a5c65e93a28f79fd9f41887a7be6e9321432aca15b62cc8975c6a55865e9
24,20260715T040645-7bd0e290,0,False,True,environment collision (impulse=2.1),0,1,-221.7530999999959,7bd0e290e7c35b041b7615a3320243d21f6431cb11fd461f57ac36f2959975fa
25,20260715T040705-eb417d90,0,False,True,environment collision (impulse=2.1),0,1,-222.65160000000031,eb417d90896b139c7c6c5ead4761d9b95852488f3bb4584f0fba7ac2654f7bca
26,20260715T040734-dabc2b6b,0,False,True,environment collision (impulse=1.3),0,1,-220.86719999999622,dabc2b6bba465e6fae3c3d2d52c8d2880aa745ab4868b6dd1621d15b5bf0f46b
27,20260715T040745-a6bdbcd9,0,False,True,stale channels: imu,0,0,-202.29380000000236,a6bdbcd97f6aed08ecd3e860c9538e0b240898e9210d44f0e710f941c03d0758
28,20260715T040810-48600657,0,False,True,environment collision (impulse=3.5),0,1,-221.70779999999795,48600657f5ce9809fc05c2cecf275ba44254bac24f4e24a1db306d6ec57487cf
29,20260715T040829-39720ba0,0,False,True,stale channels: imu,0,0,-201.85779999999795,39720ba0d1bd26c15a68bf97662ddb5e14cc4ba24733f2aa8d32888b5ec3e38d
30,20260715T040849-453f0088,0,False,True,stale channels: imu,1,1,-242.59220000000204,453f0088faab1c5391c6681a4482c7935db8091566e7b9daf8bed79fea916bc2
31,20260715T040918-751f7fbf,0,False,True,stale channels: imu,0,0,-201.35620000000344,751f7fbf61796394f433cab344e5ef0d54d2050d78fa51920e245623cddd21a3
32,20260715T040933-ff087a62,0,False,True,max duration,0,1,-224.50150000000139,ff087a6298758ebc4552efa27ae08b723a136031f4a0cd38cf476821f6aefbdb
33,20260715T041021-001ba57c,0,False,True,stale channels: imu,0,0,-201.82179999999934,001ba57c2bd51313a4f3d8b3926c6303fd28c02460ed224edd707892ab6d505c
34,20260715T041041-44e1e184,1,False,True,environment collision (impulse=8.1),0,1,-121.91720000000205,44e1e184aebba56b466e0bf86b82ef634849cccefd562d565d7bb880eca3babb
35,20260715T041102-bf9dc4f7,0,False,True,max duration,0,2,-244.50160000000034,bf9dc4f78e604c7124949bc76cb2677bf018dd2e0128ca802218718e9d540e53
36,20260715T041150-7b782f11,0,False,True,environment collision (impulse=2.3),0,1,-220.8484999999986,7b782f111c376adf28e98379aa02b40e7c1bcf9b4511d8386882474748c0b881
37,20260715T041200-d19c6881,0,False,True,environment collision (impulse=3.2),0,1,-221.95320000000066,d19c6881268d944dd22012911181e46276f260bf34650b3867ef727c5ca8fa93
38,20260715T041222-2cf97adb,0,False,True,environment collision (impulse=3.3),0,1,-221.6734999999986,2cf97adb814ea96e11260ac8a20d4f910f34051f14696363c3b661e14bfff883
39,20260715T041241-0c5fa6a8,1,False,True,environment collision (impulse=2.1),0,2,-143.44060000000172,0c5fa6a85087341c970419e36f7a028daaf5d13c55a854e5465cc396a84917b9
40,20260715T041318-9da92165,0,False,True,environment collision (impulse=2.6),0,1,-221.76870000000343,9da9216523439f51483c25e9f3b028cc932c4c249873734cbf7282ad4a363574
