attempt,label,idx,flight_id,gates_passed,finished,aborted,abort_reason,stale_imu,duration_s,lap_time_s,gate_clips,env_hits,score,param_hash,log_dir,error
3,campaign,1,20260715T192857-72f3677c,0,False,True,environment collision (impulse=3.4),False,8.172000000020489,,0,1,-220.81720000000206,72f3677ca3686c98f4fcc7310f55237ca63c9ac2661c9cc62c13d4de10c689ef,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-v2-1998e5c\campaign-attempt-3\20260715T192857-72f3677c,
3,campaign,2,20260715T192907-bdc6f54b,0,False,True,environment collision (impulse=4.4),False,11.827999999979511,,0,1,-221.18279999999794,bdc6f54b33d7ad3cad99e881c77de8ac28e9fa33a1ec8832e107b8dc630f8e95,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-v2-1998e5c\campaign-attempt-3\20260715T192907-bdc6f54b,
3,campaign,3,20260715T192922-ecfc0983,0,False,True,stale channels: imu,True,3.5929999999934807,,0,0,-200.35929999999934,ecfc098345608c4635f0c17fb04ba39fb469b381eca9d471114fd253f73551d5,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-v2-1998e5c\campaign-attempt-3\20260715T192922-ecfc0983,
3,campaign,4,20260715T192928-990cbba1,0,False,True,environment collision (impulse=4.0),False,20.75,,0,1,-222.075,990cbba17d7bea5a35ba489cc7f274a874e65322e9cbd9118ee4138bb94d33bd,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-v2-1998e5c\campaign-attempt-3\20260715T192928-990cbba1,
3,campaign,5,20260715T192951-ffab0877,1,False,True,environment collision (impulse=1.5),False,17.641000000061467,,0,1,-121.76410000000615,ffab0877a9125345b9b245b637ae22105f6b7d34ec29727bdc968890026fd9c7,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-v2-1998e5c\campaign-attempt-3\20260715T192951-ffab0877,
3,campaign,6,20260715T193011-a53bf9e7,0,False,True,stale channels: imu,True,16.375,,1,0,-221.6375,a53bf9e75af7efbf005fc9ef4afeea9dce0bd23125a19ebf81e2b8443cbb6c0e,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-v2-1998e5c\campaign-attempt-3\20260715T193011-a53bf9e7,
3,campaign,7,20260715T193029-f7926265,0,False,True,environment collision (impulse=6.9),False,14.297000000020489,,0,1,-221.42970000000204,f7926265bf33c854ddea1fdd0d832023cf7b0760330c3fa1cfc1cf1692b959d8,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-v2-1998e5c\campaign-attempt-3\20260715T193029-f7926265,
3,campaign,8,20260715T193046-adaac3fc,0,False,True,environment collision (impulse=4.1),False,9.125,,0,1,-220.9125,adaac3fc5a2496763afce4d2bf133c04fe8a83c9e69824a3fc28ceb52c177649,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-v2-1998e5c\campaign-attempt-3\20260715T193046-adaac3fc,
3,campaign,9,20260715T193057-78e746c5,0,False,True,max duration,False,45.01500000001397,,0,1,-224.50150000000139,78e746c58c1ff35488a10d52338c8b4f095bced5cf6439111910c6488cb0e71c,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-v2-1998e5c\campaign-attempt-3\20260715T193057-78e746c5,
3,campaign,10,20260715T193145-49e48173,0,False,True,environment collision (impulse=3.2),False,17.04599999997299,,0,1,-221.7045999999973,49e481738e900c8b2f0c3879b1064684eb3262608539ab8444629c272eb158de,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\2026-07-15-rebaseline-v2-1998e5c\campaign-attempt-3\20260715T193145-49e48173,
