idx,score,best_so_far,gates_passed,finished
1,-240.5155999999988,-240.5155999999988,0,False
2,-221.98129999999946,-221.98129999999946,0,False
3,-121.67649999999848,-121.67649999999848,1,False
4,-222.10160000000033,-121.67649999999848,0,False
5,-220.97660000000033,-121.67649999999848,0,False
6,-141.3905999999988,-121.67649999999848,1,False
7,-220.57339999999968,-121.67649999999848,0,False
8,-220.90310000000173,-121.67649999999848,0,False
9,-121.19839999999968,-121.19839999999968,1,False
10,-241.33429999999936,-121.19839999999968,0,False
11,-221.33440000000118,-121.19839999999968,0,False
12,-221.13280000000086,-121.19839999999968,0,False
13,-204.5014999999985,-121.19839999999968,0,False
14,-220.37030000000087,-121.19839999999968,0,False
15,-222.04530000000085,-121.19839999999968,0,False
16,-220.54059999999882,-121.19839999999968,0,False
17,-220.42970000000204,-121.19839999999968,0,False
18,-220.3906000000017,-121.19839999999968,0,False
19,-242.77660000000031,-121.19839999999968,0,False
20,-262.3515000000014,-121.19839999999968,0,False
21,-220.6718999999983,-121.19839999999968,0,False
22,-222.68120000000053,-121.19839999999968,0,False
23,-221.65470000000204,-121.19839999999968,0,False
24,-220.71870000000052,-121.19839999999968,0,False
25,189.781,189.781,2,True
26,-221.4655999999988,189.781,0,False
27,-222.10779999999795,189.781,0,False
28,-221.06879999999947,189.781,0,False
29,188.094,189.781,2,True
30,-220.7405999999988,189.781,0,False
31,-220.39839999999967,189.781,0,False
32,-221.20469999999915,189.781,0,False
33,-261.24379999999945,189.781,0,False
34,168.54700000000003,189.781,2,True
35,-221.80780000000087,189.781,0,False
36,-221.4125,189.781,0,False
37,-241.3125,189.781,0,False
38,-240.94219999999913,189.781,0,False
39,-224.5014999999985,189.781,0,False
40,-121.1375,189.781,1,False
