idx,flight_id,gates_passed,finished,aborted,abort_reason,duration_s,lap_time_s,gate_clips,env_hits,overrun_frac,score,best_so_far,param_hash,log_dir,term_rows,engaged_rows,ready_rows,owner_term_rows,applied_rows,applied_while_not_ready_rows,param.planner.terminal.margin_m,param.planner.terminal.engage_range_m,param.planner.align.max_dz_m,param.control.att_rate.vel_p,param.control.att_rate.vel_i,param.control.att_rate.vz_p,param.control.att_rate.vz_i,param.control.att_rate.tilt_max_rad,param.control.att_rate.hover_thrust
1,20260719T190820-1260c44c,0,False,True,environment collision (impulse=2.2),14.625,,0,1,0.7481934408004447,-221.4625,-221.4625,1260c44c4de3b930ecede5fa1fdd034e710b47c41d937094eb09638ce34e8944,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T190820-1260c44c,186,53,0,0,0,0,0.525614350963983,2.5049030505987355,0.5047092117398373,0.22839904008063325,0.13359511919049022,0.5945534487242259,0.3618220185007974,0.28126518670071343,0.4787567856142822
2,20260719T190837-8142904d,0,False,True,environment collision (impulse=1.5),14.312999999994645,,1,1,0.7523640661938534,-241.43129999999945,-221.4625,8142904d7b9e1c7ac7b5655d70afd2ded09ee6323c3b375d879f3c2ec5d52163,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T190837-8142904d,354,182,60,0,0,0,0.5560730709713999,2.5013565597357674,0.5513245071626385,0.2860254634168979,0.17658811909416078,0.9649543614321379,0.541233631773364,0.338458895878625,0.41882424615475833
3,20260719T190855-3d5dfe8b,1,False,True,environment collision (impulse=3.7),9.421999999991385,,0,1,0.7445319335083115,-120.94219999999913,-120.94219999999913,3d5dfe8bc7c1cfd73268123414effb538347cc928776a4a20d151247caeb90df,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T190855-3d5dfe8b,171,70,131,0,0,0,0.5816943220640395,2.591574295953242,0.36475570913317773,0.2682257514144294,0.14638515388458953,0.7078749487223756,0.6310777409878197,0.49409716038516804,0.610118532981617
4,20260719T190907-845a855e,0,False,True,environment collision (impulse=1.9),4.23399999999674,,0,1,0.7428571428571429,-220.42339999999967,-120.94219999999913,845a855e697bb68dba1bc08f1f563acbbe2170adf3be2e05ab08ad03b37e885b,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T190907-845a855e,0,0,0,0,0,0,0.4403427636754412,2.9951053002812005,0.8,0.4468096107792605,0.2651929539618013,0.846624116611433,0.42509910611275403,0.43343000018284017,0.5578334030323214
5,20260719T190913-85e15152,1,False,True,environment collision (impulse=1.9),11.5,,0,1,0.7475490196078431,-121.15,-120.94219999999913,85e1515281867877bfd7af879bea3207f82632cb01e07d324252a4ef4eaaad24,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T190913-85e15152,185,80,38,0,0,0,0.4269677588399999,2.502312599959869,0.49210532995151496,0.5313913418898322,0.1393266557930803,0.9386352084338221,0.31285996532351695,0.5140822652403007,0.49382130268410757
6,20260719T190928-f0297922,0,False,True,max duration,60.01500000001397,,0,1,0.7449498327759198,-226.00150000000139,-120.94219999999913,f02979220f79200d150c85d3e4c40cf8a71ff2981b988d9e8afb3a529ef423a8,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T190928-f0297922,162,43,0,0,0,0,0.5398126701439616,2.6308774918224658,0.611412613074215,0.2505419257064435,0.07265269735187724,0.5349032710516395,0.5187005920791168,0.43279531785187325,0.37731854300956297
7,20260719T191030-b48d25fe,0,False,True,environment collision (impulse=1.6),4.094000000011874,,0,1,0.7433628318584071,-220.4094000000012,-120.94219999999913,b48d25fe810edf5cef81a565895f402ba886754fb8829ddc59c10454ea08da72,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191030-b48d25fe,0,0,0,0,0,0,0.6022584393451003,2.650638753403302,0.7046757985913018,0.46313167225789204,0.12733830798510648,0.9932168940405641,0.46299546127016494,0.3965598282001568,0.5728904240240464
8,20260719T191037-952f5fff,0,False,True,environment collision (impulse=1.2),26.25,,0,2,0.745125786163522,-242.625,-120.94219999999913,952f5fff7abf3f356193adfb42785c1e4ce2b24090b70492dfe5e10a1b9ebcae,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191037-952f5fff,356,116,207,0,0,0,0.4,2.8161120851055657,0.3987613249760318,0.4841640941840889,0.12372759668064613,0.8651351773429901,0.4246568421579075,0.2561900824030287,0.35
9,20260719T191106-724d73a4,1,False,True,max duration,60.01600000000326,,0,1,0.744296833064949,-126.00160000000032,-120.94219999999913,724d73a4b76071e250c23561b855b447009f73067c6303e848e4daec75b5fff5,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191106-724d73a4,373,88,0,0,0,0,0.47613691804974323,2.520761658865665,0.3979742119999403,0.5506242240032997,0.14227547263645107,0.7805923606915985,0.7726780082369162,0.5414353978966593,0.46424227891679126
10,20260719T191209-4ef021ab,0,False,True,environment collision (impulse=1.6),15.172000000020489,,0,1,0.7445887445887446,-221.51720000000205,-120.94219999999913,4ef021abd8ad56b54b8407bccaab50aec8053d315efaeee2f4edf5773761c294,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191209-4ef021ab,131,97,11,0,0,0,0.4260751141507099,2.6624882529569827,0.40978678315162675,0.372211767640292,0.1450672112601318,0.7775342635060877,0.6469559452826165,0.5143267562235695,0.5226986936645243
