idx,score,best_so_far,gates_passed,finished
1,-221.4625,-221.4625,0,False
2,-241.43129999999945,-221.4625,0,False
3,-120.94219999999913,-120.94219999999913,1,False
4,-220.42339999999967,-120.94219999999913,0,False
5,-121.15,-120.94219999999913,1,False
6,-226.00150000000139,-120.94219999999913,0,False
7,-220.4094000000012,-120.94219999999913,0,False
8,-242.625,-120.94219999999913,0,False
9,-126.00160000000032,-120.94219999999913,1,False
10,-221.51720000000205,-120.94219999999913,0,False
11,-142.03129999999948,-120.94219999999913,1,False
12,-126.00160000000032,-120.94219999999913,1,False
13,-126.00149999999849,-120.94219999999913,1,False
14,-220.52190000000118,-120.94219999999913,0,False
15,-220.4125,-120.94219999999913,0,False
16,-162.55320000000066,-120.94219999999913,1,False
17,-221.62970000000206,-120.94219999999913,0,False
18,-120.94059999999881,-120.94059999999881,1,False
19,-241.06870000000055,-120.94059999999881,0,False
20,-242.01870000000054,-120.94059999999881,0,False
21,188.12499999999994,188.12499999999994,2,True
22,-122.68440000000119,188.12499999999994,1,False
23,-124.88129999999947,188.12499999999994,1,False
24,189.7969999999999,189.7969999999999,2,True
25,-220.50320000000065,189.7969999999999,0,False
26,-260.99059999999884,189.7969999999999,0,False
27,-220.44219999999913,189.7969999999999,0,False
28,-226.00150000000139,189.7969999999999,0,False
29,-141.8765999999974,189.7969999999999,1,False
30,-284.62339999999966,189.7969999999999,0,False
31,-241.79530000000085,189.7969999999999,0,False
32,-245.34379999999948,189.7969999999999,0,False
33,-220.43129999999945,189.7969999999999,0,False
34,-220.5671000000002,189.7969999999999,0,False
35,-141.99219999999914,189.7969999999999,1,False
36,-263.575,189.7969999999999,0,False
37,-281.0078000000009,189.7969999999999,0,False
38,-241.50620000000055,189.7969999999999,0,False
39,-220.5985000000015,189.7969999999999,0,False
40,-221.32029999999796,189.7969999999999,0,False
