build,sha,test,nodeid,run,returncode,passed,output
HEAD-34d4f6b,34d4f6b6b4476162dff0a9d7ee1f798528fe90e0,single_gate,tests/integration/test_mock_closed_loop.py::test_single_gate_pass,1,0,True,tuning/closed-loop-arbitration-34d4f6b-vs-116b27e/HEAD-34d4f6b-single_gate-run1.txt
HEAD-34d4f6b,34d4f6b6b4476162dff0a9d7ee1f798528fe90e0,single_gate,tests/integration/test_mock_closed_loop.py::test_single_gate_pass,2,1,False,tuning/closed-loop-arbitration-34d4f6b-vs-116b27e/HEAD-34d4f6b-single_gate-run2.txt
HEAD-34d4f6b,34d4f6b6b4476162dff0a9d7ee1f798528fe90e0,single_gate,tests/integration/test_mock_closed_loop.py::test_single_gate_pass,3,1,False,tuning/closed-loop-arbitration-34d4f6b-vs-116b27e/HEAD-34d4f6b-single_gate-run3.txt
HEAD-34d4f6b,34d4f6b6b4476162dff0a9d7ee1f798528fe90e0,first_gate_with_second_visible,tests/integration/test_mock_closed_loop.py::test_first_gate_pass_with_second_gate_visible,1,0,True,tuning/closed-loop-arbitration-34d4f6b-vs-116b27e/HEAD-34d4f6b-first_gate_with_second_visible-run1.txt
HEAD-34d4f6b,34d4f6b6b4476162dff0a9d7ee1f798528fe90e0,first_gate_with_second_visible,tests/integration/test_mock_closed_loop.py::test_first_gate_pass_with_second_gate_visible,2,0,True,tuning/closed-loop-arbitration-34d4f6b-vs-116b27e/HEAD-34d4f6b-first_gate_with_second_visible-run2.txt
HEAD-34d4f6b,34d4f6b6b4476162dff0a9d7ee1f798528fe90e0,first_gate_with_second_visible,tests/integration/test_mock_closed_loop.py::test_first_gate_pass_with_second_gate_visible,3,0,True,tuning/closed-loop-arbitration-34d4f6b-vs-116b27e/HEAD-34d4f6b-first_gate_with_second_visible-run3.txt
old-116b27e,116b27e6c1fbe4f46da0cf35c9765cd72ca80fde,single_gate,tests/integration/test_mock_closed_loop.py::test_single_gate_pass,1,1,False,tuning/closed-loop-arbitration-34d4f6b-vs-116b27e/old-116b27e-single_gate-run1.txt
old-116b27e,116b27e6c1fbe4f46da0cf35c9765cd72ca80fde,single_gate,tests/integration/test_mock_closed_loop.py::test_single_gate_pass,2,1,False,tuning/closed-loop-arbitration-34d4f6b-vs-116b27e/old-116b27e-single_gate-run2.txt
old-116b27e,116b27e6c1fbe4f46da0cf35c9765cd72ca80fde,single_gate,tests/integration/test_mock_closed_loop.py::test_single_gate_pass,3,0,True,tuning/closed-loop-arbitration-34d4f6b-vs-116b27e/old-116b27e-single_gate-run3.txt
old-116b27e,116b27e6c1fbe4f46da0cf35c9765cd72ca80fde,first_gate_with_second_visible,tests/integration/test_mock_closed_loop.py::test_first_gate_pass_with_second_gate_visible,1,0,True,tuning/closed-loop-arbitration-34d4f6b-vs-116b27e/old-116b27e-first_gate_with_second_visible-run1.txt
old-116b27e,116b27e6c1fbe4f46da0cf35c9765cd72ca80fde,first_gate_with_second_visible,tests/integration/test_mock_closed_loop.py::test_first_gate_pass_with_second_gate_visible,2,0,True,tuning/closed-loop-arbitration-34d4f6b-vs-116b27e/old-116b27e-first_gate_with_second_visible-run2.txt
old-116b27e,116b27e6c1fbe4f46da0cf35c9765cd72ca80fde,first_gate_with_second_visible,tests/integration/test_mock_closed_loop.py::test_first_gate_pass_with_second_gate_visible,3,0,True,tuning/closed-loop-arbitration-34d4f6b-vs-116b27e/old-116b27e-first_gate_with_second_visible-run3.txt
