diagnostic_only,report_generator_commit,criterion_commit,response60_commit,response64_commit,source_csv,unit,cluster_id,flight_id,fixture_dir,target_set,n_rows,estimable_or_analyzable,auth_at_latch_median,auth_bin,v_latch_median_mps,abs_v_latch_median_mps,abs_v_latch_bin,b0_old_mps,b0_new_mps,delta_abs_b0_new_minus_old_mps,repair_worsened_by_abs_b0,definition
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260717T095722-a560c093:A1,20260717T095722-a560c093,20260717T100347-phase5c-ownership,confirmatory_20,30,True,0.5558421611785889,0.50-0.80,-0.0,0.0,<0.50,0.03466308525464096,0.03466308525464096,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c,20260717T102447-phase5d-vertical,confirmatory_20,13,True,1.0,>=0.999,-0.0,0.0,<0.50,0.005772065701583617,0.005772065701583617,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260717T102007-7223cc0c:A1,20260717T102007-7223cc0c,20260717T102447-phase5d-vertical,confirmatory_20,18,True,1.0,>=0.999,-0.0,0.0,<0.50,-0.15892738756809688,-0.15892738756809688,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260717T151002-a9753343:A1,20260717T151002-a9753343,20260717T152216-phase5f-terminal,confirmatory_20,13,True,1.0,>=0.999,-0.0,0.0,<0.50,-0.11122279321005007,-0.11122279321005007,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260717T151717-e179e097:A1,20260717T151717-e179e097,20260717T152216-phase5f-terminal,confirmatory_20,54,True,1.0,>=0.999,-0.0,0.0,<0.50,-0.006532008936974643,-0.006532008936974643,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260717T153048-927a4c97:A1,20260717T153048-927a4c97,20260717T154500-phase6a-control-old,confirmatory_20,27,True,1.0,>=0.999,-0.0,0.0,<0.50,0.3457397188529304,0.3457397188529304,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260717T153748-d946830d:A1,20260717T153748-d946830d,20260717T154501-phase6a-dash,confirmatory_20,33,True,1.0,>=0.999,-0.0,0.0,<0.50,-0.009442915036912358,-0.009442915036912358,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260719T075333-fab49fbf:A2,20260719T075333-fab49fbf,20260719T080320-phase6b-aligned-dash,confirmatory_20,144,True,1.0,>=0.999,-0.0,0.0,<0.50,-0.023323873492933328,-0.023323873492933328,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260719T080255-fab49fbf:A1,20260719T080255-fab49fbf,20260719T080320-phase6b-aligned-dash,confirmatory_20,56,True,0.3331165313720703,<0.50,-0.0,0.0,<0.50,0.010752035446131902,0.010752035446131902,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260719T134326-2477345e:A2,20260719T134326-2477345e,20260719T134835-phase6d-fiction-guards,confirmatory_20,103,True,1.0,>=0.999,-0.0,0.0,<0.50,0.4292144058337757,0.8588192627189799,0.4296048568852042,True,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260719T142919-a76247fb:A1,20260719T142919-a76247fb,20260719T143556-phase6e-aim-tfv1,confirmatory_20,36,True,0.9998846054077148,>=0.999,-0.0,0.0,<0.50,-0.13174692699451615,-0.13174692699451615,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260719T143404-a76247fb:A1,20260719T143404-a76247fb,20260719T143556-phase6e-aim-tfv1,confirmatory_20,153,True,1.0,>=0.999,-0.0,0.0,<0.50,0.015994754597803224,0.015994754597803224,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260719T144941-a76247fb:A1,20260719T144941-a76247fb,20260719T145242-phase6f-repeat,confirmatory_20,22,True,0.21966814994812012,<0.50,-0.0,0.0,<0.50,-0.06344467093845457,-0.06344467093845457,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260719T150627-486b0765:A1,20260719T150627-486b0765,20260719T151340-phase6g-terminal-live,confirmatory_20,72,True,0.7119286855061848,0.50-0.80,0.16397323222744212,0.16397323222744212,<0.50,-0.10818226954066942,-0.17263680563850195,0.06445453609783253,True,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
True,108a835f417df568018ad9d2f48e1d989bae97a1,9a85c7365994e87941636ccd567a87f42c417a21,26fb3b47f676ddf1aa98d2492a574d3ec7763875,9a85c7365994e87941636ccd567a87f42c417a21,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z/02_shadow_b0_new_per_cluster_split.csv,physical_approach_cluster_appendix,20260719T160537-f170ead6:A1,20260719T160537-f170ead6,20260719T164956-phase6h-first-enable,confirmatory_20,145,True,1.0,>=0.999,-0.0,0.0,<0.50,-0.0008797870804289898,-0.0008797870804289898,0.0,False,appendix repair-worsened iff abs(cluster b0_new) > abs(cluster b0_old)
