build,sha,run,returncode,pass,duration_s,log,summary
head-78c8461,78c84617815541c73e1b84ebf81b6f5f6c7a7808,1,0,True,11.006,tuning\framefix-single-gate-20260719T114643Z\head-78c8461-run01.txt,1 passed in 10.64s
head-78c8461,78c84617815541c73e1b84ebf81b6f5f6c7a7808,2,1,False,37.268,tuning\framefix-single-gate-20260719T114643Z\head-78c8461-run02.txt,"        if result[""gates_passed""] < 1:            # one retry (see docstring) | >       assert result[""gates_passed""] >= 1, f""never passed the gate: {result}"" | E       AssertionError: never passed the gate: {'finished': False, 'aborted': True, 'abort_reason': 'environment collision (impulse=6.9)', 'gates_passed': 0, 'lap_time_s': None, 'gate_clips': 0, 'env_hits': 1, 'duration_s': 16.96799999999348, 'loop_overrun_frac': 0.7443840151336013, 'loop_stats': {'ticks': 4229, 'overruns': 3148, 'overrun_frac': 0.7443840151336013, 'max_late_us': 27000}, 'flight_id': '20260719T114715-c6c67bc3', 'log_dir': 'C:\\Temp\\pytest-eni-single-head-78c8461-02\\test_single_gate_pass0\\logs\\20260719T114715-c6c67bc3'} | tests\integration\test_mock_closed_loop.py:142: AssertionError | FAILED tests/integration/test_mock_closed_loop.py::test_single_gate_pass - As... | 1 failed in 36.94s"
head-78c8461,78c84617815541c73e1b84ebf81b6f5f6c7a7808,3,0,True,43.074,tuning\framefix-single-gate-20260719T114643Z\head-78c8461-run03.txt,1 passed in 42.71s
head-78c8461,78c84617815541c73e1b84ebf81b6f5f6c7a7808,4,1,False,31.324,tuning\framefix-single-gate-20260719T114643Z\head-78c8461-run04.txt,"        if result[""gates_passed""] < 1:            # one retry (see docstring) | >       assert result[""gates_passed""] >= 1, f""never passed the gate: {result}"" | E       AssertionError: never passed the gate: {'finished': False, 'aborted': True, 'abort_reason': 'environment collision (impulse=10.8)', 'gates_passed': 0, 'lap_time_s': None, 'gate_clips': 0, 'env_hits': 1, 'duration_s': 18.25, 'loop_overrun_frac': 0.7448169386854874, 'loop_stats': {'ticks': 4534, 'overruns': 3377, 'overrun_frac': 0.7448169386854874, 'max_late_us': 29000}, 'flight_id': '20260719T114830-c6c67bc3', 'log_dir': 'C:\\Temp\\pytest-eni-single-head-78c8461-04\\test_single_gate_pass0\\logs\\20260719T114830-c6c67bc3'} | tests\integration\test_mock_closed_loop.py:142: AssertionError | FAILED tests/integration/test_mock_closed_loop.py::test_single_gate_pass - As... | 1 failed in 30.93s"
head-78c8461,78c84617815541c73e1b84ebf81b6f5f6c7a7808,5,0,True,27.665,tuning\framefix-single-gate-20260719T114643Z\head-78c8461-run05.txt,1 passed in 27.30s
head-78c8461,78c84617815541c73e1b84ebf81b6f5f6c7a7808,6,1,False,37.83,tuning\framefix-single-gate-20260719T114643Z\head-78c8461-run06.txt,"        if result[""gates_passed""] < 1:            # one retry (see docstring) | >       assert result[""gates_passed""] >= 1, f""never passed the gate: {result}"" | E       AssertionError: never passed the gate: {'finished': False, 'aborted': True, 'abort_reason': 'environment collision (impulse=1.4)', 'gates_passed': 0, 'lap_time_s': None, 'gate_clips': 0, 'env_hits': 1, 'duration_s': 10.875, 'loop_overrun_frac': 0.7473979183346677, 'loop_stats': {'ticks': 2498, 'overruns': 1867, 'overrun_frac': 0.7473979183346677, 'max_late_us': 55000}, 'flight_id': '20260719T114945-c6c67bc3', 'log_dir': 'C:\\Temp\\pytest-eni-single-head-78c8461-06\\test_single_gate_pass0\\logs\\20260719T114945-c6c67bc3'} | tests\integration\test_mock_closed_loop.py:142: AssertionError | FAILED tests/integration/test_mock_closed_loop.py::test_single_gate_pass - As... | 1 failed in 37.41s"
head-78c8461,78c84617815541c73e1b84ebf81b6f5f6c7a7808,7,0,True,11.245,tuning\framefix-single-gate-20260719T114643Z\head-78c8461-run07.txt,1 passed in 10.92s
head-78c8461,78c84617815541c73e1b84ebf81b6f5f6c7a7808,8,0,True,10.81,tuning\framefix-single-gate-20260719T114643Z\head-78c8461-run08.txt,1 passed in 10.44s
head-78c8461,78c84617815541c73e1b84ebf81b6f5f6c7a7808,9,0,True,23.368,tuning\framefix-single-gate-20260719T114643Z\head-78c8461-run09.txt,1 passed in 23.07s
head-78c8461,78c84617815541c73e1b84ebf81b6f5f6c7a7808,10,0,True,11.067,tuning\framefix-single-gate-20260719T114643Z\head-78c8461-run10.txt,1 passed in 10.70s
