cohort,flight,side_frame_id,full_frame_id,side_topic,full_topic,side_ts_s,full_ts_s,dt_s,range_z_m,range_bin,side_e_z,full_e_z,residual_e_m
primary_f2_f4,F2,298,298,feature_side,feature,1784531479.96571,1784531479.96571,0.0,2.1837498917296645,2p0-2p5,-0.45,-0.43836628490830676,-0.011633715091693253
primary_f2_f4,F2,299,299,feature_side,feature,1784531479.993161,1784531479.993161,0.0,2.1917528421853127,2p0-2p5,-0.4233423527831236,-0.41010841618228855,-0.01323393660083505
primary_f2_f4,F2,300,300,feature_side,feature,1784531480.027997,1784531480.027997,0.0,2.1316069594271383,2p0-2p5,-0.37349484607163175,-0.33625258163778976,-0.03724226443384199
primary_f2_f4,F2,301,301,feature_side,feature,1784531480.0627384,1784531480.0627384,0.0,2.0990217831725255,2p0-2p5,-0.32999851775330674,-0.31749504177958443,-0.012503475973722311
primary_f2_f4,F2,302,302,feature_side,feature,1784531480.0976124,1784531480.0976124,0.0,2.0128849435913914,2p0-2p5,-0.300188567374107,-0.23730212156147812,-0.06288644581262887
primary_f2_f4,F2,303,303,feature_side,feature,1784531480.132076,1784531480.132076,0.0,1.9027490654879835,1p5-2p0,-0.2824694106673621,-0.23254347185842905,-0.049925938808933035
primary_f2_f4,F2,304,304,feature_side,feature,1784531480.1599298,1784531480.1599298,0.0,1.8205209770928898,1p5-2p0,-0.27172788430730044,-0.1851786338621162,-0.08654925044518424
primary_f2_f4,F2,306,306,feature_side,feature,1784531480.2293882,1784531480.2293882,0.0,1.648511592213068,1p5-2p0,-0.14666132403329268,-0.03143560733548645,-0.11522571669780624
primary_f2_f4,F2,315,315,feature_side,feature,1784531480.5281603,1784531480.5281603,0.0,1.064305018103599,1p0-1p5,-0.16110497074241079,0.03519142721221186,-0.19629639795462264
primary_f2_f4,F2,316,315,feature,feature,1784531480.5627284,1784531480.5281603,0.034568071365356445,1.0055592429041487,1p0-1p5,-0.14513021597705314,0.03519142721221186,-0.180321643189265
primary_f2_f4,F4,261,261,feature_side,feature,1784531619.4632545,1784531619.4632545,0.0,3.4850427044467667,3p0-3p5,-0.45,-0.45,0.0
primary_f2_f4,F4,266,266,feature_side,feature,1784531619.629984,1784531619.629984,0.0,3.4629427027663002,3p0-3p5,-0.45,-0.45,0.0
primary_f2_f4,F4,267,267,feature_side,feature,1784531619.6646714,1784531619.6646714,0.0,3.3726443151684826,3p0-3p5,-0.45,-0.45,0.0
primary_f2_f4,F4,268,268,feature_side,feature,1784531619.6992729,1784531619.6992729,0.0,3.271874601474427,3p0-3p5,-0.45,-0.45,0.0
primary_f2_f4,F4,269,269,feature_side,feature,1784531619.7340498,1784531619.7340498,0.0,3.2173525768688886,3p0-3p5,-0.45,-0.45,0.0
primary_f2_f4,F4,270,270,feature_side,feature,1784531619.7618618,1784531619.7618618,0.0,3.2243741297586657,3p0-3p5,-0.45,-0.45,0.0
primary_f2_f4,F4,271,271,feature_side,feature,1784531619.79706,1784531619.79706,0.0,3.2184904953508955,3p0-3p5,-0.45,-0.45,0.0
primary_f2_f4,F4,273,273,feature_side,feature,1784531619.8659627,1784531619.8659627,0.0,3.073789046997753,3p0-3p5,-0.45,-0.45,0.0
primary_f2_f4,F4,274,274,feature_side,feature,1784531619.9007733,1784531619.9007733,0.0,2.9984982414588606,2p5-3p0,-0.45,-0.45,0.0
primary_f2_f4,F4,275,275,feature_side,feature,1784531619.9286084,1784531619.9286084,0.0,2.9462550052554564,2p5-3p0,-0.45,-0.45,0.0
primary_f2_f4,F4,276,276,feature_side,feature,1784531619.9632466,1784531619.9632466,0.0,2.8523120137582225,2p5-3p0,-0.45,-0.45,0.0
primary_f2_f4,F4,277,277,feature_side,feature,1784531619.9979239,1784531619.9979239,0.0,2.7790967938171347,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,248,248,feature_side,feature,1784477143.054671,1784477143.054671,0.0,3.1482781996142988,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,249,249,feature_side,feature,1784477143.0895135,1784477143.0895135,0.0,3.2645081751600804,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,260,260,feature_side,feature,1784477143.457234,1784477143.457234,0.0,3.4884041290888694,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,261,261,feature_side,feature,1784477143.4920402,1784477143.4920402,0.0,3.418949335985393,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,263,263,feature_side,feature,1784477143.5546596,1784477143.5546596,0.0,3.2499801141111844,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,264,264,feature_side,feature,1784477143.589075,1784477143.589075,0.0,3.15105854603868,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,265,265,feature_side,feature,1784477143.6239426,1784477143.6239426,0.0,3.1873931406640477,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,266,266,feature_side,feature,1784477143.6585097,1784477143.6585097,0.0,3.1859140179782863,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,267,267,feature_side,feature,1784477143.6932602,1784477143.6932602,0.0,3.106947103552491,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,268,268,feature_side,feature,1784477143.7212749,1784477143.7212749,0.0,3.034404926705665,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,269,269,feature_side,feature,1784477143.7557817,1784477143.7557817,0.0,2.9220026876715703,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,270,270,feature_side,feature,1784477143.7905555,1784477143.7905555,0.0,2.85765196132573,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,271,271,feature_side,feature,1784477143.8260007,1784477143.8260007,0.0,2.799817599551014,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,272,272,feature_side,feature,1784477143.8601556,1784477143.8601556,0.0,2.703546580609889,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,273,273,feature_side,feature,1784477143.8878696,1784477143.8878696,0.0,2.6909520164795975,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,274,274,feature_side,feature,1784477143.9228141,1784477143.9228141,0.0,2.6316014663308,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,275,275,feature_side,feature,1784477143.9572027,1784477143.9572027,0.0,2.574143648188048,2p5-3p0,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,276,276,feature_side,feature,1784477143.9919136,1784477143.9919136,0.0,2.4959175807672946,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,277,277,feature_side,feature,1784477144.0267193,1784477144.0267193,0.0,2.4149065626328725,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,278,278,feature_side,feature,1784477144.0543947,1784477144.0543947,0.0,2.3390014116490385,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,279,279,feature_side,feature,1784477144.0890229,1784477144.0890229,0.0,2.2606370906129953,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,280,280,feature_side,feature,1784477144.124039,1784477144.124039,0.0,2.197948350853359,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,281,281,feature_side,feature,1784477144.158699,1784477144.158699,0.0,2.117819300076947,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,282,282,feature_side,feature,1784477144.1931405,1784477144.1931405,0.0,2.052885194799563,2p0-2p5,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,283,283,feature_side,feature,1784477144.2210565,1784477144.2210565,0.0,1.9685888073703626,1p5-2p0,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,284,284,feature_side,feature,1784477144.2562041,1784477144.2562041,0.0,1.8595501991030319,1p5-2p0,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,285,285,feature_side,feature,1784477144.2904267,1784477144.2904267,0.0,1.7085770727415672,1p5-2p0,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,286,286,feature_side,feature,1784477144.3250642,1784477144.3250642,0.0,1.6093109638072918,1p5-2p0,-0.45,-0.45,0.0
sweep29,20260719T160537-f170ead6,290,286,feature,feature,1784477144.4571242,1784477144.3250642,0.13206005096435547,1.252202187064972,1p0-1p5,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,286,286,feature_side,feature,1784479016.1609485,1784479016.1609485,0.0,3.475256201711944,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,287,287,feature_side,feature,1784479016.1961334,1784479016.1961334,0.0,3.4048595613436694,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,288,288,feature_side,feature,1784479016.2300851,1784479016.2300851,0.0,3.275377635531507,3p0-3p5,-0.45,-0.45,0.0
sweep29,20260719T163649-f170ead6,289,289,feature_side,feature,1784479016.265159,1784479016.265159,0.0,3.208941379358461,3p0-3p5,-0.45,-0.45,0.0
