cohort,range_bin,n,bias_e_m,sigma_e_m,std_e_m,sigma_v_mps,std_v_mps,n_v_pairs
primary_f2_f4,all,22,-0.034809944773115116,0.05778443789814264,0.05914425777807,0.5145950387064399,0.5286961437433901,19
primary_f2_f4,3p0-3p5,8,0.0,0.0,0.0,0.0,0.0,7
primary_f2_f4,2p5-3p0,4,0.0,0.0,0.0,0.0,0.0,3
primary_f2_f4,2p0-2p5,5,-0.027499967582544294,0.020135876231815925,0.022512594020431362,0.7945056145698721,0.9174160608891695,4
primary_f2_f4,1p5-2p0,3,-0.08390030198397451,0.026724245471689216,0.03273038258326127,0.45099327484580326,0.6378008058259917,2
primary_f2_f4,1p0-1p5,2,-0.18830902057194382,0.007987377382678823,0.011295857422376506,,,1
primary_f2_f4,0p5-1p0,0,,,,,,0
primary_f2_f4,lt0p5,0,,,,,,0
sweep29,all,202,-0.013512294977942993,0.038318365906128075,0.03841356696193912,0.29431876220643916,0.2951443424037602,179
sweep29,3p0-3p5,62,0.0,0.0,0.0,0.0,0.0,46
sweep29,2p5-3p0,46,0.0,0.0,0.0,0.0,0.0,36
sweep29,2p0-2p5,39,-0.0035256368695569607,0.011683578378369674,0.01183631137556752,0.3111874831333016,0.3163314263776735,31
sweep29,1p5-2p0,29,-0.022887654287680373,0.05658477950377034,0.05758635778216019,0.41211575058999794,0.4222929806172194,21
sweep29,1p0-1p5,17,-0.08739179166663613,0.05040924162582262,0.0519606569326373,0.6705898828472203,0.7004082894819008,12
sweep29,0p5-1p0,5,-0.08851626299124357,0.03851128983774298,0.04305693098919508,0.8945123177719817,1.0955493735878379,3
sweep29,lt0p5,0,,,,,,0
