sweep,flight,commit_rows,observer_ready_rows,shadow_capture_rows,captures_by_2p2m,first_capture_range_m,first_capture_source,owner_term_rows,owner_term_side_rows,min_admission_score,sigma_induced_abort_rows,transition_count,held_through_full_to_side
baseline,20260719T154704-f170ead6,2,0,0,0,,,0,0,,0,0,False
baseline,20260719T160537-f170ead6,83,76,0,0,,,0,0,0.6236935474566323,0,0,False
baseline,20260719T163649-f170ead6,151,125,0,0,,,0,0,0.6100799680255744,0,0,False
baseline,20260719T173050-f170ead6,41,23,0,0,,,0,0,0.6514213562373095,0,0,False
baseline,20260719T173427-50f9dcc8,46,17,0,0,,,0,0,0.6100799680255744,0,0,False
baseline,20260719T200816-f170ead6,56,41,0,0,,,0,0,0.621388700676945,0,0,False
baseline,20260719T201630-f170ead6,122,103,0,0,,,0,0,0.6100799680255744,0,0,False
baseline,20260719T201851-50f9dcc8,128,90,6,6,1.2677735845134732,FULL_QUAD,55,0,0.26470364576313665,7,0,False
baseline,20260719T202445-f170ead6,20,7,0,0,,,0,0,0.6100799680255744,0,0,False
baseline,20260719T202720-50f9dcc8,29,19,0,0,,,0,0,0.6514213562373095,0,0,False
baseline,20260720T053402-f170ead6,21,0,0,0,,,0,0,,0,0,False
baseline,20260720T053514-5cebc2b2,56,46,0,0,,,0,0,0.6100799680255744,0,0,False
baseline,20260720T053635-f170ead6,47,40,0,0,,,0,0,0.6498045367136651,0,0,False
baseline,20260720T053745-5cebc2b2,32,3,0,0,,,0,0,0.6514213562373095,0,0,False
baseline,20260720T053905-f170ead6,33,13,0,0,,,0,0,0.6100799680255744,0,0,False
baseline,20260720T054016-5cebc2b2,74,56,0,0,,,0,0,0.6100799680255744,0,0,False
baseline,20260720T062804-c38fd469,112,92,11,11,1.3174319265968548,FULL_QUAD,36,0,0.2001839551639189,2,0,False
baseline,20260720T062921-790186c4,33,7,0,0,,,0,0,0.6514213562373095,0,0,False
baseline,20260720T063258-c38fd469,3,0,0,0,,,0,0,,0,0,False
baseline,20260720T063419-790186c4,2,0,0,0,,,0,0,,0,0,False
baseline,20260720T071112-cd18c5fb,43,10,2,2,1.9027490654879835,FULL_QUAD,27,0,0.22131123298279648,2,0,False
baseline,20260720T071220-5b501b4c,1,0,0,0,,,0,0,,0,0,False
baseline,20260720T071333-cd18c5fb,38,33,0,0,,,0,0,0.6394931569736408,0,0,False
baseline,20260720T071545-cd18c5fb,18,0,0,0,,,0,0,,0,0,False
baseline,F2,43,10,2,2,1.9027490654879835,FULL_QUAD,27,0,0.22131123298279648,2,0,False
baseline,F4,38,33,0,0,,,0,0,0.6394931569736408,0,0,False
drop_all_0p16s_after_first_below_2m,20260719T154704-f170ead6,2,0,0,0,,,0,0,,0,0,False
drop_all_0p16s_after_first_below_2m,20260719T160537-f170ead6,83,76,0,0,,,0,0,0.6236935474566323,0,0,False
drop_all_0p16s_after_first_below_2m,20260719T163649-f170ead6,151,119,0,0,,,0,0,0.6100799680255744,0,0,False
drop_all_0p16s_after_first_below_2m,20260719T173050-f170ead6,41,32,0,0,,,0,0,0.6514213562373095,0,0,False
drop_all_0p16s_after_first_below_2m,20260719T173427-50f9dcc8,46,17,0,0,,,0,0,0.6100799680255744,0,0,False
drop_all_0p16s_after_first_below_2m,20260719T200816-f170ead6,56,41,0,0,,,0,0,0.621388700676945,0,0,False
drop_all_0p16s_after_first_below_2m,20260719T201630-f170ead6,122,103,0,0,,,0,0,0.6100799680255744,0,0,False
drop_all_0p16s_after_first_below_2m,20260719T201851-50f9dcc8,128,80,7,7,1.1292388301472043,FULL_QUAD,51,0,0.18934610950277586,0,0,False
