transition_id,sweep,flight,t_rel_s,range_z_m,from_source,to_source,paired_overlap_count,overlap_delta_median,jump_grace_consumed,sigma_induced_abort_after
1,drop_full_below_2p0m,F2,6.8666827,1.648511592213068,FULL_QUAD,SIDE_PAIR,8,-0.042529436461797715,False,True
2,drop_full_below_2p0m,20260719T160537-f170ead6,5.9633807,1.6093109638072918,FULL_QUAD,SIDE_PAIR,12,0.0,False,False
3,drop_full_below_2p0m,20260719T163649-f170ead6,6.2980709,1.7059077160280558,FULL_QUAD,SIDE_PAIR,12,0.0,False,False
4,drop_full_below_2p0m,20260719T163649-f170ead6,8.5632034,,SIDE_PAIR,FULL_QUAD,0,,False,False
5,drop_full_below_2p0m,20260719T201851-50f9dcc8,6.5226364,1.715484479935911,FULL_QUAD,SIDE_PAIR,12,0.0,False,True
6,drop_full_below_2p0m,20260719T201851-50f9dcc8,11.5889972,6.649769644745147,SIDE_PAIR,FULL_QUAD,0,,False,False
7,drop_full_below_2p0m,20260720T062804-c38fd469,5.9998556,1.6993440249983873,FULL_QUAD,SIDE_PAIR,12,0.0,False,True
8,drop_full_below_2p0m,20260720T062804-c38fd469,8.034999,,SIDE_PAIR,FULL_QUAD,0,,False,False
9,drop_full_below_2p0m,20260720T071112-cd18c5fb,6.8666827,1.648511592213068,FULL_QUAD,SIDE_PAIR,8,-0.042529436461797715,False,True
1,drop_full_below_1p5m,20260719T201851-50f9dcc8,6.6913384,1.2677735845134732,FULL_QUAD,SIDE_PAIR,12,0.0,False,True
2,drop_full_below_1p5m,20260719T201851-50f9dcc8,11.5889972,6.649769644745147,SIDE_PAIR,FULL_QUAD,0,,False,False
3,drop_full_below_1p5m,20260720T062804-c38fd469,6.2015547,1.2406072939723234,FULL_QUAD,SIDE_PAIR,12,0.0,False,True
4,drop_full_below_1p5m,20260720T062804-c38fd469,8.034999,,SIDE_PAIR,FULL_QUAD,0,,False,True
