cohort,range_bin,n,bias_e_m,sigma_e_m,std_e_m,sigma_v_mps,paired_switch_sigma_v_mps,std_v_mps,n_v_pairs,v_component
primary_f2_f4,all,21,-0.02788081627710798,0.04941417964923505,0.05063446660059943,0.509238962985662,0.509238962985662,0.5240025699088766,18,paired_switch_exact_exposure
primary_f2_f4,3p0-3p5,8,0.0,0.0,0.0,0.0,0.0,0.0,7,paired_switch_exact_exposure
primary_f2_f4,2p5-3p0,4,0.0,0.0,0.0,0.0,0.0,0.0,3,paired_switch_exact_exposure
primary_f2_f4,2p0-2p5,5,-0.027499967582544294,0.020135876231815925,0.022512594020431362,0.7945056145698721,0.7945056145698721,0.9174160608891695,4,paired_switch_exact_exposure
primary_f2_f4,1p5-2p0,3,-0.08390030198397451,0.026724245471689216,0.03273038258326127,0.45099327484580326,0.45099327484580326,0.6378008058259917,2,paired_switch_exact_exposure
primary_f2_f4,1p0-1p5,1,-0.19629639795462264,,,,,,0,paired_switch_exact_exposure
primary_f2_f4,0p5-1p0,0,,,,,,,0,paired_switch_exact_exposure
primary_f2_f4,lt0p5,0,,,,,,,0,paired_switch_exact_exposure
sweep29,all,189,-0.011474826531737018,0.03516889388494549,0.03526230412618901,0.2772193061404701,0.2772193061404701,0.27805305029708943,167,paired_switch_exact_exposure
sweep29,3p0-3p5,60,0.0,0.0,0.0,0.0,0.0,0.0,45,paired_switch_exact_exposure
sweep29,2p5-3p0,45,0.0,0.0,0.0,0.0,0.0,0.0,36,paired_switch_exact_exposure
sweep29,2p0-2p5,39,-0.0035256368695569607,0.011683578378369674,0.01183631137556752,0.3111874831333016,0.3111874831333016,0.3163314263776735,31,paired_switch_exact_exposure
sweep29,1p5-2p0,29,-0.022887654287680373,0.05658477950377034,0.05758635778216019,0.41211575058999794,0.41211575058999794,0.4222929806172194,21,paired_switch_exact_exposure
sweep29,1p0-1p5,14,-0.09299933093547001,0.037246019994656446,0.038652021617138724,0.6753686617945241,0.6753686617945241,0.7083326282669316,11,paired_switch_exact_exposure
sweep29,0p5-1p0,1,-0.0655097691462635,,,,,,0,paired_switch_exact_exposure
sweep29,lt0p5,0,,,,,,,0,paired_switch_exact_exposure
