cohort,sweep,flight,side_frame_id,withheld_full_frame_id,anchor_frame_id,side_ts_s,anchor_ts_s,time_since_anchor_s,time_since_anchor_bin,range_z_m,range_bin,side_e_z,withheld_full_e_z,anchor_side_e_z,anchor_full_e_z,maintenance_residual_e_m,anchor_residual_e_m,residual_drift_from_anchor_m,maintenance_interval_v_mps,full_withheld_below_m
primary_f2_f4,drop_full_below_2p0m,F2,303,303,302,1784531480.132076,1784531480.0976124,0.03446364402770996,0p00-0p10,1.9027490654879835,1p5-2p0,-0.2824694106673621,-0.23254347185842905,-0.300188567374107,-0.23730212156147812,-0.049925938808933035,-0.06288644581262887,0.012960507003695831,0.3760631636421017,2.0
primary_f2_f4,drop_full_below_2p0m,F2,304,304,302,1784531480.1599298,1784531480.0976124,0.0623173713684082,0p00-0p10,1.8205209770928898,1p5-2p0,-0.27172788430730044,-0.1851786338621162,-0.300188567374107,-0.23730212156147812,-0.08654925044518424,-0.06288644581262887,-0.02366280463255538,-0.37971442172465,2.0
primary_f2_f4,drop_full_below_2p0m,F2,306,306,302,1784531480.2293882,1784531480.0976124,0.1317758560180664,0p10-0p25,1.648511592213068,1p5-2p0,-0.14666132403329268,-0.03143560733548645,-0.300188567374107,-0.23730212156147812,-0.11522571669780624,-0.06288644581262887,-0.05233927088517737,-0.39718407048709803,2.0
primary_f2_f4,drop_full_below_2p0m,F2,315,315,302,1784531480.5281603,1784531480.0976124,0.43054795265197754,0p25-0p50,1.064305018103599,1p0-1p5,-0.16110497074241079,0.03519142721221186,-0.300188567374107,-0.23730212156147812,-0.19629639795462264,-0.06288644581262887,-0.13340995214199378,-0.30986084435020483,2.0
sweep29,drop_full_below_2p0m,20260719T160537-f170ead6,283,283,282,1784477144.2210565,1784477144.1931405,0.02791595458984375,0p00-0p10,1.9685888073703626,1p5-2p0,-0.45,-0.45,-0.45,-0.45,0.0,0.0,0.0,0.0,2.0
sweep29,drop_full_below_2p0m,20260719T160537-f170ead6,284,284,282,1784477144.2562041,1784477144.1931405,0.0630636215209961,0p00-0p10,1.8595501991030319,1p5-2p0,-0.45,-0.45,-0.45,-0.45,0.0,0.0,0.0,0.0,2.0
sweep29,drop_full_below_2p0m,20260719T160537-f170ead6,285,285,282,1784477144.2904267,1784477144.1931405,0.09728622436523438,0p00-0p10,1.7085770727415672,1p5-2p0,-0.45,-0.45,-0.45,-0.45,0.0,0.0,0.0,0.0,2.0
sweep29,drop_full_below_2p0m,20260719T160537-f170ead6,286,286,282,1784477144.3250642,1784477144.1931405,0.13192367553710938,0p10-0p25,1.6093109638072918,1p5-2p0,-0.45,-0.45,-0.45,-0.45,0.0,0.0,0.0,0.0,2.0
sweep29,drop_full_below_2p0m,20260719T163649-f170ead6,305,305,303,1784479016.799583,1784479016.7301679,0.06941509246826172,0p00-0p10,1.9314006144030353,1p5-2p0,-0.45,-0.45,-0.45,-0.45,0.0,0.0,0.0,0.0,2.0
sweep29,drop_full_below_2p0m,20260719T163649-f170ead6,306,306,303,1784479016.827385,1784479016.7301679,0.09721708297729492,0p00-0p10,1.943290156675335,1p5-2p0,-0.45,-0.45,-0.45,-0.45,0.0,0.0,0.0,0.0,2.0
