cohort,sweep,range_bin,time_since_anchor_bin,n,bias_residual_e_m,sigma_residual_e_m,maintenance_sigma_v_mps,maintenance_std_v_mps,median_time_since_anchor_s,median_range_z_m
primary_f2_f4,drop_full_below_1p5m,all,all,1,-0.19629639795462264,,,,0.29877209663391113,1.064305018103599
primary_f2_f4,drop_full_below_1p5m,all,0p25-0p50,1,-0.19629639795462264,,,,0.29877209663391113,1.064305018103599
primary_f2_f4,drop_full_below_1p5m,1p0-1p5,all,1,-0.19629639795462264,,,,0.29877209663391113,1.064305018103599
primary_f2_f4,drop_full_below_1p5m,1p0-1p5,0p25-0p50,1,-0.19629639795462264,,,,0.29877209663391113,1.064305018103599
primary_f2_f4,drop_full_below_2p0m,all,all,4,-0.11199932597663653,0.053891598789086934,0.321365528360457,0.37108094861435226,0.0970466136932373,1.734516284652979
primary_f2_f4,drop_full_below_2p0m,all,0p00-0p10,2,-0.06823759462705864,0.018311655818125605,0.37788879268337583,0.534415455681625,0.04839050769805908,1.8616350212904367
primary_f2_f4,drop_full_below_2p0m,all,0p10-0p25,1,-0.11522571669780624,,,,0.1317758560180664,1.648511592213068
primary_f2_f4,drop_full_below_2p0m,all,0p25-0p50,1,-0.19629639795462264,,,,0.43054795265197754,1.064305018103599
primary_f2_f4,drop_full_below_2p0m,1p5-2p0,all,3,-0.08390030198397451,0.026724245471689216,0.36046516741244505,0.4414778651037026,0.0623173713684082,1.8205209770928898
primary_f2_f4,drop_full_below_2p0m,1p5-2p0,0p00-0p10,2,-0.06823759462705864,0.018311655818125605,0.37788879268337583,0.534415455681625,0.04839050769805908,1.8616350212904367
primary_f2_f4,drop_full_below_2p0m,1p5-2p0,0p10-0p25,1,-0.11522571669780624,,,,0.1317758560180664,1.648511592213068
primary_f2_f4,drop_full_below_2p0m,1p0-1p5,all,1,-0.19629639795462264,,,,0.43054795265197754,1.064305018103599
primary_f2_f4,drop_full_below_2p0m,1p0-1p5,0p25-0p50,1,-0.19629639795462264,,,,0.43054795265197754,1.064305018103599
primary_f2_f4,all_full_withheld,all,all,5,-0.12885874037223374,0.05882518976667238,0.28986989969112387,0.3240844001701991,0.1317758560180664,1.648511592213068
primary_f2_f4,all_full_withheld,all,0p00-0p10,2,-0.06823759462705864,0.018311655818125605,0.37788879268337583,0.534415455681625,0.04839050769805908,1.8616350212904367
primary_f2_f4,all_full_withheld,all,0p10-0p25,1,-0.11522571669780624,,,,0.1317758560180664,1.648511592213068
primary_f2_f4,all_full_withheld,all,0p25-0p50,2,-0.19629639795462264,0.0,0.019257308503859483,0.027233946860960815,0.36466002464294434,1.064305018103599
primary_f2_f4,all_full_withheld,1p5-2p0,all,3,-0.08390030198397451,0.026724245471689216,0.36046516741244505,0.4414778651037026,0.0623173713684082,1.8205209770928898
primary_f2_f4,all_full_withheld,1p5-2p0,0p00-0p10,2,-0.06823759462705864,0.018311655818125605,0.37788879268337583,0.534415455681625,0.04839050769805908,1.8616350212904367
primary_f2_f4,all_full_withheld,1p5-2p0,0p10-0p25,1,-0.11522571669780624,,,,0.1317758560180664,1.648511592213068
primary_f2_f4,all_full_withheld,1p0-1p5,all,2,-0.19629639795462264,0.0,0.019257308503859483,0.027233946860960815,0.36466002464294434,1.064305018103599
primary_f2_f4,all_full_withheld,1p0-1p5,0p25-0p50,2,-0.19629639795462264,0.0,0.019257308503859483,0.027233946860960815,0.36466002464294434,1.064305018103599
sweep29,drop_full_below_1p5m,all,all,15,-0.09116669348285626,0.036630608042150244,0.19054407262232137,0.19723185308023852,0.13185858726501465,1.2406072939723234
sweep29,drop_full_below_1p5m,all,0p00-0p10,5,-0.06366133337906646,0.01935488289830099,0.24696654378870445,0.2761169900398608,0.062467336654663086,1.3970277249409886
sweep29,drop_full_below_1p5m,all,0p10-0p25,9,-0.09476637082143209,0.019155405955953785,0.16183348069537554,0.1716503274340834,0.16680049896240234,1.1511340329694555
sweep29,drop_full_below_1p5m,all,0p25-0p50,1,-0.19629639795462264,,,,0.29877209663391113,1.064305018103599
sweep29,drop_full_below_1p5m,1p0-1p5,all,14,-0.09299933093547001,0.037246019994656446,0.18622744430631216,0.19325735216983606,0.1318415403366089,1.2541904392428984
sweep29,drop_full_below_1p5m,1p0-1p5,0p00-0p10,5,-0.06366133337906646,0.01935488289830099,0.24696654378870445,0.2761169900398608,0.062467336654663086,1.3970277249409886
sweep29,drop_full_below_1p5m,1p0-1p5,0p10-0p25,8,-0.09842344603082817,0.017100525802440966,0.14647877076367927,0.15659239275242498,0.1666271686553955,1.1825523492283985
sweep29,drop_full_below_1p5m,1p0-1p5,0p25-0p50,1,-0.19629639795462264,,,,0.29877209663391113,1.064305018103599
sweep29,drop_full_below_1p5m,0p5-1p0,all,1,-0.0655097691462635,,,,0.22883272171020508,0.9888656627732936
sweep29,drop_full_below_1p5m,0p5-1p0,0p10-0p25,1,-0.0655097691462635,,,,0.22883272171020508,0.9888656627732936
sweep29,drop_full_below_2p0m,all,all,43,-0.04067428127814056,0.04871347627816452,0.16527258673927248,0.1672285434227295,0.20117735862731934,1.648511592213068
sweep29,drop_full_below_2p0m,all,0p00-0p10,12,-0.011372932437843106,0.026506679994150566,0.15427395387761578,0.1611338895961968,0.06269049644470215,1.9025808377996003
sweep29,drop_full_below_2p0m,all,0p10-0p25,15,-0.02895129273974617,0.036027929623254296,0.14688963819780784,0.15204522051684946,0.16656804084777832,1.6247407290736346
sweep29,drop_full_below_2p0m,all,0p25-0p50,13,-0.09063457804690264,0.04328958060536241,0.09973983075933501,0.10381250724210701,0.33341169357299805,1.2139706654873417
