flight,flight_id,frame_id,mono_ns,t_rel_s,feature_ts_ns,topic,phase,commit,source,feature_mode,cert_status,range_z_m,range_norm_m,x_m,y_down_m,gate_age_s,center_x_px,y_top_px,span_px,span_x_range,e_meas,e_reject,level_pitch_rad,level_roll_rad,image_w,image_h,det_confidence,det_cert_status,cohort,setpoint_speed_xy_mps,sweep,fed,source_valid,active_sample,observer_ready,ready_legacy,shadow_owner,shadow_capture,shadow_phase,active_source,hist_n,hist_span_s,hist_gap_s,admission_score,admission_mu,admission_sigma,admission_h_tail_s,admission_vz_vis_mps,admission_e_cross_m,sigma_induced_abort,oracle_e_z,oracle_disarmed,jump_grace_consumed,applied_e_z,transition_id
F2,20260720T071112-cd18c5fb,257,208148706621300,5.2345766,1784531478597809000,feature,commit,True,detector,FULL_QUAD,certified,3.8041822371409286,3.839306429614146,0.28818507394431564,-0.4306050745795632,0.0,353.0,250.5,145.82523787054146,554.7457796339645,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.7788599533037248,baseline,True,True,True,False,False,alt,False,position,FULL_QUAD,1,0.0,inf,,,,,,,False,,False,False,,
F2,20260720T071112-cd18c5fb,261,208148838528000,5.3664833,1784531478729590600,feature,commit,True,tracker,SIDE_PAIR,probation,2.964745855157551,3.3640301993928916,0.3194667342611048,-1.5572161707528092,0.0,351.50206050912334,131.01617332500064,150.52409237979776,446.26567898435775,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,probation,primary_f2_f4,1.5212565831474059,baseline,True,False,False,False,False,alt,False,position,FULL_QUAD,1,0.0,inf,,,,,,,False,,False,False,,
F2,20260720T071112-cd18c5fb,271,208149172092200,5.7000475,1784531479062956400,feature,commit,True,tracker,SIDE_PAIR,none,3.3181669177203057,3.3776162560314447,0.28484121422417696,-0.5629612436337834,0.008064912,377.12654557532505,219.2034432065779,183.31274159036246,608.2622747417519,,not_certified,-0.31070304002823274,0.00025602409079155774,640,360,0.5,none,primary_f2_f4,1.7513400600110276,baseline,True,False,False,False,False,alt,False,position,FULL_QUAD,1,0.0,inf,,,,,,,False,,False,False,,
F2,20260720T071112-cd18c5fb,285,208149636841400,6.1647967,1784531479528186500,feature,commit,True,tracker,SIDE_PAIR,probation,2.772713831703781,3.2726213026419195,0.18149730461986674,-1.7289207403464029,0.0,339.37912102775215,100.12682765648653,150.01058899121375,415.9364349979693,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,probation,primary_f2_f4,1.480409737376281,baseline,True,False,False,False,False,alt,False,position,FULL_QUAD,1,0.0,inf,,,,,,,False,,False,False,,
F2,20260720T071112-cd18c5fb,287,208149706764000,6.2347193,1784531479597761900,feature,commit,True,tracker,SIDE_PAIR,none,2.460693691933111,2.9865716937455233,-0.02065168120570164,-1.6923860506474215,0.0,285.6616431867739,80.86174785285631,187.65672375489817,461.7657163925123,,not_certified,-0.31070304002823274,0.00025602409079155774,640,360,0.5,none,primary_f2_f4,1.4576449273961918,baseline,True,False,False,False,False,alt,False,position,FULL_QUAD,1,0.0,inf,,,,,,,False,,False,False,,
F2,20260720T071112-cd18c5fb,293,208149907642600,6.4355979,1784531479798964900,feature,commit,True,tracker,SIDE_PAIR,none,2.20523791304153,2.747971705364627,0.045657818509048584,-1.6389599153053769,0.0079314,329.15229877402504,56.75649027910756,171.01780253842765,377.1349419627906,,not_certified,-0.31070304002823274,0.00025602409079155774,640,360,0.5,none,primary_f2_f4,1.4117401661357678,baseline,True,False,False,False,False,alt,False,position,FULL_QUAD,1,0.0,inf,,,,,,,False,,False,False,,
F2,20260720T071112-cd18c5fb,298,208150074148800,6.6021041,1784531479965709900,feature,commit,True,detector,FULL_QUAD,certified,2.1837498917296645,2.5972953273331214,0.0818673191405653,-1.4037368591776311,0.0,320.5,61.0,177.55280904564702,387.73092752972946,-0.43836628490830676,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.4666174922855229,baseline,True,True,True,False,False,alt,False,position,FULL_QUAD,1,0.0,inf,,,,,,,False,,False,False,,
F2,20260720T071112-cd18c5fb,298,208150074148800,6.6021041,1784531479965709900,feature_side,commit,True,tracker_parallel,SIDE_PAIR,certified,2.1837498917296645,2.5972953273331214,0.0818673191405653,-1.4037368591776311,0.0,323.0568689973072,62.58471219217461,187.79872875043696,410.10545357573534,-0.45,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,certified,primary_f2_f4,1.4666174922855229,baseline,True,True,False,False,False,alt,False,position,FULL_QUAD,1,0.0,inf,,,,,,,False,,False,False,,
F2,20260720T071112-cd18c5fb,299,208150102418200,6.6303735,1784531479993161000,feature,commit,True,detector,FULL_QUAD,certified,2.1917528421853127,2.585307363582084,0.07066426751786707,-1.3693210742044803,0.0,315.5,67.0,183.273020382161,401.6891633184881,-0.41010841618228855,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.462331340376479,baseline,True,True,True,False,False,alt,False,position,FULL_QUAD,2,0.027451038360595703,0.027451038360595703,,,,,,,False,,False,False,,
F2,20260720T071112-cd18c5fb,299,208150102418200,6.6303735,1784531479993161000,feature_side,commit,True,tracker_parallel,SIDE_PAIR,certified,2.1917528421853127,2.585307363582084,0.07066426751786707,-1.3693210742044803,0.0,320.9213865873805,66.58906528685043,191.45795727697802,419.62852202081075,-0.4233423527831236,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,certified,primary_f2_f4,1.462331340376479,baseline,True,True,False,False,False,alt,False,position,FULL_QUAD,2,0.027451038360595703,0.027451038360595703,,,,,,,False,,False,False,,
