cohort,range_bin,paired_n,paired_sigma_e_m,paired_switch_sigma_v_mps,paired_n_v,maintenance_n,maintenance_sigma_v_mps,release_sigma_v_mps,release_sigma_v_source
primary_f2_f4,all,21,0.04941417964923505,0.509238962985662,18,5,0.28986989969112387,0.509238962985662,paired_switch
primary_f2_f4,3p0-3p5,8,0.0,0.0,7,0,,0.0,paired_switch
primary_f2_f4,2p5-3p0,4,0.0,0.0,3,0,,0.0,paired_switch
primary_f2_f4,2p0-2p5,5,0.020135876231815925,0.7945056145698721,4,0,,0.7945056145698721,paired_switch
primary_f2_f4,1p5-2p0,3,0.026724245471689216,0.45099327484580326,2,3,0.36046516741244505,0.45099327484580326,paired_switch
primary_f2_f4,1p0-1p5,1,,,0,2,0.019257308503859483,0.019257308503859483,maintenance
primary_f2_f4,0p5-1p0,0,,,0,0,,,
primary_f2_f4,lt0p5,0,,,0,0,,,
sweep29,all,189,0.03516889388494549,0.2772193061404701,167,58,0.19526875666241664,0.2772193061404701,paired_switch
sweep29,3p0-3p5,60,0.0,0.0,45,0,,0.0,paired_switch
sweep29,2p5-3p0,45,0.0,0.0,36,0,,0.0,paired_switch
sweep29,2p0-2p5,39,0.011683578378369674,0.3111874831333016,31,0,,0.3111874831333016,paired_switch
sweep29,1p5-2p0,29,0.05658477950377034,0.41211575058999794,21,28,0.14153041924510887,0.41211575058999794,paired_switch
sweep29,1p0-1p5,14,0.037246019994656446,0.6753686617945241,11,28,0.1449994602250409,0.6753686617945241,paired_switch
sweep29,0p5-1p0,1,,,0,2,0.02763968027787904,0.02763968027787904,maintenance
sweep29,lt0p5,0,,,0,0,,,
