build,build_sha,slice,log,pairing,status,returncode,imu_samples,frames,fixes,accepted,coverage_events,closest_fix_m,range_0.0-0.5,range_0.5-1.0,range_1.0-1.5,range_1.5-2.0,range_2.0-3.0,range_3.0-5.0,range_5.0-100.0,error
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260713T203515-phase1e/fixtures_slice.aigprec,fixtures/20260713T203515-phase1e/20260713T202513-ea4b5f0c-flight.jsonl,single-log-dir,ok,0,5300,658,658,642,658,,0,0,0,0,0,0,658,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260714-analysis-slices/phase1e_countdown_and_gate.aigprec,,no-unique-flight-log,skipped,,,,,,,,,,,,,,,no unique flight log
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260714-analysis-slices/phase2a_countdown_future_start.aigprec,,no-unique-flight-log,skipped,,,,,,,,,,,,,,,no unique flight log
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260714-analysis-slices/phase2b_closest_gate_3p97m.aigprec,,no-unique-flight-log,skipped,,,,,,,,,,,,,,,no unique flight log
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260714-analysis-slices/phase2b_countdown_future_start.aigprec,,no-unique-flight-log,skipped,,,,,,,,,,,,,,,no unique flight log
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260714-analysis-slices/phase2c_closest_gate_6p98m.aigprec,,no-unique-flight-log,skipped,,,,,,,,,,,,,,,no unique flight log
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260714-analysis-slices/phase2c_countdown_future_start.aigprec,,no-unique-flight-log,skipped,,,,,,,,,,,,,,,no unique flight log
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260714T111500-analysis-slices/phase1d-race-vision.aigprec,,no-unique-flight-log,skipped,,,,,,,,,,,,,,,no unique flight log
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260714T111500-analysis-slices/phase1e-inflight.aigprec,,no-unique-flight-log,skipped,,,,,,,,,,,,,,,no unique flight log
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260714T111500-analysis-slices/phase2a-controlled-flight.aigprec,,no-unique-flight-log,skipped,,,,,,,,,,,,,,,no unique flight log
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260714T111500-analysis-slices/phase2b-race-legal.aigprec,,no-unique-flight-log,skipped,,,,,,,,,,,,,,,no unique flight log
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260714T203252-phase3a-r2training/r2_f2_slice_start.aigprec,fixtures/20260714T203252-phase3a-r2training/20260714T202447-58cd98ad-flight.jsonl,flight-index-f2,ok,0,1257,111,93,88,93,,0,0,0,0,0,0,93,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260714T203252-phase3a-r2training/r2_f3_slice_start.aigprec,fixtures/20260714T203252-phase3a-r2training/20260714T202743-58cd98ad-flight.jsonl,flight-index-f3,ok,0,2670,416,407,395,407,,0,0,0,0,0,0,407,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260714T212450-phase3b-r2training/20260714T210518-58cd98ad_r2_slice_start.aigprec,fixtures/20260714T212450-phase3b-r2training/20260714T210518-58cd98ad-flight.jsonl,direct-prefix,ok,0,1081,389,355,339,355,,0,0,0,0,0,0,355,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260714T212450-phase3b-r2training/20260714T210844-58cd98ad_r2_slice_start.aigprec,fixtures/20260714T212450-phase3b-r2training/20260714T210844-58cd98ad-flight.jsonl,direct-prefix,ok,0,2528,390,368,361,368,,0,0,0,0,0,0,368,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260714T212450-phase3b-r2training/20260714T211404-58cd98ad_r2_slice_start.aigprec,fixtures/20260714T212450-phase3b-r2training/20260714T211404-58cd98ad-flight.jsonl,direct-prefix,ok,0,2932,391,351,339,351,,0,0,0,0,0,0,351,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260715T052244-phase3c-r2training/20260715T045100-411f3135_r2c_slice_start.aigprec,fixtures/20260715T052244-phase3c-r2training/20260715T045100-411f3135-flight.jsonl,direct-prefix,ok,0,1077,379,356,350,356,,0,0,0,0,0,0,356,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260715T052244-phase3c-r2training/20260715T045458-411f3135_r2c_slice_start.aigprec,fixtures/20260715T052244-phase3c-r2training/20260715T045458-411f3135-flight.jsonl,direct-prefix,ok,0,3208,383,368,353,368,,0,0,0,0,0,0,368,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260715T052244-phase3c-r2training/20260715T051458-6092dbc0_r2c_slice_start.aigprec,fixtures/20260715T052244-phase3c-r2training/20260715T051458-6092dbc0-flight.jsonl,direct-prefix,ok,0,2865,372,335,326,335,,0,0,0,0,0,0,335,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260715T135600-phase3d-r2training/20260715T051458-6092dbc0_r2d_slice_start.aigprec,,no-unique-flight-log,skipped,,,,,,,,,,,,,,,no unique flight log
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260715T135600-phase3d-r2training/20260715T121747-22978559_r2d_slice_start.aigprec,fixtures/20260715T135600-phase3d-r2training/20260715T121747-22978559-flight.jsonl,direct-prefix,ok,0,2151,326,305,294,305,,0,0,0,0,0,0,305,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260715T135600-phase3d-r2training/20260715T122040-22978559_r2d_slice_start.aigprec,fixtures/20260715T135600-phase3d-r2training/20260715T122040-22978559-flight.jsonl,direct-prefix,ok,0,3645,322,315,298,315,,0,0,0,0,0,0,315,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260715T135600-phase3d-r2training/20260715T122352-22978559_r2d_slice_start.aigprec,fixtures/20260715T135600-phase3d-r2training/20260715T122352-22978559-flight.jsonl,direct-prefix,ok,0,3408,323,298,286,298,,0,0,0,0,0,0,298,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260715T190627-phase3e-r2training-slow/20260715T183716-8e6cf1f5_r2e_slice_start.aigprec,fixtures/20260715T190627-phase3e-r2training-slow/20260715T183716-8e6cf1f5-flight.jsonl,direct-prefix,ok,0,1299,329,292,279,292,,0,0,0,0,0,0,292,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260715T190627-phase3e-r2training-slow/20260715T184758-8e6cf1f5_r2e_slice_start.aigprec,fixtures/20260715T190627-phase3e-r2training-slow/20260715T184758-8e6cf1f5-flight.jsonl,direct-prefix,ok,0,5344,299,292,282,292,,0,0,0,0,0,0,292,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260715T190627-phase3e-r2training-slow/20260715T185046-8e6cf1f5_r2e_slice_start.aigprec,fixtures/20260715T190627-phase3e-r2training-slow/20260715T185046-8e6cf1f5-flight.jsonl,direct-prefix,ok,0,3958,286,271,253,271,,0,0,0,0,0,0,271,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260715T190627-phase3e-r2training-slow/20260715T185843-7f28e2fb_r2e_slice_start.aigprec,fixtures/20260715T190627-phase3e-r2training-slow/20260715T185843-7f28e2fb-flight.jsonl,direct-prefix,ok,0,2702,332,308,295,308,,0,0,0,0,0,0,308,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260715T200734-phase3f-r2training-slow/20260715T195033-8edfeec4_r2f_slice_start.aigprec,fixtures/20260715T200734-phase3f-r2training-slow/20260715T195033-8edfeec4-flight.jsonl,direct-prefix,ok,0,1576,306,272,270,272,,0,0,0,0,0,0,272,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260715T200734-phase3f-r2training-slow/20260715T200011-8edfeec4_r2f_slice_start.aigprec,fixtures/20260715T200734-phase3f-r2training-slow/20260715T200011-8edfeec4-flight.jsonl,direct-prefix,ok,0,3166,300,276,267,276,,0,0,0,0,0,0,276,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260715T200734-phase3f-r2training-slow/20260715T200142-8edfeec4_r2f_slice_start.aigprec,fixtures/20260715T200734-phase3f-r2training-slow/20260715T200142-8edfeec4-flight.jsonl,direct-prefix,ok,0,3101,289,251,237,251,,0,0,0,0,0,0,251,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260715T211420-phase3g-r2training/20260715T203300-8edfeec4_r2g_slice_start.aigprec,fixtures/20260715T211420-phase3g-r2training/20260715T203300-8edfeec4-flight.jsonl,direct-prefix,ok,0,2759,346,333,320,333,,0,0,0,0,0,0,333,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260715T211420-phase3g-r2training/20260715T204925-8edfeec4_r2g_slice_start.aigprec,fixtures/20260715T211420-phase3g-r2training/20260715T204925-8edfeec4-flight.jsonl,direct-prefix,ok,0,4063,305,268,267,268,,0,0,0,0,0,0,268,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260715T211420-phase3g-r2training/20260715T205124-8edfeec4_r2g_slice_start.aigprec,fixtures/20260715T211420-phase3g-r2training/20260715T205124-8edfeec4-flight.jsonl,direct-prefix,ok,0,2733,329,304,295,304,,0,0,0,0,0,0,304,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260715T211420-phase3g-r2training/20260715T205845-fc86a160_r2g_slice_start.aigprec,fixtures/20260715T211420-phase3g-r2training/20260715T205845-fc86a160-flight.jsonl,direct-prefix,ok,0,3251,123,106,102,106,,0,0,0,0,0,0,106,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260716T023148-phase3h-r2training/20260715T213138-8edfeec4_r2h_slice_start.aigprec,fixtures/20260716T023148-phase3h-r2training/20260715T213138-8edfeec4-flight.jsonl,direct-prefix,ok,0,1079,312,298,283,298,,0,0,0,0,0,0,298,
fd9d419,fd9d41927be014804f82e5c6fe62c035247e7255,fixtures/20260716T023148-phase3h-r2training/20260715T213225-8edfeec4_r2h_slice_start.aigprec,fixtures/20260716T023148-phase3h-r2training/20260715T213225-8edfeec4-flight.jsonl,direct-prefix,ok,0,3321,317,302,289,302,,0,0,0,0,0,0,302,
