diagnostic_only,computation_commit,checkpoint_evidence_commit,report_generator_commit,criterion_commit,creation_time_utc,source_checkpoint_dir,input_manifest_path,input_manifest_sha256,observation_unit,cluster_id,cut_id,flight_id,era,recording_regime,owner_state,command_regimes,n_rows,age_min_s,age_max_s,auth_at_latch_median,auth_ge_0p999,b0_before_no_legacy_mps,b1_before_no_legacy_mps2,abs_b1_before_no_legacy_mps2,large_b1_before,large_b1_threshold_mps2,before_formula,table_role,derived_artifact_role,excluded_stream_columns,provenance_source_path,provenance_source_evidence_commit,supersede_artifact_generator_commit,criterion_ancestor_required
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,cut,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut01,20260717T095722-a560c093,phase5c,archive,legacy_common_arm,authority_limited,8,0.0,0.27608418464660645,0.5288855234781902,False,0.0,0.0,0.0,False,0.35,r_v_before = v_ref_oracle_mps - v_latch_true_mps,FILTER_ONLY,RETAINED_AS_DIAGNOSTIC_PROVENANCE_STREAM_FREE_BEFORE_ONLY,legacy_activity_rms_mps;near_zero_legacy_activity;plant_signal;after_formula;b0_after_recorded_legacy_mps;b1_after_recorded_legacy_mps2;abs_b1_after_recorded_legacy_mps2;large_b1_after;prediction_filter_refutation_cut,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/intervention_cut_b1_before_after.csv,d456b52,0183dbaf98602b24ac511d13e561b34bb481dbfe,9a85c73
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,cut,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut02,20260717T095722-a560c093,phase5c,archive,legacy_common_arm,authority_limited,7,0.0,0.2420649528503418,0.7178056240081787,False,0.0,0.0,0.0,False,0.35,r_v_before = v_ref_oracle_mps - v_latch_true_mps,FILTER_ONLY,RETAINED_AS_DIAGNOSTIC_PROVENANCE_STREAM_FREE_BEFORE_ONLY,legacy_activity_rms_mps;near_zero_legacy_activity;plant_signal;after_formula;b0_after_recorded_legacy_mps;b1_after_recorded_legacy_mps2;abs_b1_after_recorded_legacy_mps2;large_b1_after;prediction_filter_refutation_cut,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/intervention_cut_b1_before_after.csv,d456b52,0183dbaf98602b24ac511d13e561b34bb481dbfe,9a85c73
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,cut,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut03,20260717T095722-a560c093,phase5c,archive,legacy_common_arm,authority_limited,6,0.0,0.20727109909057617,0.9309544563293457,False,0.0,0.0,0.0,False,0.35,r_v_before = v_ref_oracle_mps - v_latch_true_mps,FILTER_ONLY,RETAINED_AS_DIAGNOSTIC_PROVENANCE_STREAM_FREE_BEFORE_ONLY,legacy_activity_rms_mps;near_zero_legacy_activity;plant_signal;after_formula;b0_after_recorded_legacy_mps;b1_after_recorded_legacy_mps2;abs_b1_after_recorded_legacy_mps2;large_b1_after;prediction_filter_refutation_cut,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/intervention_cut_b1_before_after.csv,d456b52,0183dbaf98602b24ac511d13e561b34bb481dbfe,9a85c73
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,cut,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut04,20260717T095722-a560c093,phase5c,archive,legacy_common_arm,authority_limited,5,0.0,0.172713041305542,0.3376293182373047,False,0.0,0.0,0.0,False,0.35,r_v_before = v_ref_oracle_mps - v_latch_true_mps,FILTER_ONLY,RETAINED_AS_DIAGNOSTIC_PROVENANCE_STREAM_FREE_BEFORE_ONLY,legacy_activity_rms_mps;near_zero_legacy_activity;plant_signal;after_formula;b0_after_recorded_legacy_mps;b1_after_recorded_legacy_mps2;abs_b1_after_recorded_legacy_mps2;large_b1_after;prediction_filter_refutation_cut,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/intervention_cut_b1_before_after.csv,d456b52,0183dbaf98602b24ac511d13e561b34bb481dbfe,9a85c73
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,cut,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut05,20260717T095722-a560c093,phase5c,archive,legacy_common_arm,authority_limited,4,0.0,0.10330963134765625,0.5558421611785889,False,0.0,0.0,0.0,False,0.35,r_v_before = v_ref_oracle_mps - v_latch_true_mps,FILTER_ONLY,RETAINED_AS_DIAGNOSTIC_PROVENANCE_STREAM_FREE_BEFORE_ONLY,legacy_activity_rms_mps;near_zero_legacy_activity;plant_signal;after_formula;b0_after_recorded_legacy_mps;b1_after_recorded_legacy_mps2;abs_b1_after_recorded_legacy_mps2;large_b1_after;prediction_filter_refutation_cut,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/intervention_cut_b1_before_after.csv,d456b52,0183dbaf98602b24ac511d13e561b34bb481dbfe,9a85c73
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,cut,20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1:cut01,20260717T101837-7223cc0c,phase5d,vertical,legacy_common_arm,down;flat_no_ff,5,0.0,0.4961061477661133,1.0,True,0.0,0.0,0.0,False,0.35,r_v_before = v_ref_oracle_mps - v_latch_true_mps,FILTER_ONLY,RETAINED_AS_DIAGNOSTIC_PROVENANCE_STREAM_FREE_BEFORE_ONLY,legacy_activity_rms_mps;near_zero_legacy_activity;plant_signal;after_formula;b0_after_recorded_legacy_mps;b1_after_recorded_legacy_mps2;abs_b1_after_recorded_legacy_mps2;large_b1_after;prediction_filter_refutation_cut,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/intervention_cut_b1_before_after.csv,d456b52,0183dbaf98602b24ac511d13e561b34bb481dbfe,9a85c73
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,cut,20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1:cut02,20260717T101837-7223cc0c,phase5d,vertical,legacy_common_arm,down,4,0.09605050086975098,0.267667293548584,1.0,True,0.0,0.0,0.0,False,0.35,r_v_before = v_ref_oracle_mps - v_latch_true_mps,FILTER_ONLY,RETAINED_AS_DIAGNOSTIC_PROVENANCE_STREAM_FREE_BEFORE_ONLY,legacy_activity_rms_mps;near_zero_legacy_activity;plant_signal;after_formula;b0_after_recorded_legacy_mps;b1_after_recorded_legacy_mps2;abs_b1_after_recorded_legacy_mps2;large_b1_after;prediction_filter_refutation_cut,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/intervention_cut_b1_before_after.csv,d456b52,0183dbaf98602b24ac511d13e561b34bb481dbfe,9a85c73
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,cut,20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1:cut03,20260717T101837-7223cc0c,phase5d,vertical,legacy_common_arm,down;flat_no_ff,4,0.0,0.171616792678833,1.0,True,0.0,0.0,0.0,False,0.35,r_v_before = v_ref_oracle_mps - v_latch_true_mps,FILTER_ONLY,RETAINED_AS_DIAGNOSTIC_PROVENANCE_STREAM_FREE_BEFORE_ONLY,legacy_activity_rms_mps;near_zero_legacy_activity;plant_signal;after_formula;b0_after_recorded_legacy_mps;b1_after_recorded_legacy_mps2;abs_b1_after_recorded_legacy_mps2;large_b1_after;prediction_filter_refutation_cut,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/intervention_cut_b1_before_after.csv,d456b52,0183dbaf98602b24ac511d13e561b34bb481dbfe,9a85c73
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,cut,20260717T102007-7223cc0c:A1,20260717T102007-7223cc0c:A1:cut01,20260717T102007-7223cc0c,phase5d,vertical,legacy_common_arm,authority_limited,6,0.0981755256652832,0.4650437831878662,0.6166841189066569,False,0.0,0.0,0.0,False,0.35,r_v_before = v_ref_oracle_mps - v_latch_true_mps,FILTER_ONLY,RETAINED_AS_DIAGNOSTIC_PROVENANCE_STREAM_FREE_BEFORE_ONLY,legacy_activity_rms_mps;near_zero_legacy_activity;plant_signal;after_formula;b0_after_recorded_legacy_mps;b1_after_recorded_legacy_mps2;abs_b1_after_recorded_legacy_mps2;large_b1_after;prediction_filter_refutation_cut,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/intervention_cut_b1_before_after.csv,d456b52,0183dbaf98602b24ac511d13e561b34bb481dbfe,9a85c73
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,cut,20260717T102007-7223cc0c:A1,20260717T102007-7223cc0c:A1:cut02,20260717T102007-7223cc0c,phase5d,vertical,legacy_common_arm,down;flat_no_ff,5,0.0,0.33359694480895996,1.0,True,0.0,0.0,0.0,False,0.35,r_v_before = v_ref_oracle_mps - v_latch_true_mps,FILTER_ONLY,RETAINED_AS_DIAGNOSTIC_PROVENANCE_STREAM_FREE_BEFORE_ONLY,legacy_activity_rms_mps;near_zero_legacy_activity;plant_signal;after_formula;b0_after_recorded_legacy_mps;b1_after_recorded_legacy_mps2;abs_b1_after_recorded_legacy_mps2;large_b1_after;prediction_filter_refutation_cut,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/intervention_cut_b1_before_after.csv,d456b52,0183dbaf98602b24ac511d13e561b34bb481dbfe,9a85c73
