flight_id,cohort,source_class,term_status_rows,term_status_owner_term_rows,shadow_owner_term_rows,shadow_up_range_mps,term_status_owner_values,path
20260713T190311-db4c58dd,fixtures/20260713T190414-phase1,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260713T190414-phase1\20260713T190311-db4c58dd-flight.jsonl
20260713T190311-db4c58dd,fixtures/20260713T193402-phase1b,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260713T193402-phase1b\20260713T190311-db4c58dd-flight.jsonl
20260713T190311-db4c58dd,fixtures/20260713T195441-phase1c,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260713T195441-phase1c\20260713T190311-db4c58dd-flight.jsonl
20260713T190311-db4c58dd,fixtures/20260713T201500-phase1d,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260713T201500-phase1d\20260713T190311-db4c58dd-flight.jsonl
20260713T202513-ea4b5f0c,fixtures/20260713T203515-phase1e,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260713T203515-phase1e\20260713T202513-ea4b5f0c-flight.jsonl
20260714T041536-88e6e576,fixtures/20260714T042010-phase1f,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T042010-phase1f\20260714T041536-88e6e576-flight.jsonl
20260714T045635-b9a568ab,fixtures/20260714T050328-phase2a,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T050328-phase2a\20260714T045635-b9a568ab-flight.jsonl
20260714T072732-8ff375f3,fixtures/20260714T074233-phase2b,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T074233-phase2b\20260714T072732-8ff375f3-flight.jsonl
20260714T081945-bb5494d6,fixtures/20260714T083241-phase2c,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T083241-phase2c\20260714T081945-bb5494d6-flight.jsonl
20260714T081945-bb5494d6,fixtures/20260714T092428-phase2d,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260714T092428-phase2d\20260714T081945-bb5494d6-flight.jsonl
