flight_id,cohort,shadow_owner_term_rows,shadow_up_range_mps,term_status_owner_term_rows,exclusion_reason,path
20260717T142546-7223cc0c,fixtures/20260717T143144-phase5e-shadow,8,0.145771..0.947372,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T143144-phase5e-shadow\20260717T142546-7223cc0c-flight.jsonl
20260717T151254-e179e097,fixtures/20260717T152216-phase5f-terminal,63,-1.260357..-0.281056,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T152216-phase5f-terminal\20260717T151254-e179e097-flight.jsonl
20260717T153748-d946830d,fixtures/20260717T154501-phase6a-dash,121,-1.185619..0.936194,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T154501-phase6a-dash\20260717T153748-d946830d-flight.jsonl
20260717T153903-d946830d,fixtures/20260717T154501-phase6a-dash,107,-1.692720..-0.148094,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260717T154501-phase6a-dash\20260717T153903-d946830d-flight.jsonl
20260719T074950-fab49fbf,fixtures/20260719T080320-phase6b-aligned-dash,95,-1.139958..0.126017,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T080320-phase6b-aligned-dash\20260719T074950-fab49fbf-flight.jsonl
20260719T075333-fab49fbf,fixtures/20260719T080320-phase6b-aligned-dash,60,-0.583452..1.509018,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T080320-phase6b-aligned-dash\20260719T075333-fab49fbf-flight.jsonl
20260719T080255-fab49fbf,fixtures/20260719T080320-phase6b-aligned-dash,179,-1.298135..1.026376,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T080320-phase6b-aligned-dash\20260719T080255-fab49fbf-flight.jsonl
20260719T121141-f186c83e,fixtures/20260719T121704-phase6c-true-vertical,186,-0.558351..2.271437,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T121704-phase6c-true-vertical\20260719T121141-f186c83e-flight.jsonl
20260719T121258-f186c83e,fixtures/20260719T121704-phase6c-true-vertical,59,0.506228..1.085781,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T121704-phase6c-true-vertical\20260719T121258-f186c83e-flight.jsonl
20260719T121637-f186c83e,fixtures/20260719T121704-phase6c-true-vertical,121,-0.901830..2.732719,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T121704-phase6c-true-vertical\20260719T121637-f186c83e-flight.jsonl
20260719T134326-2477345e,fixtures/20260719T134835-phase6d-fiction-guards,253,-0.932562..2.126647,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T134835-phase6d-fiction-guards\20260719T134326-2477345e-flight.jsonl
20260719T134446-2477345e,fixtures/20260719T134835-phase6d-fiction-guards,113,-0.929168..2.174250,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T134835-phase6d-fiction-guards\20260719T134446-2477345e-flight.jsonl
20260719T134714-2477345e,fixtures/20260719T134835-phase6d-fiction-guards,230,-1.272316..1.233753,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T134835-phase6d-fiction-guards\20260719T134714-2477345e-flight.jsonl
20260719T142919-a76247fb,fixtures/20260719T143556-phase6e-aim-tfv1,170,-1.757696..1.698443,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T143556-phase6e-aim-tfv1\20260719T142919-a76247fb-flight.jsonl
20260719T143404-a76247fb,fixtures/20260719T143556-phase6e-aim-tfv1,217,-0.797987..2.498767,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T143556-phase6e-aim-tfv1\20260719T143404-a76247fb-flight.jsonl
20260719T143525-a76247fb,fixtures/20260719T143556-phase6e-aim-tfv1,172,-1.004224..0.183845,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T143556-phase6e-aim-tfv1\20260719T143525-a76247fb-flight.jsonl
20260719T144540-a76247fb,fixtures/20260719T145242-phase6f-repeat,151,-0.966107..0.695886,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T145242-phase6f-repeat\20260719T144540-a76247fb-flight.jsonl
20260719T144941-a76247fb,fixtures/20260719T145242-phase6f-repeat,320,-1.417031..1.931164,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T145242-phase6f-repeat\20260719T144941-a76247fb-flight.jsonl
20260719T145122-a76247fb,fixtures/20260719T145242-phase6f-repeat,98,-0.986421..0.007964,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T145242-phase6f-repeat\20260719T145122-a76247fb-flight.jsonl
20260719T150627-486b0765,fixtures/20260719T151340-phase6g-terminal-live,279,-1.072090..0.162589,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T151340-phase6g-terminal-live\20260719T150627-486b0765-flight.jsonl
20260719T151000-486b0765,fixtures/20260719T151340-phase6g-terminal-live,273,-1.063273..1.251574,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T151340-phase6g-terminal-live\20260719T151000-486b0765-flight.jsonl
20260719T151227-49448448,fixtures/20260719T151340-phase6g-terminal-live,248,-1.302650..2.714211,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T151340-phase6g-terminal-live\20260719T151227-49448448-flight.jsonl
20260719T160537-f170ead6,fixtures/20260719T164956-phase6h-first-enable,291,-0.264815..1.072526,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T164956-phase6h-first-enable\20260719T160537-f170ead6-flight.jsonl
20260719T163649-f170ead6,fixtures/20260719T164956-phase6h-first-enable,331,-0.856874..1.455018,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T164956-phase6h-first-enable\20260719T163649-f170ead6-flight.jsonl
20260719T173050-f170ead6,fixtures/20260719T173811-phase6i-rate-ab,111,-0.371643..0.732510,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T173811-phase6i-rate-ab\20260719T173050-f170ead6-flight.jsonl
20260719T173427-50f9dcc8,fixtures/20260719T173811-phase6i-rate-ab,292,-1.053686..1.308842,0,shadow TERM rows are unexecuted; R26-3 requires physical term_status owner=term,C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260719T173811-phase6i-rate-ab\20260719T173427-50f9dcc8-flight.jsonl
