fixture_dir,config,run,flight_id,build_anchor,exact_head_flown,code_tree_identical_to_anchor,command,terminal_enable_expected,terminal_enable_actual,commit_speed_expected,commit_speed_actual,param_deviation,gates_passed,finished,wall_time_s,abort_class,collision_abort,clip_budget_abort,abort_phase,abort_reason,failed_gate,env_hits,gate_clips,closest_detection_range_m,closest_detection_phase,closest_detection_mono_ns,closest_detection_x_m,closest_detection_y_m,closest_detection_z_m
20260721T193344-raceprep-r1-alt-A-run1,A,1,20260721T193327-35277268,935e9739b962c96402fbf5c099907e702feedad5,667f3132456333705c7c35feae8bb7ec16db1202,True,scripts\fly_once.py --max-duration 300 --patch planner.terminal.enable=true,True,True,1.800000,2.500000,planner.commit.speed_mps=2.5 expected 1.8; command_missing_commit_speed_patch,0,False,7.995989,collision,True,False,search,environment collision (impulse=2.7),1,2,0,4.331749,align,339084196593400,-0.461006,-0.259468,4.299325
20260721T193502-raceprep-r1-alt-B-run2,B,2,20260721T193439-0308865a,935e9739b962c96402fbf5c099907e702feedad5,423085c2c06713ee683f7b49f6b561fb1a82cddb,True,scripts\fly_once.py --max-duration 300 --patch planner.terminal.enable=false,False,False,1.800000,2.500000,planner.commit.speed_mps=2.5 expected 1.8; command_missing_commit_speed_patch,1,False,13.899989,collision,True,False,hover,environment collision (impulse=4.1),2,1,0,0.645982,commit,339158641582400,-0.003830,-0.194330,0.616047
20260721T193624-raceprep-r1-alt-A-run3,A,3,20260721T193559-35277268,935e9739b962c96402fbf5c099907e702feedad5,1b55977c7d1a55e6a62001268b22b72d385c3175,True,scripts\fly_once.py --max-duration 300 --patch planner.terminal.enable=true,True,True,1.800000,2.500000,planner.commit.speed_mps=2.5 expected 1.8; command_missing_commit_speed_patch,0,False,14.828013,collision,True,False,recover,environment collision (impulse=1.9),1,12,0,3.587440,commit,339236947794000,0.229915,-0.204176,3.574237
20260721T193741-raceprep-r1-alt-B-run4,B,4,20260721T193718-0308865a,935e9739b962c96402fbf5c099907e702feedad5,4606de8e7b0982c8b7c00364e98b51400d638249,True,scripts\fly_once.py --max-duration 300 --patch planner.terminal.enable=false,False,False,1.800000,2.500000,planner.commit.speed_mps=2.5 expected 1.8; command_missing_commit_speed_patch,0,False,13.839983,collision,True,False,hover,environment collision (impulse=3.4),1,15,0,1.737400,commit,339317273994300,-0.601095,-0.996516,1.290039
20260721T193902-raceprep-r1-alt-A-run5,A,5,20260721T193836-35277268,935e9739b962c96402fbf5c099907e702feedad5,9d314913bcfc74a6969d6d198749e1df4fddb548,True,scripts\fly_once.py --max-duration 300 --patch planner.terminal.enable=true,True,True,1.800000,2.500000,planner.commit.speed_mps=2.5 expected 1.8; command_missing_commit_speed_patch,1,False,15.747987,collision,True,False,search,environment collision (impulse=4.8),2,32,0,0.961678,commit,339395710664600,0.007920,-0.509662,0.815479
20260721T194024-raceprep-r1-alt-B-run6,B,6,20260721T193956-0308865a,935e9739b962c96402fbf5c099907e702feedad5,5b68c5ad23e40e956bb6b065d41c5fe851ffa00c,True,scripts\fly_once.py --max-duration 300 --patch planner.terminal.enable=false,False,False,1.800000,2.500000,planner.commit.speed_mps=2.5 expected 1.8; command_missing_commit_speed_patch,0,False,18.371989,collision,True,False,recover,environment collision (impulse=2.0),1,53,0,1.072475,commit,339481207250300,-0.240657,-0.588768,0.863503
20260721T194140-raceprep-r1-alt-A-run7,A,7,20260721T194118-35277268,935e9739b962c96402fbf5c099907e702feedad5,6a69545d6240137ac7d56ff86b9ca0f8df318e02,True,scripts\fly_once.py --max-duration 300 --patch planner.terminal.enable=true,True,True,1.800000,2.500000,planner.commit.speed_mps=2.5 expected 1.8; command_missing_commit_speed_patch,0,False,12.128129,collision,True,False,recover,environment collision (impulse=1.4),1,2,0,2.461235,commit,339560217066500,0.457596,-0.326752,2.396146
20260721T194254-raceprep-r1-alt-B-run8,B,8,20260721T194234-0308865a,935e9739b962c96402fbf5c099907e702feedad5,d6104a92aa3cedbbfa2719a02e5fb414fd18c34e,True,scripts\fly_once.py --max-duration 300 --patch planner.terminal.enable=false,False,False,1.800000,2.500000,planner.commit.speed_mps=2.5 expected 1.8; command_missing_commit_speed_patch,0,False,10.115996,collision,True,False,search,environment collision (impulse=1.5),1,2,0,2.010357,commit,339634129581200,0.729123,-1.173956,1.460049
20260721T194415-raceprep-r1-alt-A-run9,A,9,20260721T194348-35277268,935e9739b962c96402fbf5c099907e702feedad5,b68de08ce3dea2a0d078615c5e9b838c9a1abc18,True,scripts\fly_once.py --max-duration 300 --patch planner.terminal.enable=true,True,True,1.800000,2.500000,planner.commit.speed_mps=2.5 expected 1.8; command_missing_commit_speed_patch,0,False,17.092007,collision,True,False,approach,environment collision (impulse=6.4),1,1,0,2.402509,approach,339717664438400,-1.053773,-1.499480,1.553439
20260721T194532-raceprep-r1-alt-B-run10,B,10,20260721T194509-0308865a,935e9739b962c96402fbf5c099907e702feedad5,0878d09fb7ce69c14125d38ed3dda6cef3277c1b,True,scripts\fly_once.py --max-duration 300 --patch planner.terminal.enable=false,False,False,1.800000,2.500000,planner.commit.speed_mps=2.5 expected 1.8; command_missing_commit_speed_patch,1,False,13.455984,collision,True,False,recover,environment collision (impulse=2.0),2,81,3,0.824525,commit,339789773829200,-0.237454,-0.553387,0.563222
