group,packet,fixture_dir,config,run,flight_id,exact_head_flown,anchor_or_build,command,expected_count,expected_speed_mps,expected_terminal,expected_vz_cap_mps,commit_speed_actual,terminal_enable_actual,vz_cap_actual,param_integrity,gates_passed,passed_at_least_one_gate,finished,wall_time_s,abort_class,abort_phase,abort_reason,failed_gate,env_hits,gate_clips,closest_range_m,closest_x_m,closest_camera_ty_m,closest_z_m,closest_phase,closest_cert_status,commit_entry_count,commit_entry_ty_list_m,commit_entry_age_list_s,first_commit_entry_ty_m,last_commit_entry_ty_m,approach_phase_duration_s,approach_phase_entries,commit_phase_duration_s,align_phase_duration_s,retreat_phase_duration_s
R1c-old-no-vz-cap,R1c,20260722T050003-raceprep-r1c-A-run1,A,1,20260722T045939-25254d82,46e9a644ef4e24a5229a74a49b0ba33b73c1bb80,,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=true,6,1.800000,True,ABSENT,1.800000,True,ABSENT,OK,0,False,False,14.732014,clip_budget,recover,gate clip budget exceeded (11),1,0,11,0.645658,-0.114700,-0.177282,0.610155,retreat,none,3,-2.675141;-0.559843;-1.467505,0.007762;0.037338;0.007965,-2.675141,-1.467505,0.079694,1,2.056015,1.062655,0.359803
R1c-old-no-vz-cap,R1c,20260722T050155-raceprep-r1c-B-run2,B,2,20260722T050128-d3d00a31,46e9a644ef4e24a5229a74a49b0ba33b73c1bb80,,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false,6,1.800000,False,ABSENT,1.800000,False,ABSENT,OK,0,False,False,17.520019,collision,hover,environment collision (impulse=6.3),1,29,0,0.751499,0.182620,-0.295649,0.666328,commit,certified,2,-3.231583;-2.880181,0.017811;0.310917,-3.231583,-2.880181,0.557139,2,2.499501,1.279666,2.019995
R1c-old-no-vz-cap,R1c,20260722T050315-raceprep-r1c-A-run3,A,3,20260722T050252-25254d82,46e9a644ef4e24a5229a74a49b0ba33b73c1bb80,,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=true,6,1.800000,True,ABSENT,1.800000,True,ABSENT,OK,0,False,False,13.268088,collision,recover,environment collision (impulse=1.7),1,2,0,2.292505,-0.612028,-0.450149,2.162953,commit,none,1,-2.020903,0.004939,-2.020903,-2.020903,0.099555,1,2.519936,0.440106,0.000000
R1c-old-no-vz-cap,R1c,20260722T050626-raceprep-r1c-B-run4,B,4,20260722T050413-d3d00a31,46e9a644ef4e24a5229a74a49b0ba33b73c1bb80,,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false,6,1.800000,False,ABSENT,1.800000,False,ABSENT,OK,0,False,False,120.000257,timeout,hover,flight timeout,1,18551,0,1.919447,0.413333,-1.342648,1.307949,align,none,2,-4.431064;-1.491950,0.022957;0.503156,-4.431064,-1.491950,0.279674,3,0.899540,0.740342,0.000000
R1c-old-no-vz-cap,R1c,20260722T050749-raceprep-r1c-A-run5,A,5,20260722T050725-25254d82,46e9a644ef4e24a5229a74a49b0ba33b73c1bb80,,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=true,6,1.800000,True,ABSENT,1.800000,True,ABSENT,OK,1,True,False,14.016011,collision,search,environment collision (impulse=1.1),2,2,0,1.040775,0.031583,-0.387823,0.965302,commit,probation,3,-1.190339;-3.045765;-0.197964,0.006287;0.021722;0.001317,-1.190339,-0.197964,0.480034,2,4.860753,0.000000,0.000000
R1c-old-no-vz-cap,R1c,20260722T050908-raceprep-r1c-B-run6,B,6,20260722T050847-d3d00a31,46e9a644ef4e24a5229a74a49b0ba33b73c1bb80,,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false,6,1.800000,False,ABSENT,1.800000,False,ABSENT,OK,0,False,False,11.828010,collision,recover,environment collision (impulse=1.3),1,5,0,0.796843,0.185169,-0.427201,0.646660,recover,certified,2,-2.489428;-0.373760,0.022019;0.006831,-2.489428,-0.373760,0.520222,2,0.262512,0.839920,0.000000
R1b-B-new-cap0.35,R1b-B,20260722T035431-raceprep-r1b-B-run2,B,2,20260722T035407-af44e079,ea7af544b1d0b061cc3793e9858ce32894165073,e8f46a9,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false,5,1.800000,False,0.350000,1.800000,False,0.350000,OK,0,False,False,14.343992,collision,recover,environment collision (impulse=2.7),1,2,0,1.211627,0.025257,-0.927672,0.778991,align,none,3,-2.132406;-0.231888;-2.049884,0.024870;0.050331;0.023471,-2.132406,-2.049884,0.239621,2,0.320177,2.939145,2.019875
R1b-B-new-cap0.35,R1b-B,20260722T035702-raceprep-r1b-B-run4,B,4,20260722T035636-af44e079,71fea27c012d21ee84191ab703d9db4ed27e43ed,e8f46a9,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false,5,1.800000,False,0.350000,1.800000,False,0.350000,OK,0,False,False,15.995997,collision,approach,environment collision (impulse=8.8),1,17,0,1.486553,-0.646632,-1.090290,0.776516,align,none,2,-3.483094;-4.726794,0.026674;0.027198,-3.483094,-4.726794,0.642313,3,1.740129,0.679880,2.020036
R1b-B-new-cap0.35,R1b-B,20260722T035929-raceprep-r1b-B-run6,B,6,20260722T035907-af44e079,07ef0e90b8346f3c443a3a1932e70f830a62b783,e8f46a9,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false,5,1.800000,False,0.350000,1.800000,False,0.350000,OK,0,False,False,12.275985,collision,recover,environment collision (impulse=4.2),1,19,6,0.998778,0.292578,-0.507755,0.808790,retreat,none,1,-0.866969,0.012791,-0.866969,-0.866969,0.899970,1,2.359876,0.000000,0.059953
R1b-B-new-cap0.35,R1b-B,20260722T040157-raceprep-r1b-B-run8,B,8,20260722T040136-af44e079,0fa529c3d36f863ff27783d304644367b2a333bc,e8f46a9,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false,5,1.800000,False,0.350000,1.800000,False,0.350000,OK,0,False,False,11.603994,collision,search,environment collision (impulse=8.6),1,1,0,2.070090,-0.836054,-0.531752,1.817561,commit,none,1,-2.912034,0.027135,-2.912034,-2.912034,0.000000,0,3.320051,1.039877,1.999848
