group,packet,config,run,fixture_dir,flight_id,entry_index,commit_entry_mono_ns,detection_mono_ns,detection_age_s,commit_entry_range_m,commit_entry_x_m,commit_entry_camera_ty_m,commit_entry_z_m,commit_entry_detection_phase,commit_entry_v_body_x,commit_entry_v_body_y,commit_entry_v_body_z
R1b-B-new-cap0.35-blend0.6,R1b-B,B,2,20260722T035431-raceprep-r1b-B-run2,20260722T035407-af44e079,1,369126060877900,369126036007900,0.024870,12.622262,5.345822,-2.132406,11.233723,align,1.764793,-0.079982,0.063544
R1b-B-new-cap0.35-blend0.6,R1b-B,B,2,20260722T035431-raceprep-r1b-B-run2,20260722T035407-af44e079,2,369127620837300,369127570506800,0.050331,20.812686,-0.014211,-0.231888,20.811389,align,1.505396,-0.174781,0.350000
R1b-B-new-cap0.35-blend0.6,R1b-B,B,2,20260722T035431-raceprep-r1b-B-run2,20260722T035407-af44e079,3,369131120921100,369131097449700,0.023471,3.085099,0.737083,-2.049884,2.184610,align,1.119426,0.738867,-0.350000
R1b-B-new-cap0.35-blend0.6,R1b-B,B,4,20260722T035702-raceprep-r1b-B-run4,20260722T035636-af44e079,1,369273578422200,369273551748400,0.026674,13.913107,6.152040,-3.483094,11.983113,align,1.775859,0.121343,0.350000
R1b-B-new-cap0.35-blend0.6,R1b-B,B,4,20260722T035702-raceprep-r1b-B-run4,20260722T035636-af44e079,2,369282578447200,369282551249200,0.027198,8.497151,-4.725743,-4.726794,5.246556,align,-1.456620,-0.865944,-0.350000
R1b-B-new-cap0.35-blend0.6,R1b-B,B,6,20260722T035929-raceprep-r1b-B-run6,20260722T035907-af44e079,1,369424883122800,369424870331400,0.012791,4.874166,0.483757,-0.866969,4.771985,takeoff,1.742988,0.474468,-0.137940
R1b-B-new-cap0.35-blend0.6,R1b-B,B,8,20260722T040157-raceprep-r1b-B-run8,20260722T040136-af44e079,1,369574319768600,369574292633400,0.027135,12.596686,5.862736,-2.912034,10.762197,align,1.748709,0.054286,-0.035201
R1b-B-new-cap0.35-blend0.6,R1b-B,B,10,20260722T040441-raceprep-r1b-B-run10,20260722T040403-af44e079,1,369722155613100,369722130205500,0.025408,11.562489,6.848363,-2.221708,9.047380,align,1.772342,-0.217931,0.100785
R1b-B-new-cap0.35-blend0.6,R1b-B,B,10,20260722T040441-raceprep-r1b-B-run10,20260722T040403-af44e079,2,369725035420800,369725025952100,0.009469,6.323951,1.087950,-2.350904,5.769052,align,1.633098,0.929161,-0.350000
R1b-B-new-cap0.35-blend0.6,R1b-B,B,10,20260722T040441-raceprep-r1b-B-run10,20260722T040403-af44e079,3,369728695601700,369728692189300,0.003412,3.563815,-1.339282,-0.580429,3.251185,align,1.598975,-1.281831,-0.350000
R1d-new-cap1.2-blend0.6,R1d,B,1,20260722T054709-raceprep-r1d-B-run1,20260722T054649-1d8b4339,1,375887651597700,375887621213800,0.030384,12.616825,5.229221,-2.610162,11.181528,align,1.765468,0.003554,0.047796
R1d-new-cap1.2-blend0.6,R1d,B,1,20260722T054709-raceprep-r1d-B-run1,20260722T054649-1d8b4339,2,375890599461000,375890598116300,0.001345,1.565780,-0.755250,-0.796000,1.116982,recover,1.293510,-1.219621,-1.200000
R1d-new-cap1.2-blend0.6,R1d,B,2,20260722T054828-raceprep-r1d-B-run2,20260722T054806-1d8b4339,1,375963693089500,375963691790100,0.001299,13.060571,5.530520,-2.050947,11.652703,align,1.738711,-0.743104,0.045829
R1d-new-cap1.2-blend0.6,R1d,B,2,20260722T054828-raceprep-r1d-B-run2,20260722T054806-1d8b4339,2,375968135949200,375968118348900,0.017600,4.860179,1.918000,-0.647062,4.418588,retreat,1.640061,1.267755,-0.624287
R1d-new-cap1.2-blend0.6,R1d,B,2,20260722T054828-raceprep-r1d-B-run2,20260722T054806-1d8b4339,3,375970636187400,375970617692200,0.018495,2.605527,0.993858,-1.761634,1.642456,search,1.126605,1.252615,-1.200000
R1d-new-cap1.2-blend0.6,R1d,B,3,20260722T054940-raceprep-r1d-B-run3,20260722T054923-1d8b4339,1,376040182665900,376040153608900,0.029057,5.055599,0.283599,-0.996050,4.948387,takeoff,1.742861,0.281210,0.000000
R1d-new-cap1.2-blend0.6,R1d,B,4,20260722T055103-raceprep-r1d-B-run4,20260722T055035-1d8b4339,1,376113020691900,376113018161600,0.002530,12.303625,4.805303,-2.184585,11.113768,align,1.713656,-0.922262,0.021443
R1d-new-cap1.2-blend0.6,R1d,B,4,20260722T055103-raceprep-r1d-B-run4,20260722T055035-1d8b4339,2,376114567072800,376114553224700,0.013848,2.568875,1.309798,-0.636664,2.116177,recover,1.444694,1.522848,-0.734310
R1d-new-cap1.2-blend0.6,R1d,B,4,20260722T055103-raceprep-r1d-B-run4,20260722T055035-1d8b4339,3,376116360412200,376116349055800,0.011356,6.357230,0.639067,-4.420137,4.524196,approach,1.306926,0.854104,-1.200000
R1d-new-cap1.2-blend0.6,R1d,B,4,20260722T055103-raceprep-r1d-B-run4,20260722T055035-1d8b4339,4,376119120180600,376118981778800,0.138402,4.886808,-2.526830,-0.331371,4.169678,recover,1.542119,-1.481634,-0.094639
R1d-new-cap1.2-blend0.6,R1d,B,4,20260722T055103-raceprep-r1d-B-run4,20260722T055035-1d8b4339,5,376122600317700,376122583050700,0.017267,2.178826,-0.893953,-1.324143,1.481478,align,1.150314,-1.359488,-0.836010
R1d-new-cap1.2-blend0.6,R1d,B,5,20260722T055214-raceprep-r1d-B-run5,20260722T055157-1d8b4339,1,376195967180600,376195950406900,0.016774,4.804780,-0.696420,-1.148296,4.613277,align,1.705840,-0.633876,-0.125191
