series,config,run,fixture_dir,flight_id,line_no,detection_mono_ns,state_mono_ns,state_detection_dt_s,range_m,true_world_dz_m,center_px_x,center_px_y,cert_status
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,260,406208208877600,406208206891200,0.001986,6.175890,-1.278683,321.000000,174.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,305,406208329110400,406208323005500,0.006105,6.210517,-1.284304,320.750000,174.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,312,406208333480800,406208323005500,0.010475,6.210517,-1.284304,320.750000,174.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,315,406208337123700,406208323005500,0.014118,6.210517,-1.284304,320.750000,174.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,318,406208340879300,406208323005500,0.017874,6.210517,-1.284304,320.750000,174.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,324,406208346622600,406208342906900,0.003716,6.395296,-1.362270,321.250000,174.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,348,406208412803200,406208402719900,0.010083,6.178042,-1.356178,321.500000,173.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,357,406208428652600,406208422738300,0.005914,6.178042,-1.356189,321.500000,173.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,367,406208452314800,406208442957200,0.009358,6.143251,-1.350213,321.250000,173.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,380,406208485245100,406208482755500,0.002490,6.143251,-1.350244,321.250000,173.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,397,406208525199400,406208523155200,0.002044,6.143251,-1.350328,321.250000,173.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,408,406208554350400,406208542745500,0.011605,6.143251,-1.350362,321.250000,173.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,419,406208582320200,406208562739000,0.019581,6.143251,-1.356365,321.250000,173.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,435,406208620287700,406208602976100,0.017312,6.143811,-1.356689,321.750000,173.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,448,406208649574900,406208642802700,0.006772,6.143251,-1.356632,321.250000,173.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,463,406208687460200,406208683068600,0.004392,6.143251,-1.356841,321.250000,173.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,475,406208716464100,406208702797200,0.013667,6.143251,-1.356956,321.250000,173.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,488,406208748028900,406208742980800,0.005048,6.143251,-1.357164,321.250000,173.000000,certified
