group,series,config,run,fixture_dir,flight_id,exact_head_flown,command,param_integrity,speed_mps,vz_cap_mps,approach_speed_far_mps,approach_speed_near_mps,retreat_speed_mps,terminal_enable,gates_passed,pass_any,abort_bucket,abort_reason,survival_time_s,commit_attempts,closest_range_m,true_world_dz_at_closest_if_le_2p5_m,closest_true_world_dz_raw_m,closest_cert_status,killing_hit_class,killing_collision_kind,killing_impulse,killing_phase,killing_range_z_m,killing_true_world_dz_m,killing_detection_age_s,env_hits,gate_clips,collision_count,commit_entry_mono_list
R1d-control,r1d,B,1,20260722T054709-raceprep-r1d-B-run1,20260722T054649-1d8b4339,fc093a792d93f4d6d1e06e4ef044ab954f4f4fa6,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2,NOT_CHECKED_CONTROL,1.800000,1.200000,3.000000,1.500000,,false,0,0,near_structure,environment collision (impulse=1.3),9.969068,2,0.714529,-0.045805,-0.045805,certified,env_NEAR_STRUCTURE_unspecified,environment,1.316051,recover,1.622858,-0.262989,0.012087,2,4,6,375887651597700;375890599461000
R1d-control,r1d,B,2,20260722T054828-raceprep-r1d-B-run2,20260722T054806-1d8b4339,a9e5d1cf9d3f8fba4350fdfeaf7143aa3b66ffaa,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2,NOT_CHECKED_CONTROL,1.800000,1.200000,3.000000,1.500000,,false,0,0,near_structure,environment collision (impulse=8.6),12.440320,3,1.379937,-0.134858,-0.134858,none,env_NEAR_gate_LOW_likely_floor_or_bottom,environment,8.551071,commit,1.642456,-1.968434,0.154986,1,0,1,375963693089500;375968135949200;375970636187400
R1d-control,r1d,B,3,20260722T054940-raceprep-r1d-B-run3,20260722T054923-1d8b4339,833bdd2cec43d6d57fff309f0ede5445955e0510,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2,NOT_CHECKED_CONTROL,1.800000,1.200000,3.000000,1.500000,,false,0,0,clips,gate clip budget exceeded (11),7.624014,1,0.885051,-0.309045,-0.309045,certified,gate_TOP_bar,gate,0.080891,recover,5.448059,5.569446,0.037400,0,11,11,376040182665900
R1d-control,r1d,B,4,20260722T055103-raceprep-r1d-B-run4,20260722T055035-1d8b4339,616d07aa200534ebed1f7bafa748212c9a45b1c1,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2,NOT_CHECKED_CONTROL,1.800000,1.200000,3.000000,1.500000,,false,1,1,near_structure,environment collision (impulse=11.8),18.707989,5,0.693276,0.330378,0.330378,none,env_NEAR_STRUCTURE_unspecified,environment,11.804845,recover,0.491120,-0.172786,0.014131,133,3,136,376113020691900;376114567072800;376116360412200;376119120180600;376122600317700
R1d-control,r1d,B,5,20260722T055214-raceprep-r1d-B-run5,20260722T055157-1d8b4339,8cf3aa9b273b61ee90892952f3845abd80facae6,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2,NOT_CHECKED_CONTROL,1.800000,1.200000,3.000000,1.500000,,false,0,0,near_structure,environment collision (impulse=3.6),7.168084,1,2.720232,,-0.806101,certified,env_NEAR_STRUCTURE_unspecified,environment,3.582622,commit,3.280895,0.267364,0.011624,1,0,1,376195967180600
R1f-B-control,r1f,B,2,20260722T141353-raceprep-r1f-B-run2,20260722T141335-1d8b4339,f163b1eeaf73d7630b6b4a0c201d52dff643f720,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.commit.vz_cap_mps=1.2 --patch planner.terminal.enable=false,NOT_CHECKED_CONTROL,1.800000,1.200000,3.000000,1.500000,,false,0,0,blind_FAR_STRUCTURE_or_hangar,environment collision (impulse=4.2),7.484111,1,4.323449,,1.837608,none,env_FAR_STRUCTURE_or_hangar,environment,4.237449,search,36.470083,9.739253,0.122230,2,0,2,406293550491600
R1f-B-control,r1f,B,4,20260722T141626-raceprep-r1f-B-run4,20260722T141603-1d8b4339,91703248cad2e38fc68823dbdc9781f734c6bd22,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.commit.vz_cap_mps=1.2 --patch planner.terminal.enable=false,NOT_CHECKED_CONTROL,1.800000,1.200000,3.000000,1.500000,,false,0,0,near_structure,environment collision (impulse=2.3),12.628331,2,1.336599,-0.292147,-0.292147,none,env_NEAR_gate_LATERAL_likely_pillar_or_side_struct,environment,2.278260,approach,-0.547603,0.168120,0.386427,1,0,2,406441379316300;406446199465700
R1f-B-control,r1f,B,6,20260722T141901-raceprep-r1f-B-run6,20260722T141839-1d8b4339,0969c49ce7e0fb1ebee1cc2eadf46b526d05b619,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.commit.vz_cap_mps=1.2 --patch planner.terminal.enable=false,NOT_CHECKED_CONTROL,1.800000,1.200000,3.000000,1.500000,,false,0,0,near_structure,environment collision (impulse=7.3),11.996040,3,0.948561,-0.309549,-0.309549,certified,env_NEAR_STRUCTURE_unspecified,environment,7.291425,commit,0.918621,0.219943,0.021065,1,1,2,406596675113300;406599495094400;406603435026500
R1f-B-control,r1f,B,8,20260722T142323-raceprep-r1f-B-run8,20260722T142111-1d8b4339,0e3c6c4b538238629256822ae4e24e44eb5447c7,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.commit.vz_cap_mps=1.2 --patch planner.terminal.enable=false,NOT_CHECKED_CONTROL,1.800000,1.200000,3.000000,1.500000,,false,0,0,grinding,flight timeout,120.003991,2,4.041459,,1.520394,probation,env_NO_GATE_IN_VIEW,environment,0.118246,recover,,,,18661,0,18661,406749245188200;406751325403800
R1f-B-control,r1f,B,10,20260722T142555-raceprep-r1f-B-run10,20260722T142532-1d8b4339,c0262826b19ffb5569753f7635f1326685f95773,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.commit.vz_cap_mps=1.2 --patch planner.terminal.enable=false,NOT_CHECKED_CONTROL,1.800000,1.200000,3.000000,1.500000,,false,0,0,near_structure,environment collision (impulse=7.3),13.380054,1,2.017332,0.436895,0.436895,none,env_MID_STRUCTURE_intergate,environment,7.339892,approach,8.072836,-1.446467,0.052520,1,0,1,407009939738200
