group,series,config,run,fixture_dir,flight_id,exact_head_flown,command,param_integrity,speed_mps,vz_cap_mps,vel_leak,approach_speed_far_mps,approach_speed_near_mps,terminal_enable,gates_passed,pass_any,abort_bucket,abort_reason,survival_time_s,commit_attempts,closest_range_m,true_world_dz_at_closest_if_le_2p5_m,closest_true_world_dz_raw_m,closest_cert_status,killing_hit_class,killing_collision_kind,killing_impulse,killing_phase,killing_range_z_m,killing_true_world_dz_m,killing_detection_age_s,env_hits,gate_clips,collision_count,commit_entry_mono_list
R1d-control,r1d,B,1,20260722T054709-raceprep-r1d-B-run1,20260722T054649-1d8b4339,fc093a792d93f4d6d1e06e4ef044ab954f4f4fa6,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2,NOT_CHECKED_CONTROL,1.800000,1.200000,0.050000,3.000000,1.500000,false,0,0,near_structure,environment collision (impulse=1.3),9.969068,2,0.714529,-0.045805,-0.045805,certified,env_NEAR_STRUCTURE_unspecified,environment,1.316051,recover,1.622858,-0.262989,0.012087,2,4,6,375887651597700;375890599461000
R1d-control,r1d,B,2,20260722T054828-raceprep-r1d-B-run2,20260722T054806-1d8b4339,a9e5d1cf9d3f8fba4350fdfeaf7143aa3b66ffaa,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2,NOT_CHECKED_CONTROL,1.800000,1.200000,0.050000,3.000000,1.500000,false,0,0,near_structure,environment collision (impulse=8.6),12.440320,3,1.379937,-0.134858,-0.134858,none,env_NEAR_gate_LOW_likely_floor_or_bottom,environment,8.551071,commit,1.642456,-1.968434,0.154986,1,0,1,375963693089500;375968135949200;375970636187400
R1d-control,r1d,B,3,20260722T054940-raceprep-r1d-B-run3,20260722T054923-1d8b4339,833bdd2cec43d6d57fff309f0ede5445955e0510,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2,NOT_CHECKED_CONTROL,1.800000,1.200000,0.050000,3.000000,1.500000,false,0,0,gate_clips,gate clip budget exceeded (11),7.624014,1,0.885051,-0.309045,-0.309045,certified,gate_TOP_bar,gate,0.080891,recover,5.448059,5.569446,0.037400,0,11,11,376040182665900
R1d-control,r1d,B,4,20260722T055103-raceprep-r1d-B-run4,20260722T055035-1d8b4339,616d07aa200534ebed1f7bafa748212c9a45b1c1,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2,NOT_CHECKED_CONTROL,1.800000,1.200000,0.050000,3.000000,1.500000,false,1,1,near_structure,environment collision (impulse=11.8),18.707989,5,0.693276,0.330378,0.330378,none,env_NEAR_STRUCTURE_unspecified,environment,11.804845,recover,0.491120,-0.172786,0.014131,133,3,136,376113020691900;376114567072800;376116360412200;376119120180600;376122600317700
R1d-control,r1d,B,5,20260722T055214-raceprep-r1d-B-run5,20260722T055157-1d8b4339,8cf3aa9b273b61ee90892952f3845abd80facae6,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2,NOT_CHECKED_CONTROL,1.800000,1.200000,0.050000,3.000000,1.500000,false,0,0,near_structure,environment collision (impulse=3.6),7.168084,1,2.720232,,-0.806101,certified,env_NEAR_STRUCTURE_unspecified,environment,3.582622,commit,3.280895,0.267364,0.011624,1,0,1,376195967180600
R1h-control,r1h,B,1,20260723T054025-raceprep-r1h-B-run1,20260723T054003-d34a5ff2,34c1a77987de2c40252890446f22cd0180ad22c6,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,NOT_CHECKED_CONTROL,1.800000,1.200000,0.050000,1.500000,1.000000,false,0,0,blind_NO_GATE_IN_VIEW,environment collision (impulse=1.2),11.700040,1,3.802321,,1.448730,none,env_NO_GATE_IN_VIEW,environment,0.414439,search,,,,3,0,3,461881525144200
R1h-control,r1h,B,2,20260723T054143-raceprep-r1h-B-run2,20260723T054123-d34a5ff2,6de7bd555a21044ee80d29f038d9aea28b30b363,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,NOT_CHECKED_CONTROL,1.800000,1.200000,0.050000,1.500000,1.000000,false,0,0,gate_clips,gate clip budget exceeded (11),10.252843,3,1.368313,0.506396,0.506396,certified,gate_OPENING_or_UNSPECIFIED,gate,0.129962,recover,,,0.006633,0,11,11,461961191502700;461964286761700;461965294744900
R1h-control,r1h,B,3,20260723T054307-raceprep-r1h-B-run3,20260723T054240-d34a5ff2,5d0947fb1369bdc5551df5f0a644db3155f168fc,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,NOT_CHECKED_CONTROL,1.800000,1.200000,0.050000,1.500000,1.000000,false,0,0,blind_NO_GATE_IN_VIEW,environment collision (impulse=4.9),17.091873,2,1.388151,-0.243346,-0.243346,none,env_NO_GATE_IN_VIEW,environment,4.905730,search,,,,1,0,1,462037604660000;462047320545000
R1h-control,r1h,B,4,20260723T054421-raceprep-r1h-B-run4,20260723T054403-d34a5ff2,6e1d8cbfc0f8611aadd51ea13073a2f746e8d37e,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,NOT_CHECKED_CONTROL,1.800000,1.200000,0.050000,1.500000,1.000000,false,0,0,near_structure,environment collision (impulse=1.4),9.012061,1,0.976228,-0.100558,-0.100558,none,env_MID_STRUCTURE_intergate,environment,1.428659,recover,8.672961,-0.809972,0.024126,1,0,1,462121418773100
R1h-control,r1h,B,5,20260723T054541-raceprep-r1h-B-run5,20260723T054521-d34a5ff2,50aa5385734a9518fb7442a63ea0ddc2e5f2ad7a,scripts\fly_once.py --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.terminal.enable=false --patch planner.commit.vz_cap_mps=1.2 --patch planner.approach.speed_far_mps=1.5 --patch planner.approach.speed_near_mps=1.0 --patch planner.retreat.speed_mps=0.8,NOT_CHECKED_CONTROL,1.800000,1.200000,0.050000,1.500000,1.000000,false,0,0,blind_NO_GATE_IN_VIEW,environment collision (impulse=3.2),10.664186,2,2.084343,0.422654,0.422654,none,env_NO_GATE_IN_VIEW,environment,3.198529,recover,,,,2,0,2,462198992429400;462201712084800
