fixture_dir,era,frames,imu,recording_label,flight_id,recording,approach_id,cluster_id,cluster_ok,failure_reason,notes,log,physical_approach,recording_regime,provenance
fixtures\20260713T190414-phase1,phase1,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260713T193402-phase1b,phase1b,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260713T195441-phase1c,phase1c,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260713T201500-phase1d,phase1d,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260713T203515-phase1e,phase1e,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260714-analysis-slices,unknown,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260714T042010-phase1f,phase1f,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260714T050328-phase2a,phase2a,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260714T074233-phase2b,phase2b,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260714T083241-phase2c,phase2c,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260714T092428-phase2d,phase2d,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260714T111500-analysis-slices,unknown,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260714T114119-phase2f,phase2f,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260714T121124-phase2g,phase2g,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260714T123203-phase2h,phase2h,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260714T130512-phase2i,phase2i,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260714T134021-phase2j,phase2j,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260714T143643-phase2k,phase2k,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260714T181113-phase2l,phase2l,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260714T203252-phase3a-r2training,phase3a,False,False,,,,,,False,NO_ELIGIBLE_RECORDING,excluded: no .aigprec recording files,,,,
fixtures\20260714T212450-phase3b-r2training,phase3b,True,True,A001,20260714T210518-58cd98ad,fixtures\20260714T212450-phase3b-r2training\20260714T210518-58cd98ad_r2_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260714T212450-phase3b-r2training\20260714T210518-58cd98ad-flight.jsonl,20260714T210518-58cd98ad:NO_CLOSE_EPOCH,archive,
fixtures\20260714T212450-phase3b-r2training,phase3b,True,True,A002,20260714T210844-58cd98ad,fixtures\20260714T212450-phase3b-r2training\20260714T210844-58cd98ad_r2_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260714T212450-phase3b-r2training\20260714T210844-58cd98ad-flight.jsonl,20260714T210844-58cd98ad:NO_CLOSE_EPOCH,archive,
fixtures\20260714T212450-phase3b-r2training,phase3b,True,True,A003,20260714T211404-58cd98ad,fixtures\20260714T212450-phase3b-r2training\20260714T211404-58cd98ad_r2_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260714T212450-phase3b-r2training\20260714T211404-58cd98ad-flight.jsonl,20260714T211404-58cd98ad:NO_CLOSE_EPOCH,archive,
fixtures\20260715T052244-phase3c-r2training,phase3c,True,True,A004,20260715T045100-411f3135,fixtures\20260715T052244-phase3c-r2training\20260715T045100-411f3135_r2c_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260715T052244-phase3c-r2training\20260715T045100-411f3135-flight.jsonl,20260715T045100-411f3135:NO_CLOSE_EPOCH,archive,
fixtures\20260715T052244-phase3c-r2training,phase3c,True,True,A005,20260715T045458-411f3135,fixtures\20260715T052244-phase3c-r2training\20260715T045458-411f3135_r2c_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260715T052244-phase3c-r2training\20260715T045458-411f3135-flight.jsonl,20260715T045458-411f3135:NO_CLOSE_EPOCH,archive,
fixtures\20260715T052244-phase3c-r2training,phase3c,True,True,A006,20260715T051458-6092dbc0,fixtures\20260715T052244-phase3c-r2training\20260715T051458-6092dbc0_r2c_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260715T052244-phase3c-r2training\20260715T051458-6092dbc0-flight.jsonl,20260715T051458-6092dbc0:NO_CLOSE_EPOCH,archive,
fixtures\20260715T135600-phase3d-r2training,phase3d,True,True,A007,20260715T121747-22978559,fixtures\20260715T135600-phase3d-r2training\20260715T121747-22978559_r2d_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260715T135600-phase3d-r2training\20260715T121747-22978559-flight.jsonl,20260715T121747-22978559:NO_CLOSE_EPOCH,archive,
fixtures\20260715T135600-phase3d-r2training,phase3d,True,True,A008,20260715T122040-22978559,fixtures\20260715T135600-phase3d-r2training\20260715T122040-22978559_r2d_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260715T135600-phase3d-r2training\20260715T122040-22978559-flight.jsonl,20260715T122040-22978559:NO_CLOSE_EPOCH,archive,
fixtures\20260715T135600-phase3d-r2training,phase3d,True,True,A009,20260715T122352-22978559,fixtures\20260715T135600-phase3d-r2training\20260715T122352-22978559_r2d_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260715T135600-phase3d-r2training\20260715T122352-22978559-flight.jsonl,20260715T122352-22978559:NO_CLOSE_EPOCH,archive,
fixtures\20260715T190627-phase3e-r2training-slow,phase3e,True,True,A010,20260715T183716-8e6cf1f5,fixtures\20260715T190627-phase3e-r2training-slow\20260715T183716-8e6cf1f5_r2e_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260715T190627-phase3e-r2training-slow\20260715T183716-8e6cf1f5-flight.jsonl,20260715T183716-8e6cf1f5:NO_CLOSE_EPOCH,archive,
fixtures\20260715T190627-phase3e-r2training-slow,phase3e,True,True,A011,20260715T184758-8e6cf1f5,fixtures\20260715T190627-phase3e-r2training-slow\20260715T184758-8e6cf1f5_r2e_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260715T190627-phase3e-r2training-slow\20260715T184758-8e6cf1f5-flight.jsonl,20260715T184758-8e6cf1f5:NO_CLOSE_EPOCH,archive,
fixtures\20260715T190627-phase3e-r2training-slow,phase3e,True,True,A012,20260715T185046-8e6cf1f5,fixtures\20260715T190627-phase3e-r2training-slow\20260715T185046-8e6cf1f5_r2e_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260715T190627-phase3e-r2training-slow\20260715T185046-8e6cf1f5-flight.jsonl,20260715T185046-8e6cf1f5:NO_CLOSE_EPOCH,archive,
fixtures\20260715T190627-phase3e-r2training-slow,phase3e,True,True,A013,20260715T185843-7f28e2fb,fixtures\20260715T190627-phase3e-r2training-slow\20260715T185843-7f28e2fb_r2e_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260715T190627-phase3e-r2training-slow\20260715T185843-7f28e2fb-flight.jsonl,20260715T185843-7f28e2fb:NO_CLOSE_EPOCH,archive,
fixtures\20260715T200734-phase3f-r2training-slow,phase3f,True,True,A014,20260715T195033-8edfeec4,fixtures\20260715T200734-phase3f-r2training-slow\20260715T195033-8edfeec4_r2f_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260715T200734-phase3f-r2training-slow\20260715T195033-8edfeec4-flight.jsonl,20260715T195033-8edfeec4:NO_CLOSE_EPOCH,archive,
fixtures\20260715T200734-phase3f-r2training-slow,phase3f,True,True,A015,20260715T200011-8edfeec4,fixtures\20260715T200734-phase3f-r2training-slow\20260715T200011-8edfeec4_r2f_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260715T200734-phase3f-r2training-slow\20260715T200011-8edfeec4-flight.jsonl,20260715T200011-8edfeec4:NO_CLOSE_EPOCH,archive,
fixtures\20260715T200734-phase3f-r2training-slow,phase3f,True,True,A016,20260715T200142-8edfeec4,fixtures\20260715T200734-phase3f-r2training-slow\20260715T200142-8edfeec4_r2f_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260715T200734-phase3f-r2training-slow\20260715T200142-8edfeec4-flight.jsonl,20260715T200142-8edfeec4:NO_CLOSE_EPOCH,archive,
fixtures\20260715T211420-phase3g-r2training,phase3g,True,True,A017,20260715T203300-8edfeec4,fixtures\20260715T211420-phase3g-r2training\20260715T203300-8edfeec4_r2g_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260715T211420-phase3g-r2training\20260715T203300-8edfeec4-flight.jsonl,20260715T203300-8edfeec4:NO_CLOSE_EPOCH,archive,
fixtures\20260715T211420-phase3g-r2training,phase3g,True,True,A018,20260715T204925-8edfeec4,fixtures\20260715T211420-phase3g-r2training\20260715T204925-8edfeec4_r2g_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260715T211420-phase3g-r2training\20260715T204925-8edfeec4-flight.jsonl,20260715T204925-8edfeec4:NO_CLOSE_EPOCH,archive,
fixtures\20260715T211420-phase3g-r2training,phase3g,True,True,A019,20260715T205124-8edfeec4,fixtures\20260715T211420-phase3g-r2training\20260715T205124-8edfeec4_r2g_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260715T211420-phase3g-r2training\20260715T205124-8edfeec4-flight.jsonl,20260715T205124-8edfeec4:NO_CLOSE_EPOCH,archive,
fixtures\20260715T211420-phase3g-r2training,phase3g,True,True,A020,20260715T205845-fc86a160,fixtures\20260715T211420-phase3g-r2training\20260715T205845-fc86a160_r2g_slice_start.aigprec,,,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,,fixtures\20260715T211420-phase3g-r2training\20260715T205845-fc86a160-flight.jsonl,20260715T205845-fc86a160:NO_CLOSE_EPOCH,archive,
