report_layer_generator_commit,sequencing_floor_commit,response53_commit,generator_postdates_181f41f,source_checkpoint_dir,age_bin,approaches,flights,n_rows,median_signed_r_v_mps,p95_abs_centered_r_v_mps,predicted_scale_mps,balanced_coverage,worst_undercoverage,dangerous_safe_misclassifications,green,target_set,anchor_policy
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p00-0p10,3,3,38,-0.009608464452002231,0.8787290469147164,0.26058629021090773,0.6538461538461539,0.46153846153846156,8,False,discovery_overlap_3,old_attenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p10-0p20,3,3,24,0.01533318079825309,0.4902429739279772,0.26987760896243934,0.9333333333333332,0.8,1,False,discovery_overlap_3,old_attenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p20-0p30,3,3,24,0.03434307728281927,0.51991809067756,0.28901598134187123,0.6666666666666666,0.0,2,False,discovery_overlap_3,old_attenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p30-0p40,2,2,5,0.087903083469643,0.4537657733517839,0.3153082346537346,1.0,1.0,0,False,discovery_overlap_3,old_attenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p40-0p50,2,2,8,0.1913706793121076,1.5128000944654734,0.3549278061862823,0.5,0.0,4,False,discovery_overlap_3,old_attenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,gt0p50,2,2,2,-0.3280130089342031,1.086047490780068,0.3865944196464456,0.5,0.0,1,False,discovery_overlap_3,old_attenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p00-0p10,3,3,38,0.01414365503540518,0.30034660418914944,0.11758689572999625,0.7307692307692308,0.5,5,False,discovery_overlap_3,shadow_unattenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p10-0p20,3,3,24,0.039409825799090935,0.41332285562459703,0.1390280114919442,0.7999999999999999,0.4,3,False,discovery_overlap_3,shadow_unattenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p20-0p30,3,3,24,0.04858805433995922,0.14825179618428524,0.17683881869487605,0.8333333333333334,0.5,1,False,discovery_overlap_3,shadow_unattenuated_anchor
a0b53dfeadf221cfd834dca7b85bc13c5ac10d24,181f41ff88a92febe386fd2b272162f0190c04d6,02b32cca996a22f3a44a8757ce2486a747eb706e,True,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,0p30-0p40,2,2,5,0.087903083469643,0.48069999510926664,0.22138662539214488,0.5,0.0,1,False,discovery_overlap_3,shadow_unattenuated_anchor
