diagnostic_only,computation_commit,checkpoint_evidence_commit,report_generator_commit,criterion_commit,creation_time_utc,source_checkpoint_dir,input_manifest_path,input_manifest_sha256,era,recording_regime,owner_state,command_regime,clusters,rows,plant_signal_fed_as_applied,plant_signal_formula,command_semantics,timing,runtime_model_scope,per_row_owner_logged,mixed_ownership_handling,activity_rms_mps,activity_abs_mean_mps,activity_max_abs_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,phase5c,archive,legacy_common_arm,authority_limited,1,30,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",0.0 is observed zero activity; blank/None is missing; no truthiness filter used,withheld-window samples only; feed-forward is exposure-aligned side minus latch setpoint; no future-command leakage added by this CSV pass,"archive replay/evaluation-side intervention, not a shipping flight-code change",False,physical TERM A091 separated; terminal-era/non-TERM/metrology states grouped separately; command_regime split prevents flattening mixed command windows,0.3203352359749889,0.24638770375256944,0.6458219707740962
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,phase5d,vertical,legacy_common_arm,authority_limited,1,6,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",0.0 is observed zero activity; blank/None is missing; no truthiness filter used,withheld-window samples only; feed-forward is exposure-aligned side minus latch setpoint; no future-command leakage added by this CSV pass,"archive replay/evaluation-side intervention, not a shipping flight-code change",False,physical TERM A091 separated; terminal-era/non-TERM/metrology states grouped separately; command_regime split prevents flattening mixed command windows,0.6028590549919655,0.5605045909776786,0.965043082649422
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,phase5d,vertical,legacy_common_arm,down,2,19,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",0.0 is observed zero activity; blank/None is missing; no truthiness filter used,withheld-window samples only; feed-forward is exposure-aligned side minus latch setpoint; no future-command leakage added by this CSV pass,"archive replay/evaluation-side intervention, not a shipping flight-code change",False,physical TERM A091 separated; terminal-era/non-TERM/metrology states grouped separately; command_regime split prevents flattening mixed command windows,0.7606163084493839,0.5923376142362007,1.4202399382031201
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,phase5d,vertical,legacy_common_arm,flat_no_ff,2,6,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",0.0 is observed zero activity; blank/None is missing; no truthiness filter used,withheld-window samples only; feed-forward is exposure-aligned side minus latch setpoint; no future-command leakage added by this CSV pass,"archive replay/evaluation-side intervention, not a shipping flight-code change",False,physical TERM A091 separated; terminal-era/non-TERM/metrology states grouped separately; command_regime split prevents flattening mixed command windows,0.0019287815105911523,0.0007874217543771452,0.004724530526262871
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,phase5f,archive,legacy_common_arm,down,2,54,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",0.0 is observed zero activity; blank/None is missing; no truthiness filter used,withheld-window samples only; feed-forward is exposure-aligned side minus latch setpoint; no future-command leakage added by this CSV pass,"archive replay/evaluation-side intervention, not a shipping flight-code change",False,physical TERM A091 separated; terminal-era/non-TERM/metrology states grouped separately; command_regime split prevents flattening mixed command windows,0.5434930674284979,0.39868888286192816,1.7758036572754716
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,phase5f,archive,legacy_common_arm,flat_no_ff,2,13,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",0.0 is observed zero activity; blank/None is missing; no truthiness filter used,withheld-window samples only; feed-forward is exposure-aligned side minus latch setpoint; no future-command leakage added by this CSV pass,"archive replay/evaluation-side intervention, not a shipping flight-code change",False,physical TERM A091 separated; terminal-era/non-TERM/metrology states grouped separately; command_regime split prevents flattening mixed command windows,0.007021463796007964,0.003103881938264121,0.01956061799524189
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,phase6a,archive,legacy_common_arm,authority_limited,1,6,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",0.0 is observed zero activity; blank/None is missing; no truthiness filter used,withheld-window samples only; feed-forward is exposure-aligned side minus latch setpoint; no future-command leakage added by this CSV pass,"archive replay/evaluation-side intervention, not a shipping flight-code change",False,physical TERM A091 separated; terminal-era/non-TERM/metrology states grouped separately; command_regime split prevents flattening mixed command windows,0.7060610077265391,0.5962420648861898,1.027222693966657
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,phase6a,archive,legacy_common_arm,down,2,35,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",0.0 is observed zero activity; blank/None is missing; no truthiness filter used,withheld-window samples only; feed-forward is exposure-aligned side minus latch setpoint; no future-command leakage added by this CSV pass,"archive replay/evaluation-side intervention, not a shipping flight-code change",False,physical TERM A091 separated; terminal-era/non-TERM/metrology states grouped separately; command_regime split prevents flattening mixed command windows,0.3846682027200918,0.34900841731156307,0.6571414038697705
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,phase6a,archive,legacy_common_arm,flat_no_ff,2,8,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",0.0 is observed zero activity; blank/None is missing; no truthiness filter used,withheld-window samples only; feed-forward is exposure-aligned side minus latch setpoint; no future-command leakage added by this CSV pass,"archive replay/evaluation-side intervention, not a shipping flight-code change",False,physical TERM A091 separated; terminal-era/non-TERM/metrology states grouped separately; command_regime split prevents flattening mixed command windows,0.002132285719095135,0.0007538768456997018,0.006031014765597614
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,phase6a,archive,legacy_common_arm,up,2,11,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",0.0 is observed zero activity; blank/None is missing; no truthiness filter used,withheld-window samples only; feed-forward is exposure-aligned side minus latch setpoint; no future-command leakage added by this CSV pass,"archive replay/evaluation-side intervention, not a shipping flight-code change",False,physical TERM A091 separated; terminal-era/non-TERM/metrology states grouped separately; command_regime split prevents flattening mixed command windows,0.6917940381096875,0.5903582091225936,1.201749929856827
