diagnostic_only,computation_commit,checkpoint_evidence_commit,report_generator_commit,criterion_commit,creation_time_utc,source_checkpoint_dir,input_manifest_path,input_manifest_sha256,observation_unit,cluster_id,flight_id,flight,fixture_dir,era,recording_regime,owner_state,owner_inference_basis,target_set,regime_labels,n_rows,n_cuts,auth_at_latch_median,delta_latch_median_mps,legacy_activity_rms_mps,legacy_activity_abs_mean_mps,legacy_activity_abs_median_mps,legacy_activity_max_abs_mps,near_zero_legacy_activity,pooled_b1_before_no_legacy_mps2,pooled_abs_b1_before_no_legacy_mps2,pooled_b1_after_recorded_legacy_mps2,pooled_abs_b1_after_recorded_legacy_mps2,max_abs_within_cut_b1_before_mps2,median_abs_within_cut_b1_before_mps2,max_abs_within_cut_b1_after_mps2,median_abs_within_cut_b1_after_mps2,large_cluster_before,large_cluster_after,refutation_candidate_cuts_before,plant_signal,plant_signal_formula,table_role
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260717T095722-a560c093:A1,20260717T095722-a560c093,A048,20260717T100347-phase5c-ownership,phase5c,archive,legacy_common_arm,legacy/common-arm recording class,confirmatory_20,authority_limited,30,5,0.5558421611785889,0.0,0.3203352359749889,0.24638770375256944,0.2000220563238595,0.6458219707740962,False,0.0,0.0,1.8490568856342124,1.8490568856342124,0.0,0.0,1.9944272987071472,1.2361154053747956,False,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c,A051,20260717T102447-phase5d-vertical,phase5d,vertical,legacy_common_arm,legacy/common-arm recording class,confirmatory_20,down;flat_no_ff,13,3,1.0,0.0,0.3426125443141151,0.26773264577208405,0.21061917552620263,0.6724114104456296,False,0.0,0.0,1.3465362621387094,1.3465362621387094,0.0,0.0,1.3260459972469953,1.2098886405355687,False,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260717T102007-7223cc0c:A1,20260717T102007-7223cc0c,A052,20260717T102447-phase5d-vertical,phase5d,vertical,legacy_common_arm,legacy/common-arm recording class,confirmatory_20,authority_limited;down;flat_no_ff,18,4,1.0,0.0,0.8043934618162666,0.6189801306579475,0.46442789451697153,1.4202399382031201,False,0.0,0.0,3.3311730869316607,3.3311730869316607,0.0,0.0,4.904156403352525,4.698485498505645,False,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260717T151002-a9753343:A1,20260717T151002-a9753343,A057,20260717T152216-phase5f-terminal,phase5f,archive,legacy_common_arm,legacy/common-arm recording class,confirmatory_20,down;flat_no_ff,13,4,1.0,0.0,0.8320046929535792,0.4537060685075754,0.10897535450308204,1.7758036572754716,False,0.0,0.0,3.679074615196073,3.679074615196073,0.0,0.0,3.8080219254275427,3.656412976906175,False,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260717T151717-e179e097:A1,20260717T151717-e179e097,A060,20260717T152216-phase5f-terminal,phase5f,archive,legacy_common_arm,legacy/common-arm recording class,confirmatory_20,down;flat_no_ff,54,9,1.0,0.0,0.358814972659618,0.29021057868783473,0.3221575232815137,0.6541662399659063,False,0.0,0.0,1.8224149575034716,1.8224149575034716,0.0,0.0,1.9587292723560248,1.5586448843571394,False,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260717T153048-927a4c97:A1,20260717T153048-927a4c97,A061,20260717T154500-phase6a-control-old,phase6a,archive,legacy_common_arm,legacy/common-arm recording class,confirmatory_20,authority_limited;down;flat_no_ff;up,27,6,1.0,0.0,0.6146777597452199,0.5141820010806384,0.5120447125888437,1.201749929856827,False,0.0,0.0,-4.367058237444912,4.367058237444912,0.0,0.0,4.01904831697111,3.2531274850151073,False,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260717T153748-d946830d:A1,20260717T153748-d946830d,A063,20260717T154501-phase6a-dash,phase6a,archive,legacy_common_arm,legacy/common-arm recording class,confirmatory_20,down;flat_no_ff;up,33,6,1.0,0.0,0.3130058992273012,0.25484255397450717,0.2484110723142539,0.5845278584312651,False,0.0,0.0,1.9054038301425877,1.9054038301425877,0.0,0.0,2.4201470901232374,2.076885359976923,False,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260719T075333-fab49fbf:A2,20260719T075333-fab49fbf,A066,20260719T080320-phase6b-aligned-dash,phase6b,aligned-dash,legacy_common_arm,legacy/common-arm recording class,confirmatory_20,authority_limited;down;flat_no_ff;up,144,10,1.0,0.0,0.3807074850189496,0.28784345538213923,0.23410725392222942,0.9326904887047685,False,0.0,0.0,0.7434711989730202,0.7434711989730202,0.0,0.0,1.7441534635085827,0.7607562495147899,False,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260719T080255-fab49fbf:A1,20260719T080255-fab49fbf,A067,20260719T080320-phase6b-aligned-dash,phase6b,aligned-dash,legacy_common_arm,legacy/common-arm recording class,confirmatory_20,authority_limited;down;flat_no_ff,56,7,0.3331165313720703,0.0,0.36746095128670136,0.29978476513619745,0.27425564006998177,0.7405905565393662,False,0.0,0.0,2.302051390270594,2.302051390270594,0.0,0.0,2.342897836562576,1.9824780227332823,False,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,physical_approach_cluster,20260719T134326-2477345e:A2,20260719T134326-2477345e,A071,20260719T134835-phase6d-fiction-guards,phase6d,archive,legacy_common_arm,legacy/common-arm recording class,confirmatory_20,authority_limited;down;flat_no_ff;up,103,10,1.0,0.0,0.14866050330372987,0.10740607775760268,0.07752778174832853,0.443073403341844,False,-1.0039656757984212,1.0039656757984212,-1.198050168193262,1.198050168193262,5.120444147353564,0.0,5.385753786317524,0.4622259513063052,True,True,0,rate_feed_forward_mps,"rate_feed_forward_mps = setpoint_vz_up_mps(side exposure) - setpoint_vz_up_mps(latch exposure), carried from the replay-attached flight-log setpoint stream",FILTER_ONLY for prediction columns; INTERVENTION_JUDGE for after columns
