diagnostic_only,computation_commit,checkpoint_evidence_commit,report_generator_commit,criterion_commit,creation_time_utc,source_checkpoint_dir,input_manifest_path,input_manifest_sha256,cluster_id,cut_id,frame_id,feature_ts_ns,age_s,era,recording_regime,owner_state,command_regime,v_ref_oracle_mps,v_latch_true_mps,recorded_legacy_applied_vertical_mps,r_v_before_no_legacy_mps,r_v_after_recorded_legacy_mps,after_matches_checkpoint,plant_signal
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut01,279,1784282248861310500,0.0,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,0.0,0.0,-0.0,True,rate_feed_forward_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut01,280,1784282248895329900,0.03401923179626465,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,-0.1339693361522718,0.0,0.1339693361522718,True,rate_feed_forward_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut01,281,1784282248930123600,0.06881308555603027,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,-0.33915022880042467,0.0,0.33915022880042467,True,rate_feed_forward_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut01,282,1784282248964681600,0.10337114334106445,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,-0.45095875077453007,0.0,0.45095875077453007,True,rate_feed_forward_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut01,284,1784282249034085200,0.1727745532989502,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,-0.6143759702231266,0.0,0.6143759702231266,True,rate_feed_forward_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut01,285,1784282249062787600,0.20147705078125,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,-0.6104493972815479,0.0,0.6104493972815479,True,rate_feed_forward_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut01,286,1784282249099220800,0.23791027069091797,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,-0.6458219707740962,0.0,0.6458219707740962,True,rate_feed_forward_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut01,287,1784282249137394700,0.27608418464660645,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,-0.4658497778944961,0.0,0.4658497778944961,True,rate_feed_forward_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut02,280,1784282248895329900,0.0,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,0.0,0.0,-0.0,True,rate_feed_forward_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut02,281,1784282248930123600,0.034793853759765625,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,-0.20518089264815287,0.0,0.20518089264815287,True,rate_feed_forward_mps
