era,era_family,approaches,Y_eligible,Y_ineligible,Y_eligible_rate,signature_positive,signature_negative
phase3b,phase3,3,0,3,0.0,3,0
phase3c,phase3,3,0,3,0.0,3,0
phase3d,phase3,3,0,3,0.0,3,0
phase3e,phase3,4,0,4,0.0,4,0
phase3f,phase3,3,0,3,0.0,3,0
phase3g,phase3,4,0,4,0.0,4,0
phase3h,phase3,4,0,4,0.0,4,0
phase3i,phase3,3,0,3,0.0,3,0
phase3j,phase3,4,0,4,0.0,4,0
phase4a,phase4,3,0,3,0.0,3,0
phase4b,phase4,5,0,5,0.0,5,0
phase4c,phase4,3,0,3,0.0,3,0
phase5,phase5,2,0,2,0.0,1,1
phase5b,phase5,5,0,5,0.0,0,5
phase5c,phase5,5,1,4,0.2,0,5
phase5d,phase5,6,2,4,0.3333333333333333,0,6
phase5e,phase5,6,0,6,0.0,0,6
phase5f,phase5,7,2,5,0.2857142857142857,0,7
phase6a,phase6,6,2,4,0.3333333333333333,0,6
phase6b,phase6,5,2,3,0.4,0,5
phase6c,phase6,7,0,7,0.0,0,7
phase6d,phase6,6,1,5,0.16666666666666666,0,6
phase6e,phase6,5,2,3,0.4,0,5
phase6f,phase6,10,1,9,0.1,0,10
phase6g,phase6,9,1,8,0.1111111111111111,0,9
phase6h,phase6,5,2,3,0.4,0,5
phase6i,phase6,20,2,18,0.1,1,19
phase6j,phase6,10,1,9,0.1,0,10
phase6k,phase6,9,1,8,0.1111111111111111,0,9
phase6l,phase6,7,2,5,0.2857142857142857,1,6
phase7m,phase7,6,1,5,0.16666666666666666,0,6
