left_out_approach,old_train_clusters,old_train_rows,old_point_sigma_a_mps2,old_profile_u95_sigma_a_mps2,old_pushes_over_gate,old_profile_nearly_flat,shadow_train_clusters,shadow_train_rows,shadow_point_sigma_a_mps2,shadow_profile_u95_sigma_a_mps2,shadow_pushes_over_gate,shadow_profile_nearly_flat
20260717T095722-a560c093:A1,22,1608,1.2555229789014763,1.3250000000000002,True,False,22,1608,1.1966697292025756,1.2750000000000001,True,False
20260717T101837-7223cc0c:A1,22,1625,1.2908861817286292,1.375,True,False,22,1625,1.194513941748476,1.2750000000000001,True,False
20260717T102007-7223cc0c:A1,22,1620,1.2446188865856669,1.3250000000000002,True,False,22,1620,1.1572288453030761,1.225,True,False
20260717T151002-a9753343:A1,22,1625,1.2732165306640615,1.35,True,False,22,1625,1.166314921088751,1.225,True,False
20260717T151717-e179e097:A1,22,1584,1.2058516267178514,1.2750000000000001,True,False,22,1584,1.1738034496226277,1.25,True,False
20260717T153048-927a4c97:A1,22,1611,1.2716660273625129,1.35,True,False,22,1611,1.1498785083668484,1.225,True,False
20260717T153748-d946830d:A1,22,1605,1.2604473437261372,1.35,True,False,22,1605,1.194743297280231,1.2750000000000001,True,False
20260719T075333-fab49fbf:A2,22,1494,1.3063529740451614,1.4000000000000001,True,False,22,1494,1.1794811790698032,1.25,True,False
20260719T080255-fab49fbf:A1,22,1582,1.1926412593860911,1.2750000000000001,True,False,22,1582,1.1770367703712274,1.25,True,False
20260719T134326-2477345e:A2,22,1535,1.215361644467192,1.3,True,False,22,1535,1.3095391230685527,1.375,True,False
20260719T142919-a76247fb:A1,22,1602,1.2702875227441093,1.35,True,False,22,1602,1.1742515009488952,1.25,True,False
20260719T143404-a76247fb:A1,22,1485,1.4122660956751385,1.5,True,False,22,1485,1.3162837143887764,1.4000000000000001,True,False
20260719T144941-a76247fb:A1,22,1616,1.242934736923386,1.3250000000000002,True,False,22,1616,1.166446286093104,1.225,True,False
20260719T150627-486b0765:A1,22,1566,1.6055009495382653,1.675,True,False,22,1566,1.2602574197337648,1.3250000000000002,True,False
20260719T160537-f170ead6:A1,22,1493,1.413701888142074,1.75,True,False,22,1493,1.2847033907839038,1.35,True,False
20260719T163649-f170ead6:A1,22,1543,1.2148442804013153,1.3,True,False,22,1543,1.1337668974418709,1.2000000000000002,True,False
20260719T200816-f170ead6:A1,22,1517,1.4300752729176978,1.5250000000000001,True,False,22,1517,1.2961099561656197,1.375,True,False
20260719T201851-50f9dcc8:A1,22,1511,1.2117563212021314,1.2750000000000001,True,False,22,1511,0.9800587148816378,1.05,True,False
20260720T054016-5cebc2b2:A1,22,1483,1.445779532171414,1.75,True,False,22,1483,1.3108116929502898,1.4000000000000001,True,False
20260720T062804-c38fd469:A1,22,1518,1.4329166632809114,1.475,True,False,22,1518,1.009847972122326,1.075,True,False
20260720T071112-cd18c5fb:A1,22,1618,1.4779121195035088,1.5250000000000001,True,False,22,1618,1.2430453355865827,1.3,True,False
20260720T071333-cd18c5fb:A1,22,1570,1.296951102031987,1.375,True,False,22,1570,1.2177695003119116,1.3,True,False
20260720T135008-9aa0ef5c:A1,22,1625,1.2964602126807467,1.375,True,False,22,1625,1.1877898034307992,1.25,True,False
