group,series,config,run,fixture_dir,flight_id,stage,exact_head_flown,command,param_integrity,speed_mps,vz_cap_mps,terminal_enable,imu_stale_s,gates_passed,pass_any,abort_class,abort_reason,survival_time_s,commit_attempts,closest_range_m,true_world_dz_at_closest_if_le_2p5_m,closest_true_world_dz_raw_m,closest_cert_status,killing_hit_class,killing_collision_kind,killing_impulse,killing_phase,killing_range_z_m,killing_true_world_dz_m,killing_detection_age_s,env_hits,gate_clips,collision_count,commit_entry_mono_list
T2-baseline,t2r1,B,1,20260723T203151-raceprep-t2r1-B-run1,20260723T203037-c789aedf,t2-r1-baseline,92c08b51a6944067b9338b6b915d791c7917e698,C:\Users\tsion\Projects\eni_dcim\.venv\Scripts\python.exe scripts\sim_automation\run_one_flight.py raceprep-t2r1-B-run1 r1 -- --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.commit.vz_cap_mps=1.2 --patch planner.terminal.enable=false,OK,1.800000,1.200000,false,0.050000,0,0,environment_collision,environment collision (impulse=12.0),29.592038,2,1.241859,-0.449642,-0.449642,none,env_NO_GATE_IN_VIEW,environment,12.022815,approach,,,,1,1,2,515327954032200;515331033910100
T2-baseline,t2r1,B,2,20260723T203357-raceprep-t2r1-B-run2,20260723T203307-c789aedf,t2-r1-baseline,c7d2f30647e1693644777d7616a048f5bb1fa3d4,C:\Users\tsion\Projects\eni_dcim\.venv\Scripts\python.exe scripts\sim_automation\run_one_flight.py raceprep-t2r1-B-run2 r1 -- --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.commit.vz_cap_mps=1.2 --patch planner.terminal.enable=false,OK,1.800000,1.200000,false,0.050000,0,0,environment_collision,environment collision (impulse=3.8),27.563980,2,0.774810,0.035819,0.035819,none,env_NO_GATE_IN_VIEW,environment,3.848348,search,,,0.352781,1,1,2,515478462828200;515483762835200
T2-baseline,t2r1,B,3,20260723T203626-raceprep-t2r1-B-run3,20260723T203524-c789aedf,t2-r1-baseline,f20f658941caee4b776c89b18869b2d79c909f07,C:\Users\tsion\Projects\eni_dcim\.venv\Scripts\python.exe scripts\sim_automation\run_one_flight.py raceprep-t2r1-B-run3 r1 -- --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.commit.vz_cap_mps=1.2 --patch planner.terminal.enable=false,OK,1.800000,1.200000,false,0.050000,0,0,stale_imu,stale channels: imu,33.743992,2,1.014387,-0.622017,-0.622017,probation,gate_BOTTOM_bar,gate,0.293372,retreat,0.914719,-0.390633,0.031732,0,3,3,515614578841900;515617658979600
T2-baseline,t2r1,B,4,20260723T203900-raceprep-t2r1-B-run4,20260723T203801-c789aedf,t2-r1-baseline,b2fbd2fd5d31b9c39f174875592afb67759a6403,C:\Users\tsion\Projects\eni_dcim\.venv\Scripts\python.exe scripts\sim_automation\run_one_flight.py raceprep-t2r1-B-run4 r1 -- --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.commit.vz_cap_mps=1.2 --patch planner.terminal.enable=false,OK,1.800000,1.200000,false,0.050000,0,0,stale_imu,stale channels: imu,33.875999,2,4.687907,,0.943168,none,,,,,,,,0,0,0,515773289755900;515775869908200
T2-baseline,t2r1,B,5,20260723T204239-raceprep-t2r1-B-run5,20260723T204129-c789aedf,t2-r1-baseline,6dc0d813d241de5ab754676de4b18be76a031de3,C:\Users\tsion\Projects\eni_dcim\.venv\Scripts\python.exe scripts\sim_automation\run_one_flight.py raceprep-t2r1-B-run5 r1 -- --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.commit.vz_cap_mps=1.2 --patch planner.terminal.enable=false,OK,1.800000,1.200000,false,0.050000,0,0,stale_imu,stale channels: imu,46.292005,4,1.953000,-0.530349,-0.530349,none,,,,,,,,0,0,0,515980186116900;515982926079300;515984527919600;515987426072800
T2-baseline,t2r1,B,6,20260723T204450-raceprep-t2r1-B-run6,20260723T204343-c789aedf,t2-r1-baseline,64c1354fd131ec0bc56d3237f461def631c16b53,C:\Users\tsion\Projects\eni_dcim\.venv\Scripts\python.exe scripts\sim_automation\run_one_flight.py raceprep-t2r1-B-run6 r1 -- --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.commit.vz_cap_mps=1.2 --patch planner.terminal.enable=false,OK,1.800000,1.200000,false,0.050000,0,0,stale_imu,stale channels: imu,30.867985,2,5.653663,,1.418977,none,,,,,,,,0,0,0,516113539722500;516115439952800
T2a-imu0p25,t2a,B,1,20260723T205929-raceprep-t2a-B-run1,20260723T205838-bc3db29f,t2a-r1-baseline,5a4536731ce28549497f93a40f31bd55a2310a91,C:\Users\tsion\Projects\eni_dcim\.venv\Scripts\python.exe scripts\sim_automation\run_one_flight.py raceprep-t2a-B-run1 r1 -- --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.commit.vz_cap_mps=1.2 --patch planner.terminal.enable=false --patch safety.imu_stale_s=0.25,OK,1.800000,1.200000,false,0.250000,1,1,stale_imu,stale channels: imu,30.716010,1,0.662001,-0.041565,-0.041565,none,,,,,,,,0,0,0,517009502069000
T2a-imu0p25,t2a,B,2,20260723T210238-raceprep-t2a-B-run2,20260723T210117-bc3db29f,t2a-r1-baseline,96bdc1a63c31aedbcc2ef9d555ec7496ebdf7cb6,C:\Users\tsion\Projects\eni_dcim\.venv\Scripts\python.exe scripts\sim_automation\run_one_flight.py raceprep-t2a-B-run2 r1 -- --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.commit.vz_cap_mps=1.2 --patch planner.terminal.enable=false --patch safety.imu_stale_s=0.25,OK,1.800000,1.200000,false,0.250000,0,0,stale_imu,stale channels: imu,51.067995,2,0.898404,-0.073194,-0.073194,none,gate_OPENING_or_UNSPECIFIED,gate,3.131984,commit,1.181239,0.120448,0.015810,0,1,1,517168388645600;517171908620200
T2a-imu0p25,t2a,B,3,20260723T211146-raceprep-t2a-B-run3,20260723T211027-bc3db29f,t2a-r1-baseline,5dc25801b1057ced896d5f070201f4f29efb5900,C:\Users\tsion\Projects\eni_dcim\.venv\Scripts\python.exe scripts\sim_automation\run_one_flight.py raceprep-t2a-B-run3 r1 -- --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.commit.vz_cap_mps=1.2 --patch planner.terminal.enable=false --patch safety.imu_stale_s=0.25,OK,1.800000,1.200000,false,0.250000,0,0,stale_imu,stale channels: imu,51.429759,1,1.718450,0.024961,0.024961,none,,,,,,,,0,0,0,517719941176600
T2a-imu0p25,t2a,B,4,20260723T212139-raceprep-t2a-B-run4,20260723T212026-bc3db29f,t2a-r1-baseline,a25306f2cf168cb164f693f849991f40130a0764,C:\Users\tsion\Projects\eni_dcim\.venv\Scripts\python.exe scripts\sim_automation\run_one_flight.py raceprep-t2a-B-run4 r1 -- --max-duration 300 --patch planner.commit.speed_mps=1.8 --patch planner.commit.vz_cap_mps=1.2 --patch planner.terminal.enable=false --patch safety.imu_stale_s=0.25,OK,1.800000,1.200000,false,0.250000,1,1,stale_imu,stale channels: imu,36.636048,2,0.705472,0.006087,0.006087,none,gate_SIDE_bar,gate,0.176609,recover,1.207910,0.057763,0.017885,0,2,2,518317115992100;518321435984600
