flight,flight_id,fixture_dir,era,recording_regime,approach_id,cluster_ok,failure_reason,notes,t_start_s,t_end_s,full_certified_below_3p5_any,full_ok_below_3p5,full_depth_any_m,full_depth_ok_m,legal_full_rate_anchor_count,parallel_side_certified_below_3p5,side_pair_certified_total,side_pair_row_only,side_maintenance_rows,valid_gate_lock_provenance,p4_identity_status,no_p4_identity_contamination,provenance_notes
A001,20260714T210518-58cd98ad,20260714T212450-phase3b-r2training,phase3b,archive,20260714T210518-58cd98ad:NO_CLOSE_EPOCH,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,no current-perception feature row at range_z<=4.5m,,,,,,,,,,,,,,,
A002,20260714T210844-58cd98ad,20260714T212450-phase3b-r2training,phase3b,archive,20260714T210844-58cd98ad:NO_CLOSE_EPOCH,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,no current-perception feature row at range_z<=4.5m,,,,,,,,,,,,,,,
A003,20260714T211404-58cd98ad,20260714T212450-phase3b-r2training,phase3b,archive,20260714T211404-58cd98ad:NO_CLOSE_EPOCH,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,no current-perception feature row at range_z<=4.5m,,,,,,,,,,,,,,,
A004,20260715T045100-411f3135,20260715T052244-phase3c-r2training,phase3c,archive,20260715T045100-411f3135:NO_CLOSE_EPOCH,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,no current-perception feature row at range_z<=4.5m,,,,,,,,,,,,,,,
A005,20260715T045458-411f3135,20260715T052244-phase3c-r2training,phase3c,archive,20260715T045458-411f3135:NO_CLOSE_EPOCH,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,no current-perception feature row at range_z<=4.5m,,,,,,,,,,,,,,,
A006,20260715T051458-6092dbc0,20260715T052244-phase3c-r2training,phase3c,archive,20260715T051458-6092dbc0:NO_CLOSE_EPOCH,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,no current-perception feature row at range_z<=4.5m,,,,,,,,,,,,,,,
A007,20260715T121747-22978559,20260715T135600-phase3d-r2training,phase3d,archive,20260715T121747-22978559:NO_CLOSE_EPOCH,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,no current-perception feature row at range_z<=4.5m,,,,,,,,,,,,,,,
A008,20260715T122040-22978559,20260715T135600-phase3d-r2training,phase3d,archive,20260715T122040-22978559:NO_CLOSE_EPOCH,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,no current-perception feature row at range_z<=4.5m,,,,,,,,,,,,,,,
A009,20260715T122352-22978559,20260715T135600-phase3d-r2training,phase3d,archive,20260715T122352-22978559:NO_CLOSE_EPOCH,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,no current-perception feature row at range_z<=4.5m,,,,,,,,,,,,,,,
A010,20260715T183716-8e6cf1f5,20260715T190627-phase3e-r2training-slow,phase3e,archive,20260715T183716-8e6cf1f5:NO_CLOSE_EPOCH,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,no current-perception feature row at range_z<=4.5m,,,,,,,,,,,,,,,
A011,20260715T184758-8e6cf1f5,20260715T190627-phase3e-r2training-slow,phase3e,archive,20260715T184758-8e6cf1f5:NO_CLOSE_EPOCH,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,no current-perception feature row at range_z<=4.5m,,,,,,,,,,,,,,,
A012,20260715T185046-8e6cf1f5,20260715T190627-phase3e-r2training-slow,phase3e,archive,20260715T185046-8e6cf1f5:NO_CLOSE_EPOCH,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,no current-perception feature row at range_z<=4.5m,,,,,,,,,,,,,,,
A013,20260715T185843-7f28e2fb,20260715T190627-phase3e-r2training-slow,phase3e,archive,20260715T185843-7f28e2fb:NO_CLOSE_EPOCH,False,NO_CLOSE_FEATURE_EPOCH_LE4P5,no current-perception feature row at range_z<=4.5m,,,,,,,,,,,,,,,
