approach_id,cluster_id,flight,flight_id,fixture_dir,era,recording_regime,provenance,metrology_only,measurement_latch_mechanism_eligible,term_command_regime_eligible,t_start_s,t_end_s,full_rows_below_3p5,side_rows_est,full_depth_m,est_rows,census_ok,legal_cut_count,sample_rows,cut_count,auth_at_latch_median,v_latch_median_mps,predicted_b0_median_mps,fitted_b0_mps,fitted_b1_mps_per_s,b0_pred_minus_fit_mps
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,phase5c,archive,valid_gate_lock; no_p4_identity_contamination,False,True,True,3.5591215,6.4558022,10,11,2.728077797460334,11,True,7,30,5,0.5558421611785889,-0.0,-0.0,0.03466308525464096,1.8490568856342124,-0.03466308525464096
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,20260717T102447-phase5d-vertical,phase5d,vertical,valid_gate_lock; no_p4_identity_contamination,False,True,True,4.3793466,7.5823614,6,2,3.132410629977657,2,True,3,13,3,1.0,-0.0,-0.0,0.005772065701583617,1.3465362621387094,-0.005772065701583617
20260717T102007-7223cc0c:A1,20260717T102007-7223cc0c:A1,A052,20260717T102007-7223cc0c,20260717T102447-phase5d-vertical,phase5d,vertical,valid_gate_lock; no_p4_identity_contamination,False,True,True,4.3409726,7.6127111,16,2,-1.4474803179403801,2,True,10,18,4,1.0,-0.0,-0.0,-0.15892738756809688,3.3311730869316607,0.15892738756809688
20260717T151002-a9753343:A1,20260717T151002-a9753343:A1,A057,20260717T151002-a9753343,20260717T152216-phase5f-terminal,phase5f,archive,valid_gate_lock; no_p4_identity_contamination,False,True,True,3.8562671999999996,8.1511908,11,1,-1.3754872416813755,1,True,4,13,4,1.0,-0.0,-0.0,-0.11122279321005007,3.679074615196073,0.11122279321005007
20260717T151717-e179e097:A1,20260717T151717-e179e097:A1,A060,20260717T151717-e179e097,20260717T152216-phase5f-terminal,phase5f,archive,valid_gate_lock; no_p4_identity_contamination,False,True,True,4.8704235,8.1113053,12,20,3.178106562952289,20,True,9,54,9,1.0,-0.0,-0.0,-0.006532008936974643,1.8224149575034716,0.006532008936974643
20260717T153048-927a4c97:A1,20260717T153048-927a4c97:A1,A061,20260717T153048-927a4c97,20260717T154500-phase6a-control-old,phase6a,archive,valid_gate_lock; no_p4_identity_contamination,False,True,True,5.0477517,9.6155803,16,16,-5.268056152732111,16,True,10,27,6,1.0,-0.0,-0.0,0.3457397188529304,-4.367058237444912,-0.3457397188529304
20260717T153748-d946830d:A1,20260717T153748-d946830d:A1,A063,20260717T153748-d946830d,20260717T154501-phase6a-dash,phase6a,archive,valid_gate_lock; no_p4_identity_contamination,False,True,True,4.348683,8.8790957,22,6,0.4783617791031277,6,True,13,33,6,1.0,-0.0,-0.0,-0.009442915036912358,1.9054038301425877,0.009442915036912358
20260719T075333-fab49fbf:A2,20260719T075333-fab49fbf:A2,A066,20260719T075333-fab49fbf,20260719T080320-phase6b-aligned-dash,phase6b,aligned-dash,valid_gate_lock; no_p4_identity_contamination,False,True,True,4.7455107,7.9474006,32,213,0.8233003517626188,213,True,29,144,10,1.0,-0.0,-0.0,-0.023323873492933328,0.7434711989730202,0.023323873492933328
20260719T080255-fab49fbf:A1,20260719T080255-fab49fbf:A1,A067,20260719T080255-fab49fbf,20260719T080320-phase6b-aligned-dash,phase6b,aligned-dash,valid_gate_lock; no_p4_identity_contamination,False,True,True,3.416042,6.9429564,14,32,1.8537445001026973,32,True,11,56,7,0.3331165313720703,-0.0,-0.0,0.010752035446131902,2.302051390270594,-0.010752035446131902
20260719T134326-2477345e:A2,20260719T134326-2477345e:A2,A071,20260719T134326-2477345e,20260719T134835-phase6d-fiction-guards,phase6d,archive,valid_gate_lock; no_p4_identity_contamination,False,True,True,8.8791731,13.4863521,44,127,-0.7030176964431348,127,True,38,103,10,1.0,-0.0,-0.0,0.4292144058337757,-0.6475978750859602,-0.4292144058337757
